date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,MSKY,IDR,2012,Q1,535171000000,156429000000,38298000000
2012-06-30,MSKY,IDR,2012,Q2,575452000000,128330000000,-20823000000
2012-09-30,MSKY,IDR,2012,Q3,613729000000,172692000000,8786000000
2012-12-31,MSKY,IDR,2012,Q4,669240000000,192145000000,55588000000
2013-03-31,MSKY,IDR,2013,Q1,696014000000,168705000000,33476000000
2013-06-30,MSKY,IDR,2013,Q2,754147000000,158046000000,-2878000000
2013-09-30,MSKY,IDR,2013,Q3,779497000000,151587000000,-253631000000
2013-12-31,MSKY,IDR,2013,Q4,790246000000,116371000000,-263947000000
2014-03-31,MSKY,IDR,2014,Q1,775151000000,99586000000,135758000000
2014-06-30,MSKY,IDR,2014,Q2,801832000000,59339000000,-149375000000
2014-09-30,MSKY,IDR,2014,Q3,859244000000,107889000000,-14437000000
2014-12-31,MSKY,IDR,2014,Q4,842976000000,124491000000,-126678000000
2015-03-31,MSKY,IDR,2015,Q1,826527000000,88742000000,-130018000000
2015-06-30,MSKY,IDR,2015,Q2,776341000000,-28068000000,-163785000000
2015-09-30,MSKY,IDR,2015,Q3,811250000000,86400000000,-326222000000
2015-12-31,MSKY,IDR,2015,Q4,820865000000,40387000000,-156452000000
2016-03-31,MSKY,IDR,2016,Q1,737088000000,39477000000,127391000000
2016-06-30,MSKY,IDR,2016,Q2,810947000000,47247000000,-34039000000
2016-09-30,MSKY,IDR,2016,Q3,809078000000,44472000000,-10383000000
2016-12-31,MSKY,IDR,2016,Q4,643125000000,-70674000000,-274351000000
2017-03-31,MSKY,IDR,2017,Q1,601363000000,215558000000,-103941000000
2017-06-30,MSKY,IDR,2017,Q2,643853000000,220111000000,-96735000000
2017-09-30,MSKY,IDR,2017,Q3,634401000000,365253000000,-86471000000
2017-12-31,MSKY,IDR,2017,Q4,776056000000,-570907000000,-2190000000
2018-03-31,MSKY,IDR,2018,Q1,620363000000,242865000000,-75839000000
2018-06-30,MSKY,IDR,2018,Q2,655141000000,260919000000,-61521000000
2018-09-30,MSKY,IDR,2018,Q3,657460000000,276198000000,-101002000000
2018-12-31,MSKY,IDR,2018,Q4,650274000000,-622025000000,10248000000
2019-03-31,MSKY,IDR,2019,Q1,589761000000,196278000000,-51014000000
2019-06-30,MSKY,IDR,2019,Q2,608078000000,210971000000,-36906000000
2019-09-30,MSKY,IDR,2019,Q3,608134000000,258386000000,-9491000000
2019-12-31,MSKY,IDR,2019,Q4,646706000000,-539655000000,22088000000
2020-03-31,MSKY,IDR,2020,Q1,510116000000,240434000000,-34628000000
2020-06-30,MSKY,IDR,2020,Q2,505661000000,220192000000,-49030000000
2020-09-30,MSKY,IDR,2020,Q3,481457000000,197403000000,-53947000000
2020-12-31,MSKY,IDR,2020,Q4,518137000000,-578115000000,-62483000000
2021-03-31,MSKY,IDR,2021,Q1,425008000000,188152000000,-35347000000
2021-06-30,MSKY,IDR,2021,Q2,392698000000,156036000000,-60794000000
2021-09-30,MSKY,IDR,2021,Q3,344783000000,166451000000,-19991000000
2021-12-31,MSKY,IDR,2021,Q4,298070000000,-491219000000,-65720000000
2022-03-31,MSKY,IDR,2022,Q1,301542000000,120146000000,-57710000000
2022-06-30,MSKY,IDR,2022,Q2,283645000000,96598000000,-37443000000
2022-09-30,MSKY,IDR,2022,Q3,275411000000,82332000000,-62775000000
2022-12-31,MSKY,IDR,2022,Q4,254296000000,-426333000000,-87462000000
2023-03-31,MSKY,IDR,2023,Q1,219579000000,65207000000,-58413000000
2023-06-30,MSKY,IDR,2023,Q2,224245000000,44902000000,-83684000000
2023-09-30,MSKY,IDR,2023,Q3,166692000000,15068000000,-157049000000
2023-12-31,MSKY,IDR,2023,Q4,130533000000,-306549000000,24319000000
2024-03-31,MSKY,IDR,2024,Q1,124023000000,-51986000000,-72650000000
2024-06-30,MSKY,IDR,2024,Q2,178643000000,21726000000,-60490000000
2024-09-30,MSKY,IDR,2024,Q3,206211000000,-42402000000,-46503000000
2024-12-31,MSKY,IDR,2024,Q4,194903000000,-135125000000,62922000000
2025-03-31,MSKY,IDR,2025,Q1,101504000000,21213000000,-75147000000
2025-06-30,MSKY,IDR,2025,Q2,99877000000,10552000000,-69760000000
2025-09-30,MSKY,IDR,2025,Q3,100723000000,-25674000000,-51129000000
2025-12-31,MSKY,IDR,2025,Q4,79284000000,34040000000,105573000000
2026-03-31,MSKY,IDR,2026,Q1,65113000000,6473000000,-16923000000
