date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2023-03-31,MSTI,IDR,2023,Q1,628161282149,120062591987,54642487426
2023-06-30,MSTI,IDR,2023,Q2,774525225295,144626480050,54257477042
2023-09-30,MSTI,IDR,2023,Q3,878130381307,181999356531,82876000379
2023-12-31,MSTI,IDR,2023,Q4,1920110128007,420054614102,255949777040
2024-03-31,MSTI,IDR,2024,Q1,1119492792508,209689955186,105224488305
2024-06-30,MSTI,IDR,2024,Q2,733001367137,137537171081,58202705011
2024-09-30,MSTI,IDR,2024,Q3,1606263146000,254146638000,148655474000
2024-12-31,MSTI,IDR,2024,Q4,1902782398000,358085201000,218291534000
2025-03-31,MSTI,IDR,2025,Q1,1191670766000,226976130000,115304071000
2025-06-30,MSTI,IDR,2025,Q2,879334190000,156905755000,81493719000
2025-09-30,MSTI,IDR,2025,Q3,1192765208000,221006067000,113539408000
2025-12-31,MSTI,IDR,2025,Q4,2190931550000,373873213000,238744045000
2026-03-31,MSTI,IDR,2026,Q1,1095972132331,204079563684,106613521116
2026-06-30,MSTI,IDR,2026,Q2,1006087179026,181506868278,98850023851
