date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,MTDL,IDR,2012,Q4,1596146228608,125423276291,33892833732
2013-03-31,MTDL,IDR,2013,Q1,1400323037831,113258187599,25245818112
2013-06-30,MTDL,IDR,2013,Q2,1773913003880,142107215387,27263877265
2013-09-30,MTDL,IDR,2013,Q3,1806706648112,138327908389,21278512276
2013-12-31,MTDL,IDR,2013,Q4,2344360554613,167598459487,39959364518
2014-03-31,MTDL,IDR,2014,Q1,1785298733604,147368554165,31376105253
2014-06-30,MTDL,IDR,2014,Q2,1962665801526,164537295237,42103371578
2014-09-30,MTDL,IDR,2014,Q3,2178250855156,151560517287,35089313000
2014-12-31,MTDL,IDR,2014,Q4,2518354187236,191151263354,71090645301
2015-03-31,MTDL,IDR,2015,Q1,2200507106353,146653968368,34465000000
2015-06-30,MTDL,IDR,2015,Q2,2176223544330,164484794445,48268360311
2015-09-30,MTDL,IDR,2015,Q3,2430470437815,151468417157,38711419820
2015-12-31,MTDL,IDR,2015,Q4,3152869911502,290245820030,105188988708
2016-03-31,MTDL,IDR,2016,Q1,2277145000000,181340000000,32077000000
2016-06-30,MTDL,IDR,2016,Q2,2376751000000,186005000000,49474000000
2016-09-30,MTDL,IDR,2016,Q3,2389896000000,167170000000,32491000000
2016-12-31,MTDL,IDR,2016,Q4,3004361000000,271787000000,106620000000
2017-03-31,MTDL,IDR,2017,Q1,2165331000000,190083000000,45070000000
2017-06-30,MTDL,IDR,2017,Q2,2052030000000,170817000000,52773000000
2017-09-30,MTDL,IDR,2017,Q3,3021503000000,216290000000,57520000000
2017-12-31,MTDL,IDR,2017,Q4,3578277000000,273687000000,92050000000
2018-03-31,MTDL,IDR,2018,Q1,2990463000000,227026000000,64160000000
2018-06-30,MTDL,IDR,2018,Q2,2427388000000,213308000000,51115000000
2018-09-30,MTDL,IDR,2018,Q3,3645497000000,263176000000,75756000000
2018-12-31,MTDL,IDR,2018,Q4,3650064000000,304225000000,97013000000
2019-03-31,MTDL,IDR,2019,Q1,3235584000000,270340000000,85634000000
2019-06-30,MTDL,IDR,2019,Q2,2925037000000,240839000000,66887000000
2019-09-30,MTDL,IDR,2019,Q3,4063016000000,322454000000,106263000000
2019-12-31,MTDL,IDR,2019,Q4,4846055000000,375129000000,98287000000
2020-03-31,MTDL,IDR,2020,Q1,3395313000000,317394000000,94252000000
2020-06-30,MTDL,IDR,2020,Q2,2812435000000,253763000000,61777000000
2020-09-30,MTDL,IDR,2020,Q3,3829796000000,321938000000,111630000000
2020-12-31,MTDL,IDR,2020,Q4,3984143000000,333843000000,97275000000
2021-03-31,MTDL,IDR,2021,Q1,3866261000000,350808000000,121597000000
2021-06-30,MTDL,IDR,2021,Q2,3798947000000,342409000000,121194000000
2021-09-30,MTDL,IDR,2021,Q3,4469497000000,345926000000,108650000000
2021-12-31,MTDL,IDR,2021,Q4,6365882000000,467006000000,157441000000
2022-03-31,MTDL,IDR,2022,Q1,5167802000000,448158000000,240651000000
2022-06-30,MTDL,IDR,2022,Q2,4559577000000,359309000000,106688000000
2022-09-30,MTDL,IDR,2022,Q3,5453583000000,365361000000,164064000000
2022-12-31,MTDL,IDR,2022,Q4,5807335000000,557271000000,322274000000
2023-03-31,MTDL,IDR,2023,Q1,4508513000000,394093000000,199012000000
2023-06-30,MTDL,IDR,2023,Q2,4833125000000,396723000000,179213000000
2023-09-30,MTDL,IDR,2023,Q3,5772007000000,475296000000,129589000000
2023-12-31,MTDL,IDR,2023,Q4,6972745000000,640886000000,248961000000
2024-03-31,MTDL,IDR,2024,Q1,5061707000000,391988000000,147368000000
2024-06-30,MTDL,IDR,2024,Q2,5435603000000,410574000000,128686000000
2024-09-30,MTDL,IDR,2024,Q3,6750082000000,544951000000,179360000000
2024-12-31,MTDL,IDR,2024,Q4,7901546000000,792799000000,284391000000
2025-03-31,MTDL,IDR,2025,Q1,5527491000000,436151000000,153681000000
2025-06-30,MTDL,IDR,2025,Q2,6148467000000,452630000000,140616000000
2025-09-30,MTDL,IDR,2025,Q3,7129815000000,515182000000,175317000000
2025-12-31,MTDL,IDR,2025,Q4,8371986000000,816836000000,344378000000
2026-03-31,MTDL,IDR,2026,Q1,6711485000000,510159000000,158926000000
