date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,MTFN,IDR,2011,Q1,7947900987,7947900987,-1609648429
2011-06-30,MTFN,IDR,2011,Q2,5038772256,5038772256,225746801
2011-09-30,MTFN,IDR,2011,Q3,8209893163,8209893163,-5383385933
2011-12-31,MTFN,IDR,2011,Q4,8150345569,8150345569,-5936056377
2012-03-31,MTFN,IDR,2012,Q1,12191189914,12191189914,-4426622082
2012-06-30,MTFN,IDR,2012,Q2,15947575279,15947575279,-3163867272
2012-09-30,MTFN,IDR,2012,Q3,13903887544,13903887544,-1457378873
2012-12-31,MTFN,IDR,2012,Q4,6198558339,6198558339,-28047473425
2013-03-31,MTFN,IDR,2013,Q1,11018848757,8252864438,-8398157198
2013-06-30,MTFN,IDR,2013,Q2,15709736456,11756222120,365003568645
2013-09-30,MTFN,IDR,2013,Q3,13402905202,9307840737,6140532152
2013-12-31,MTFN,IDR,2013,Q4,424277176731,424277176731,-152567626752
2014-03-31,MTFN,IDR,2014,Q1,11576991837,7754520585,188088063
2014-06-30,MTFN,IDR,2014,Q2,53225399605,4624572828,37373479341
2014-09-30,MTFN,IDR,2014,Q3,43325395374,43325395374,23520323654
2014-12-31,MTFN,IDR,2014,Q4,41950372896,41950372896,-1632315334214
2015-03-31,MTFN,IDR,2015,Q1,26860438875,26860438875,-50845118297
2015-06-30,MTFN,IDR,2015,Q2,4254224341,4254224341,-13688483413
2015-09-30,MTFN,IDR,2015,Q3,14925608988,14925608988,11730445628
2015-12-31,MTFN,IDR,2015,Q4,-8676272461,-8676272461,-197087531347
2016-03-31,MTFN,IDR,2016,Q1,1975584906,1975584906,-4123029245
2016-06-30,MTFN,IDR,2016,Q2,1939728213,1939728213,-1454714207
2016-09-30,MTFN,IDR,2016,Q3,2783651495,2783651495,-14819901378
2016-12-31,MTFN,IDR,2016,Q4,3794383658,3794383658,-1187555317259
2017-03-31,MTFN,IDR,2017,Q1,1785572712,1785572712,14185703732
2017-06-30,MTFN,IDR,2017,Q2,59589545542,9281692704,-3514243965
2017-09-30,MTFN,IDR,2017,Q3,152875707717,17640683421,-2541267863
2017-12-31,MTFN,IDR,2017,Q4,244568106963,20872457116,6282069144
2018-03-31,MTFN,IDR,2018,Q1,125695406766,16879310824,-215474472
2018-06-30,MTFN,IDR,2018,Q2,176592902975,15392818498,12472065568
2018-09-30,MTFN,IDR,2018,Q3,123184742746,11031439708,5167004307
2018-12-31,MTFN,IDR,2018,Q4,150896020666,6811135579,-3797778754
2019-03-31,MTFN,IDR,2019,Q1,130129045761,11834943117,-268135557
2019-06-30,MTFN,IDR,2019,Q2,85670431265,4038166948,3353729377
2019-09-30,MTFN,IDR,2019,Q3,210560210052,9826995795,-950740901
2019-12-31,MTFN,IDR,2019,Q4,429879207465,22558410665,9796149233
2020-03-31,MTFN,IDR,2020,Q1,257565381010,16715875019,11012989164
2020-06-30,MTFN,IDR,2020,Q2,179289305239,8990411742,-6243147608
2020-09-30,MTFN,IDR,2020,Q3,156479488749,11850157936,3483185525
2020-12-31,MTFN,IDR,2020,Q4,167938213426,12966171852,-41789455459
2021-03-31,MTFN,IDR,2021,Q1,95593072493,3497508103,-2405583639
2021-06-30,MTFN,IDR,2021,Q2,78168060100,3958720023,-6529665296
2021-09-30,MTFN,IDR,2021,Q3,76345747119,3699302585,-8280462751
2021-12-31,MTFN,IDR,2021,Q4,104131018579,16390658852,11230795353
2022-03-31,MTFN,IDR,2022,Q1,95894799997,4217600719,-4452040560
2022-06-30,MTFN,IDR,2022,Q2,98512650118,4372432385,-392738280
2022-09-30,MTFN,IDR,2022,Q3,116350768549,6203789935,-4762873985
2022-12-31,MTFN,IDR,2022,Q4,110000546688,-9083240071,-325271723592
2023-03-31,MTFN,IDR,2023,Q1,105382373799,3487656903,2397410586
2023-06-30,MTFN,IDR,2023,Q2,114650955794,2483176993,-7739579060
2023-09-30,MTFN,IDR,2023,Q3,129489099521,3984222261,-11796762207
2023-12-31,MTFN,IDR,2023,Q4,136687799000,916151000,-12387496000
2024-03-31,MTFN,IDR,2024,Q1,129098601000,-3817655000,-14106201000
2024-06-30,MTFN,IDR,2024,Q2,133216322000,133195933000,-4396327000
2024-09-30,MTFN,IDR,2024,Q3,140222806000,2691834000,7583953000
2024-12-31,MTFN,IDR,2024,Q4,123377460000,-594435000,-75666841000
2025-03-31,MTFN,IDR,2025,Q1,137008339000,3227460000,-9710257000
2025-06-30,MTFN,IDR,2025,Q2,123378090000,9942194000,10637477000
2025-09-30,MTFN,IDR,2025,Q3,125330239416,5355711228,-3986315574
2025-12-31,MTFN,IDR,2025,Q4,133712437054,10441984695,-28403699706
