date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2017-12-31,MTPS,IDR,2017,Q4,25973000000,13134000000,-8973000000
2018-03-31,MTPS,IDR,2018,Q1,11052399000,4420079000,2220620000
2018-06-30,MTPS,IDR,2018,Q2,11052399000,4420079000,2220620000
2018-09-30,MTPS,IDR,2018,Q3,13974202000,3090448000,1251759000
2018-12-31,MTPS,IDR,2018,Q4,74022065000,15351394000,12878022000
2019-03-31,MTPS,IDR,2019,Q1,5929000000,1765008000,584587000
2019-06-30,MTPS,IDR,2019,Q2,47011952000,27679761000,23896340000
2019-09-30,MTPS,IDR,2019,Q3,53208231000,1935639000,451766000
2019-12-31,MTPS,IDR,2019,Q4,101054512000,3622537000,-1220410000
2020-03-31,MTPS,IDR,2020,Q1,31531706000,5385240000,4923660000
2020-06-30,MTPS,IDR,2020,Q2,14979280000,605663000,-3027423000
2020-09-30,MTPS,IDR,2020,Q3,3170957000,-2330253000,-4174925000
2020-12-31,MTPS,IDR,2020,Q4,76234931000,-16067695000,-26883327000
2021-03-31,MTPS,IDR,2021,Q1,11789569000,-36894305000,-40270686000
2021-06-30,MTPS,IDR,2021,Q2,26765864000,74774000,-7217788000
2021-09-30,MTPS,IDR,2021,Q3,9562827000,-28393476000,-32759763000
2021-12-31,MTPS,IDR,2021,Q4,6784336000,-147978335000,-151357411000
2022-03-31,MTPS,IDR,2022,Q1,0,-115744000,-2951987000
2022-06-30,MTPS,IDR,2022,Q2,0,-117097000,-3266530000
2022-09-30,MTPS,IDR,2022,Q3,918021000,-12104459000,-14268144000
2022-12-31,MTPS,IDR,2022,Q4,0,-21380675000,-22727432000
2023-03-31,MTPS,IDR,2023,Q1,0,-128796000,-2740211000
2023-06-30,MTPS,IDR,2023,Q2,0,-165253000,-2621617000
2023-09-30,MTPS,IDR,2023,Q3,0,-133824000,-2507447000
2023-12-31,MTPS,IDR,2023,Q4,853734000,256805000,-8022359000
2024-03-31,MTPS,IDR,2024,Q1,1261606000,41033000,-1735512000
2024-06-30,MTPS,IDR,2024,Q2,66400000,13820437,-2337810000
2024-09-30,MTPS,IDR,2024,Q3,0,-130226909,4228055000
2024-12-31,MTPS,IDR,2024,Q4,0,-128277165,-5130337000
2025-03-31,MTPS,IDR,2025,Q1,0,-127281612,-1032312000
2025-06-30,MTPS,IDR,2025,Q2,0,-124535810,-1608319187
2025-09-30,MTPS,IDR,2025,Q3,0,-122100680,-1886078765
2025-12-31,MTPS,IDR,2025,Q4,0,-118441690,1933308585
2026-03-31,MTPS,IDR,2026,Q1,,,-1465182115
2026-06-30,MTPS,IDR,2026,Q2,,,-2034251070
