date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,MYTX,IDR,2012,Q3,327843079733,2105275266,-10846197261
2012-12-31,MYTX,IDR,2012,Q4,364256776568,2310395616,-16110595599
2013-03-31,MYTX,IDR,2013,Q1,418627067168,37268587869,-2330043568
2013-06-30,MYTX,IDR,2013,Q2,448404360788,31400065604,-8753169200
2013-09-30,MYTX,IDR,2013,Q3,489917600283,26189224595,7637259393
2013-12-31,MYTX,IDR,2013,Q4,543352480979,11883742839,-18389711695
2014-03-31,MYTX,IDR,2014,Q1,543793000000,119234000000,-19997000000
2014-06-30,MYTX,IDR,2014,Q2,501410000000,-82018000000,695000000
2014-09-30,MYTX,IDR,2014,Q3,530932520023,-2868972845,-26537733782
2014-12-31,MYTX,IDR,2014,Q4,552922479977,-52648027155,-25767266218
2015-03-31,MYTX,IDR,2015,Q1,545140000000,-24110000000,-29627000000
2015-06-30,MYTX,IDR,2015,Q2,481503000000,-6153000000,-20150000000
2015-09-30,MYTX,IDR,2015,Q3,426443000000,-60280000000,-36283000000
2015-12-31,MYTX,IDR,2015,Q4,438104000000,-398000000,-33104000000
2016-03-31,MYTX,IDR,2016,Q1,434894000000,865000000,-46403000000
2016-06-30,MYTX,IDR,2016,Q2,337510000000,-13135000000,-36707000000
2016-09-30,MYTX,IDR,2016,Q3,300702000000,-44659000000,-25619000000
2016-12-31,MYTX,IDR,2016,Q4,223647000000,7464000000,-52302000000
2017-03-31,MYTX,IDR,2017,Q1,337491000000,-19686000000,-24182000000
2017-06-30,MYTX,IDR,2017,Q2,341035000000,-41189000000,-63274000000
2017-09-30,MYTX,IDR,2017,Q3,459429000000,-31435000000,-12282000000
2017-12-31,MYTX,IDR,2017,Q4,502454000000,66332000000,-35012000000
2018-03-31,MYTX,IDR,2018,Q1,580311000000,-13714000000,-19396000000
2018-06-30,MYTX,IDR,2018,Q2,510891000000,-24458000000,-74361000000
2018-09-30,MYTX,IDR,2018,Q3,641376000000,-22148000000,-148177000000
2018-12-31,MYTX,IDR,2018,Q4,594870000000,74695000000,79559000000
2019-03-31,MYTX,IDR,2019,Q1,486825000000,2835000000,-56269000000
2019-06-30,MYTX,IDR,2019,Q2,367051000000,-7104000000,-78098000000
2019-09-30,MYTX,IDR,2019,Q3,501044000000,-7309000000,-62146000000
2019-12-31,MYTX,IDR,2019,Q4,491813000000,-2405000000,-35933000000
2020-03-31,MYTX,IDR,2020,Q1,556344000000,3070000000,-1435000000
2020-06-30,MYTX,IDR,2020,Q2,169145000000,-3742000000,-23519000000
2020-09-30,MYTX,IDR,2020,Q3,256922000000,-22956000000,32279000000
2020-12-31,MYTX,IDR,2020,Q4,406057000000,-2316000000,-118429000000
2021-03-31,MYTX,IDR,2021,Q1,435192000000,10016000000,31772000000
2021-06-30,MYTX,IDR,2021,Q2,379643000000,10330000000,-54226000000
2021-09-30,MYTX,IDR,2021,Q3,353759000000,-11582000000,-85947000000
2021-12-31,MYTX,IDR,2021,Q4,534258000000,49919000000,-26315000000
2022-03-31,MYTX,IDR,2022,Q1,481543000000,49992000000,906000000
2022-06-30,MYTX,IDR,2022,Q2,456353000000,23443000000,27449000000
2022-09-30,MYTX,IDR,2022,Q3,361767000000,11735000000,8890000000
2022-12-31,MYTX,IDR,2022,Q4,324070000000,-31032000000,-118510000000
2023-03-31,MYTX,IDR,2023,Q1,301189000000,-26519000000,-154008000000
2023-06-30,MYTX,IDR,2023,Q2,237247000000,-23044000000,-60676000000
2023-09-30,MYTX,IDR,2023,Q3,299910000000,-21858000000,13568000000
2023-12-31,MYTX,IDR,2023,Q4,368712000000,-16146000000,-138496000000
2024-03-31,MYTX,IDR,2024,Q1,328048000000,-17253000000,18686000000
2024-06-30,MYTX,IDR,2024,Q2,342537000000,-23160000000,135711000000
2024-09-30,MYTX,IDR,2024,Q3,303778000000,-60671000000,-205267000000
2024-12-31,MYTX,IDR,2024,Q4,288781000000,280000000,-22015000000
2025-03-31,MYTX,IDR,2025,Q1,243878000000,-1758000000,14325000000
2025-06-30,MYTX,IDR,2025,Q2,246670000000,6688000000,-29145000000
2025-09-30,MYTX,IDR,2025,Q3,272104000000,5940000000,25959000000
2025-12-31,MYTX,IDR,2025,Q4,263711000000,10074000000,6001000000
2026-03-31,MYTX,IDR,2026,Q1,218335000000,-10904000000,-12404000000
