date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-06-30,NANO,IDR,2019,Q2,4033997114,2186792458,786346418
2019-12-31,NANO,IDR,2019,Q4,4033997114,2186792458,786346418
2020-06-30,NANO,IDR,2020,Q2,7740174354,3612800874,297894876
2020-12-31,NANO,IDR,2020,Q4,8299741950,5412265464,2319326426
2021-06-30,NANO,IDR,2021,Q2,13850934000,5719655000,1296392000
2021-12-31,NANO,IDR,2021,Q4,12922717714,3684622398,-56107810
2022-06-30,NANO,IDR,2022,Q2,25406828296,11372167724,3090207268
2022-12-31,NANO,IDR,2022,Q4,19296935608,6088764008,-1415395184
2023-06-30,NANO,IDR,2023,Q2,22471815383,10713391537,1648821069
2023-12-31,NANO,IDR,2023,Q4,61348601977,11555416854,-293935704
2024-06-30,NANO,IDR,2024,Q2,49062692066,12398226440,651141148
2024-12-31,NANO,IDR,2024,Q4,65800594708,11586586418,400946440
2025-06-30,NANO,IDR,2025,Q2,52492914168,11307409931,428887290
2025-12-31,NANO,IDR,2025,Q4,19674498854,5865534677,1625207599
