date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-03-31,NASI,IDR,2020,Q1,10464087212,2352536854,353265848
2020-06-30,NASI,IDR,2020,Q2,10464087212,2352536855,353265847
2020-09-30,NASI,IDR,2020,Q3,9804737769,2181987553,171703528
2020-12-31,NASI,IDR,2020,Q4,9804737769,2181987553,171703528
2021-03-31,NASI,IDR,2021,Q1,11288775904,2342258536,181625786
2021-06-30,NASI,IDR,2021,Q2,11288775904,2342258536,181625786
2021-09-30,NASI,IDR,2021,Q3,11322388603,2316023902,84707051
2021-12-31,NASI,IDR,2021,Q4,11322388602,2316023900,84707051
2022-03-31,NASI,IDR,2022,Q1,12080451527,2391237757,458479394
2022-06-30,NASI,IDR,2022,Q2,13609469043,2757331588,116403549
2022-09-30,NASI,IDR,2022,Q3,16109813843,2469211442,131140456
2022-12-31,NASI,IDR,2022,Q4,17236764028,3491374820,326127979
2023-03-31,NASI,IDR,2023,Q1,15286498765,2264286133,212928422
2023-06-30,NASI,IDR,2023,Q2,18131883200,2436717866,90271933
2023-09-30,NASI,IDR,2023,Q3,18941213832,2350547880,120846181
2023-12-31,NASI,IDR,2023,Q4,26848453462,3457989540,-61926118
2024-03-31,NASI,IDR,2024,Q1,22968525889,3140930709,190143356
2024-06-30,NASI,IDR,2024,Q2,22706249679,3001742067,166083489
2024-09-30,NASI,IDR,2024,Q3,27000908084,2886183331,53293672
2024-12-31,NASI,IDR,2024,Q4,15265069315,2100736582,-262329770
2025-03-31,NASI,IDR,2025,Q1,20373215521,3108204029,25397756
2025-06-30,NASI,IDR,2025,Q2,21972525499,2957108044,-15234663
2025-09-30,NASI,IDR,2025,Q3,7702464594,-554220079,-2875554287
2025-12-31,NASI,IDR,2025,Q4,9579606820,1848388776,-881324426
2026-03-31,NASI,IDR,2026,Q1,8650107141,2161620353,-644684795
2026-06-30,NASI,IDR,2026,Q2,9443386318,1686742854,-804683647
