date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,NISP,IDR,2012,Q1,1329442000000,790020000000,201255000000
2012-06-30,NISP,IDR,2012,Q2,1404094000000,824764000000,205419000000
2012-09-30,NISP,IDR,2012,Q3,1448634000000,860816000000,249560000000
2012-12-31,NISP,IDR,2012,Q4,1579733000000,928148000000,259222000000
2013-03-31,NISP,IDR,2013,Q1,1574370000000,876082000000,246861000000
2013-06-30,NISP,IDR,2013,Q2,1679122000000,995012000000,289334000000
2013-09-30,NISP,IDR,2013,Q3,1801941000000,1072879000000,302137000000
2013-12-31,NISP,IDR,2013,Q4,1974319000000,1075922000000,304389000000
2014-03-31,NISP,IDR,2014,Q1,2123571000000,1131741000000,341310000000
2014-06-30,NISP,IDR,2014,Q2,2078892000000,1092304000000,290877000000
2014-09-30,NISP,IDR,2014,Q3,2137798000000,1063739000000,310069000000
2014-12-31,NISP,IDR,2014,Q4,2305898000000,1195520000000,389926000000
2015-03-31,NISP,IDR,2015,Q1,2331927000000,1181518000000,372294000000
2015-06-30,NISP,IDR,2015,Q2,2471277000000,1209749000000,362795000000
2015-09-30,NISP,IDR,2015,Q3,2458014000000,1265048000000,324700000000
2015-12-31,NISP,IDR,2015,Q4,2782810000000,1620364000000,441046000000
2016-03-31,NISP,IDR,2016,Q1,2783808000000,1640839000000,456851000000
2016-06-30,NISP,IDR,2016,Q2,2951953000000,1703870000000,457557000000
2016-09-30,NISP,IDR,2016,Q3,2957294000000,1731914000000,443754000000
2016-12-31,NISP,IDR,2016,Q4,2923669000000,1729047000000,431738000000
2017-03-31,NISP,IDR,2017,Q1,3024846000000,1753473000000,562809000000
2017-06-30,NISP,IDR,2017,Q2,3104119000000,1933266000000,566743000000
2017-09-30,NISP,IDR,2017,Q3,3140278000000,1920406000000,539330000000
2017-12-31,NISP,IDR,2017,Q4,3299557000000,1931251000000,506942000000
2018-03-31,NISP,IDR,2018,Q1,3254019000000,1936147000000,663443000000
2018-06-30,NISP,IDR,2018,Q2,3181581000000,1790223000000,671603000000
2018-09-30,NISP,IDR,2018,Q3,3447830000000,2016913000000,698247000000
2018-12-31,NISP,IDR,2018,Q4,3725765000000,2040185000000,604771000000
2019-03-31,NISP,IDR,2019,Q1,3756723000000,1991466000000,765228000000
2019-06-30,NISP,IDR,2019,Q2,4021708000000,2209499000000,770730000000
2019-09-30,NISP,IDR,2019,Q3,3723730000000,2028349000000,683842000000
2019-12-31,NISP,IDR,2019,Q4,3968866000000,2139322000000,719441000000
2020-03-31,NISP,IDR,2020,Q1,3989341000000,2463330000000,790967000000
2020-06-30,NISP,IDR,2020,Q2,3408121000000,2122784000000,771832000000
2020-09-30,NISP,IDR,2020,Q3,3687987000000,2373783000000,383567000000
2020-12-31,NISP,IDR,2020,Q4,3773811000000,2309188000000,155304000000
2021-03-31,NISP,IDR,2021,Q1,3542143000000,2395375000000,514665000000
2021-06-30,NISP,IDR,2021,Q2,3593933000000,2644990000000,958388000000
2021-09-30,NISP,IDR,2021,Q3,3051710000000,2230372000000,561914000000
2021-12-31,NISP,IDR,2021,Q4,3443827000000,2433889000000,484607000000
2022-03-31,NISP,IDR,2022,Q1,3445491000000,2523579000000,621213000000
2022-06-30,NISP,IDR,2022,Q2,3365777000000,2513542000000,1028137000000
2022-09-30,NISP,IDR,2022,Q3,3523453000000,2618727000000,898495000000
2022-12-31,NISP,IDR,2022,Q4,4248595000000,2952939000000,779072000000
2023-03-31,NISP,IDR,2023,Q1,4310218000000,2840157000000,1029703000000
2023-06-30,NISP,IDR,2023,Q2,4220795000000,2894757000000,1035405000000
2023-09-30,NISP,IDR,2023,Q3,4619325000000,2709895000000,988254000000
2023-12-31,NISP,IDR,2023,Q4,4680342000000,2871703000000,1037676000000
2024-03-31,NISP,IDR,2024,Q1,4607678000000,2860741000000,1167083000000
2024-06-30,NISP,IDR,2024,Q2,4410576000000,2829823000000,1223836000000
2024-09-30,NISP,IDR,2024,Q3,5036117000000,3161246000000,1427273000000
2024-12-31,NISP,IDR,2024,Q4,5632554000000,3103723000000,1048558000000
2025-03-31,NISP,IDR,2025,Q1,5302177000000,3219257000000,1291021000000
2025-06-30,NISP,IDR,2025,Q2,4821321000000,3280745000000,1275094000000
2025-09-30,NISP,IDR,2025,Q3,5302415000000,3244706000000,1258458000000
2025-12-31,NISP,IDR,2025,Q4,5919015000000,3386982000000,1232900000000
2026-03-31,NISP,IDR,2026,Q1,5029090000000,3432488000000,1359946000000
