date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,NOBU,IDR,2012,Q3,13220000000,8581000000,999000000
2012-12-31,NOBU,IDR,2012,Q4,18401000000,11488000000,618000000
2013-03-31,NOBU,IDR,2013,Q1,20961000000,10139000000,698000000
2013-06-30,NOBU,IDR,2013,Q2,32036000000,16914000000,2670000000
2013-09-30,NOBU,IDR,2013,Q3,45964000000,24577000000,3542000000
2013-12-31,NOBU,IDR,2013,Q4,70090000000,36980000000,7733000000
2014-03-31,NOBU,IDR,2014,Q1,79119000000,39821000000,2492000000
2014-06-30,NOBU,IDR,2014,Q2,95965000000,40332000000,2435000000
2014-09-30,NOBU,IDR,2014,Q3,105233000000,43595000000,3297000000
2014-12-31,NOBU,IDR,2014,Q4,113375000000,46264000000,7338000000
2015-03-31,NOBU,IDR,2015,Q1,120633000000,43258000000,3253000000
2015-06-30,NOBU,IDR,2015,Q2,127512000000,51597000000,3252000000
2015-09-30,NOBU,IDR,2015,Q3,129473000000,63101000000,6746000000
2015-12-31,NOBU,IDR,2015,Q4,131106000000,61659000000,4955000000
2016-03-31,NOBU,IDR,2016,Q1,137471000000,69728000000,6721000000
2016-06-30,NOBU,IDR,2016,Q2,143754000000,77897000000,9242000000
2016-09-30,NOBU,IDR,2016,Q3,146286000000,79453000000,7381000000
2016-12-31,NOBU,IDR,2016,Q4,150756000000,80829000000,6968000000
2017-03-31,NOBU,IDR,2017,Q1,157436000000,85818000000,6743000000
2017-06-30,NOBU,IDR,2017,Q2,159591000000,91095000000,7496000000
2017-09-30,NOBU,IDR,2017,Q3,161018000000,94684000000,7894000000
2017-12-31,NOBU,IDR,2017,Q4,181526000000,114952000000,12852000000
2018-03-31,NOBU,IDR,2018,Q1,201326000000,128129000000,12902000000
2018-06-30,NOBU,IDR,2018,Q2,214631000000,140100000000,9620000000
2018-09-30,NOBU,IDR,2018,Q3,217044000000,133321000000,13713000000
2018-12-31,NOBU,IDR,2018,Q4,202201000000,118189000000,8513000000
2019-03-31,NOBU,IDR,2019,Q1,210140000000,108247000000,8636000000
2019-06-30,NOBU,IDR,2019,Q2,235901000000,144023000000,10796000000
2019-09-30,NOBU,IDR,2019,Q3,236021000000,134282000000,14099000000
2019-12-31,NOBU,IDR,2019,Q4,234366000000,144148000000,12263000000
2020-03-31,NOBU,IDR,2020,Q1,211448000000,117452000000,16138000000
2020-06-30,NOBU,IDR,2020,Q2,222300000000,135021000000,16612000000
2020-09-30,NOBU,IDR,2020,Q3,227680000000,142006000000,16733000000
2020-12-31,NOBU,IDR,2020,Q4,226960000000,132938000000,4124000000
2021-03-31,NOBU,IDR,2021,Q1,217800000000,118674000000,12272000000
2021-06-30,NOBU,IDR,2021,Q2,268034000000,155530000000,14477000000
2021-09-30,NOBU,IDR,2021,Q3,265144000000,159587000000,19227000000
2021-12-31,NOBU,IDR,2021,Q4,268835000000,154923000000,18210000000
2022-03-31,NOBU,IDR,2022,Q1,280238000000,165502000000,23284000000
2022-06-30,NOBU,IDR,2022,Q2,287823000000,170550000000,24055000000
2022-09-30,NOBU,IDR,2022,Q3,310053000000,189667000000,28091000000
2022-12-31,NOBU,IDR,2022,Q4,354320000000,204275000000,28415000000
2023-03-31,NOBU,IDR,2023,Q1,361781000000,199222000000,29358000000
2023-06-30,NOBU,IDR,2023,Q2,402070000000,224701000000,32125000000
2023-09-30,NOBU,IDR,2023,Q3,423992000000,229211000000,41777000000
2023-12-31,NOBU,IDR,2023,Q4,465700000000,237020000000,37133000000
2024-03-31,NOBU,IDR,2024,Q1,520656000000,273769000000,51031000000
2024-06-30,NOBU,IDR,2024,Q2,576433000000,314062000000,76715000000
2024-09-30,NOBU,IDR,2024,Q3,626132000000,335619000000,98507000000
2024-12-31,NOBU,IDR,2024,Q4,688392000000,359849000000,102747000000
2025-03-31,NOBU,IDR,2025,Q1,714476000000,380039000000,110106000000
2025-06-30,NOBU,IDR,2025,Q2,740657000000,409063000000,123129000000
2025-09-30,NOBU,IDR,2025,Q3,755195000000,416400000000,126643000000
2025-12-31,NOBU,IDR,2025,Q4,766508000000,393090000000,121442000000
2026-03-31,NOBU,IDR,2026,Q1,834374000000,448935000000,153952000000
