date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-12-31,NPGF,IDR,2019,Q4,63780850090,17990993760,2309978522
2020-03-31,NPGF,IDR,2020,Q1,80918778543,17039034083,2234943738
2020-06-30,NPGF,IDR,2020,Q2,80918778542,17039034083,2234943737
2020-09-30,NPGF,IDR,2020,Q3,73407942842,25135338021,2220696759
2020-12-31,NPGF,IDR,2020,Q4,99815678008,24415650287,-1336703732
2021-03-31,NPGF,IDR,2021,Q1,85533084338,12642288166,2501609602
2021-06-30,NPGF,IDR,2021,Q2,78671179552,14637483837,2883585967
2021-09-30,NPGF,IDR,2021,Q3,48806241053,8597970400,-586774325
2021-12-31,NPGF,IDR,2021,Q4,139340987608,21468067108,-281979148
2022-03-31,NPGF,IDR,2022,Q1,44587866503,9184966343,161745113
2022-06-30,NPGF,IDR,2022,Q2,53602245525,7581747054,-2549186310
2022-09-30,NPGF,IDR,2022,Q3,44537490848,-1944277848,-8828786497
2022-12-31,NPGF,IDR,2022,Q4,11665456301,-16523888611,-27035144860
2023-03-31,NPGF,IDR,2023,Q1,7198850534,-26118169561,22659934635
2023-06-30,NPGF,IDR,2023,Q2,1569350000,-4015027833,127643095
2023-09-30,NPGF,IDR,2023,Q3,10827388264,2512040627,4442179549
2023-12-31,NPGF,IDR,2023,Q4,32690837000,1333488000,32904941000
2024-03-31,NPGF,IDR,2024,Q1,22435110000,5331260000,-1953628000
2024-06-30,NPGF,IDR,2024,Q2,29540779844,7313409977,3016446581
2024-09-30,NPGF,IDR,2024,Q3,48789179000,12334328000,2307628000
2024-12-31,NPGF,IDR,2024,Q4,67241975000,16070351000,-385157000
2025-03-31,NPGF,IDR,2025,Q1,40633269000,10497212000,896563000
2025-06-30,NPGF,IDR,2025,Q2,30934345000,7920125000,525710000
2025-09-30,NPGF,IDR,2025,Q3,60324467000,16503087000,2616793000
2025-12-31,NPGF,IDR,2025,Q4,93907588000,19559702000,300404000
2026-03-31,NPGF,IDR,2026,Q1,85258010734,20981177026,1602910008
2026-06-30,NPGF,IDR,2026,Q2,70654774891,14643307839,508781462
