date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2021-03-31,NTBK,IDR,2021,Q1,9074396710,1134647608,59623885
2021-06-30,NTBK,IDR,2021,Q2,12842199690,2070838824,293181863
2021-09-30,NTBK,IDR,2021,Q3,9135262914,1474347727,-43505745
2021-12-31,NTBK,IDR,2021,Q4,21746496646,1555111292,-57078990
2022-03-31,NTBK,IDR,2022,Q1,15691776000,1955570922,207070291
2022-06-30,NTBK,IDR,2022,Q2,15374902568,2168973266,303931427
2022-09-30,NTBK,IDR,2022,Q3,26040030407,2589654319,399328352
2022-12-31,NTBK,IDR,2022,Q4,44772830657,5127123172,789909979
2023-03-31,NTBK,IDR,2023,Q1,32451693713,3504356564,1019258957
2023-06-30,NTBK,IDR,2023,Q2,39657649624,4989557375,1377161160
2023-09-30,NTBK,IDR,2023,Q3,33775280236,4804153582,1116969050
2023-12-31,NTBK,IDR,2023,Q4,31760738992,3436057261,712130521
2024-03-31,NTBK,IDR,2024,Q1,21749289479,3291477031,11679157
2024-06-30,NTBK,IDR,2024,Q2,16370570894,3098582725,6570171
2024-09-30,NTBK,IDR,2024,Q3,17857088951,3358933575,33556004
2024-12-31,NTBK,IDR,2024,Q4,49504008160,6199583541,588775029
2025-03-31,NTBK,IDR,2025,Q1,29808268257,4894454902,143924743
2025-06-30,NTBK,IDR,2025,Q2,15391383588,2820767211,-90893218
2025-09-30,NTBK,IDR,2025,Q3,17765030446,4374565952,179677935
2025-12-31,NTBK,IDR,2025,Q4,33624308679,6521167551,474274999
2026-03-31,NTBK,IDR,2026,Q1,15589909758,2245900049,-1765184966
