date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2015-03-31,OASA,IDR,2015,Q1,5115127000,2390110011,678884033
2015-06-30,OASA,IDR,2015,Q2,5115127000,2390110012,678884032
2015-09-30,OASA,IDR,2015,Q3,12127361711,3099177039,-352737
2015-12-31,OASA,IDR,2015,Q4,2864071725,1883960250,1681305348
2016-03-31,OASA,IDR,2016,Q1,1453580909,-1158279367,-1939746424
2016-06-30,OASA,IDR,2016,Q2,10371419091,5957663123,3789265583
2016-09-30,OASA,IDR,2016,Q3,398179351,-581672066,154422821
2016-12-31,OASA,IDR,2016,Q4,-5301876804,-6409847086,-3422646147
2017-03-31,OASA,IDR,2017,Q1,1554843995,662548439,95066796
2017-06-30,OASA,IDR,2017,Q2,2312832201,1896255774,1280459966
2017-09-30,OASA,IDR,2017,Q3,12777370061,33046966,-454552263
2017-12-31,OASA,IDR,2017,Q4,15318054618,-16036514,-2305574640
2018-03-31,OASA,IDR,2018,Q1,9309156225,939362429,219361554
2018-06-30,OASA,IDR,2018,Q2,4567101454,345662720,-38854216
2018-09-30,OASA,IDR,2018,Q3,5750367610,1857217026,1504121168
2018-12-31,OASA,IDR,2018,Q4,3202711210,-850700445,-2442987032
2019-03-31,OASA,IDR,2019,Q1,5588330000,1581255951,1088052392
2019-06-30,OASA,IDR,2019,Q2,4818600000,778449866,120171349
2019-09-30,OASA,IDR,2019,Q3,6962800000,52435498,-114381508
2019-12-31,OASA,IDR,2019,Q4,-494375000,-1077655837,-2764966280
2020-03-31,OASA,IDR,2020,Q1,802425000,270570997,2392567527
2020-06-30,OASA,IDR,2020,Q2,286392320,-38221342,-1598657350
2020-09-30,OASA,IDR,2020,Q3,32300000,-6992566,208585410
2020-12-31,OASA,IDR,2020,Q4,90595000,-235920794,-1470611971
2021-03-31,OASA,IDR,2021,Q1,2186580000,579732727,1071569908
2021-06-30,OASA,IDR,2021,Q2,1000000000,280715418,77414917
2021-09-30,OASA,IDR,2021,Q3,145000000,42002656,-113875443
2021-12-31,OASA,IDR,2021,Q4,79201850,-120947424,265684939
2022-03-31,OASA,IDR,2022,Q1,3201212500,494194868,242915668
2022-06-30,OASA,IDR,2022,Q2,-2392708080,-4416584519,-459950071
2022-09-30,OASA,IDR,2022,Q3,0,-1,-4818526910
2022-12-31,OASA,IDR,2022,Q4,40000000000,31619424334,10101647062
2023-03-31,OASA,IDR,2023,Q1,10275000000,8065860350,766728718
2023-06-30,OASA,IDR,2023,Q2,10500000000,7640833133,-344850176
2023-09-30,OASA,IDR,2023,Q3,9535852550,7240109742,-264549148
2023-12-31,OASA,IDR,2023,Q4,13840496000,1174909000,2797706000
2024-03-31,OASA,IDR,2024,Q1,22765443000,10406738000,1312187000
2024-06-30,OASA,IDR,2024,Q2,17163961953,8495450016,-180032082
2024-09-30,OASA,IDR,2024,Q3,10659266308,4532588972,-434563241
2024-12-31,OASA,IDR,2024,Q4,16187219000,-12857762000,-63500556000
2025-03-31,OASA,IDR,2025,Q1,20453362000,3551322000,-8076298000
2025-06-30,OASA,IDR,2025,Q2,4051513000,48397000,-7398414000
2025-09-30,OASA,IDR,2025,Q3,6142020927,-101548295,2154158961
2025-12-31,OASA,IDR,2025,Q4,1936352000,-1451140000,-29465047000
2026-03-31,OASA,IDR,2026,Q1,2383024000,-1427409000,-23705160000
