date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-06-30,OCAP,IDR,2022,Q2,-3308694915,-3987416830,-5235303858
2022-09-30,OCAP,IDR,2022,Q3,-240648179,-898255111,-2239029786
2022-12-31,OCAP,IDR,2022,Q4,-17015523023,-17740349067,-20772222750
2023-03-31,OCAP,IDR,2023,Q1,7022691239,6544417893,5602522136
2023-06-30,OCAP,IDR,2023,Q2,3135054145,2655535753,1594724808
2023-09-30,OCAP,IDR,2023,Q3,-5421674012,-5979141824,-6777039174
2023-12-31,OCAP,IDR,2023,Q4,-4766407270,-5337186120,-6393432493
2024-03-31,OCAP,IDR,2024,Q1,-2703633895,-3277702231,-4354067012
2024-06-30,OCAP,IDR,2024,Q2,-7066089634,-7654123338,-8525696448
2024-09-30,OCAP,IDR,2024,Q3,9971197627,9387997252,8609159799
2024-12-31,OCAP,IDR,2024,Q4,-6613122224,-7193609208,-8184797808
2025-03-31,OCAP,IDR,2025,Q1,-8666169058,-9275552184,-10846316870
2025-06-30,OCAP,IDR,2025,Q2,-3419095493,-4133870482,-4792114623
2025-09-30,OCAP,IDR,2025,Q3,-4731766832,-5451407672,-6775555074
2025-12-31,OCAP,IDR,2025,Q4,-5168118369,-5893889140,-6895165441
2026-03-31,OCAP,IDR,2026,Q1,-2614572805,-3359503979,-4389292902
