date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-09-30,OMED,IDR,2022,Q3,454645271909,145440109569,61102794432
2022-12-31,OMED,IDR,2022,Q4,470979080117,154600736848,100118871696
2023-03-31,OMED,IDR,2023,Q1,396896560168,127840382574,56422777298
2023-06-30,OMED,IDR,2023,Q2,414445151140,136103971932,54189133841
2023-09-30,OMED,IDR,2023,Q3,455128508242,135694496326,71771691321
2023-12-31,OMED,IDR,2023,Q4,470519590000,152349302000,76975926000
2024-03-31,OMED,IDR,2024,Q1,427388439000,138701548000,63460534000
2024-06-30,OMED,IDR,2024,Q2,452259622000,153345703000,80488312000
2024-09-30,OMED,IDR,2024,Q3,484846968000,154913645000,66977634000
2024-12-31,OMED,IDR,2024,Q4,521327012000,177014765000,110746982000
2025-03-31,OMED,IDR,2025,Q1,436315465000,146882529000,72763697000
2025-06-30,OMED,IDR,2025,Q2,489530669000,165886450000,80967619000
2025-09-30,OMED,IDR,2025,Q3,544048076000,179796311000,100477171000
2025-12-31,OMED,IDR,2025,Q4,593922691000,214148005000,112740269000
2026-03-31,OMED,IDR,2026,Q1,572248285974,205929493811,98369588296
2026-06-30,OMED,IDR,2026,Q2,594545190767,213391714146,121071105409
