date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2016-03-31,PBID,IDR,2016,Q1,793158066500,90667959000,38344982000
2016-06-30,PBID,IDR,2016,Q2,793158066500,90667959000,38344982000
2016-09-30,PBID,IDR,2016,Q3,790831036500,105344307000,29711632500
2016-12-31,PBID,IDR,2016,Q4,790831036500,105344307000,29711632500
2017-03-31,PBID,IDR,2017,Q1,817029874000,120073920000,56980621000
2017-06-30,PBID,IDR,2017,Q2,790265077000,98990816000,39106150000
2017-09-30,PBID,IDR,2017,Q3,929483337000,146713225000,71807409000
2017-12-31,PBID,IDR,2017,Q4,953308976000,154864471000,59971197000
2018-03-31,PBID,IDR,2018,Q1,985951011000,161414076000,78145959000
2018-06-30,PBID,IDR,2018,Q2,1001911522000,146174531000,59755339000
2018-09-30,PBID,IDR,2018,Q3,1179514656000,167874091000,109559148000
2018-12-31,PBID,IDR,2018,Q4,1185910396000,144285966000,47052907000
2019-03-31,PBID,IDR,2019,Q1,1205380750000,150842288000,63620851000
2019-06-30,PBID,IDR,2019,Q2,1055579588000,139102918000,43384869000
2019-09-30,PBID,IDR,2019,Q3,1229541581000,145814748000,40811816000
2019-12-31,PBID,IDR,2019,Q4,1142362693000,166161785000,75081593000
2020-03-31,PBID,IDR,2020,Q1,979469863000,189301806000,61558649000
2020-06-30,PBID,IDR,2020,Q2,874653393000,160702607000,78304820000
2020-09-30,PBID,IDR,2020,Q3,1017389953000,231491116000,129091031000
2020-12-31,PBID,IDR,2020,Q4,999039251000,237186300000,102647577000
2021-03-31,PBID,IDR,2021,Q1,1042000340000,234664694000,121471103000
2021-06-30,PBID,IDR,2021,Q2,1083017312000,225477677000,113775056000
2021-09-30,PBID,IDR,2021,Q3,1109754394000,186594300000,85528720000
2021-12-31,PBID,IDR,2021,Q4,1206740727000,232759800000,89472677000
2022-03-31,PBID,IDR,2022,Q1,1242750654000,239612593000,117120255000
2022-06-30,PBID,IDR,2022,Q2,1266652593000,233386247000,97903483000
2022-09-30,PBID,IDR,2022,Q3,1304385173000,176651071000,55795338000
2022-12-31,PBID,IDR,2022,Q4,1216635835000,180657769000,82037963000
2023-03-31,PBID,IDR,2023,Q1,1220511461000,217227403000,100234993000
2023-06-30,PBID,IDR,2023,Q2,1128678829000,179014700000,67140871000
2023-09-30,PBID,IDR,2023,Q3,1151712704000,218842742000,89449055000
2023-12-31,PBID,IDR,2023,Q4,1202321349000,243245388000,117328159000
2024-03-31,PBID,IDR,2024,Q1,1283863709000,272598186000,132587273000
2024-06-30,PBID,IDR,2024,Q2,1199710124000,242374078000,119851442000
2024-09-30,PBID,IDR,2024,Q3,1404453236000,266511842000,131582996000
2024-12-31,PBID,IDR,2024,Q4,1357870612000,263485956000,100949400000
2025-03-31,PBID,IDR,2025,Q1,1277521756000,231679336000,101776093000
2025-06-30,PBID,IDR,2025,Q2,1274678394000,217200711000,91724766000
2025-09-30,PBID,IDR,2025,Q3,1341134111000,231380080000,106775685000
2025-12-31,PBID,IDR,2025,Q4,1298716259000,258694805000,100309438000
2026-03-31,PBID,IDR,2026,Q1,1296395339000,283197293000,126069470000
2026-06-30,PBID,IDR,2026,Q2,1826648939000,472549663000,284385942000
