date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,PBRX,USD,2011,Q1,41661956,4217356,1373112
2011-06-30,PBRX,USD,2011,Q2,59105243,7320532,3012987
2011-09-30,PBRX,USD,2011,Q3,67526615,8502267,2732720
2011-12-31,PBRX,USD,2011,Q4,71352198,7700092,865674
2012-03-31,PBRX,USD,2012,Q1,49858384,6145425,1717367
2012-06-30,PBRX,USD,2012,Q2,66350077,8013208,644829
2012-09-30,PBRX,USD,2012,Q3,78120648,9914368,3720025
2012-12-31,PBRX,USD,2012,Q4,84997170,8359858,1541261
2013-03-31,PBRX,USD,2013,Q1,64438385,7078226,885940
2013-06-30,PBRX,USD,2013,Q2,95132821,10183688,4285369
2013-09-30,PBRX,USD,2013,Q3,104570365,12919219,3288961
2013-12-31,PBRX,USD,2013,Q4,75582264,11624319,2091962
2014-03-31,PBRX,USD,2014,Q1,63995194,7881882,7611261
2014-06-30,PBRX,USD,2014,Q2,98898760,11181628,-701444
2014-09-30,PBRX,USD,2014,Q3,89888640,9491373,-1604370
2014-12-31,PBRX,USD,2014,Q4,85746647,11002630,5048567
2015-03-31,PBRX,USD,2015,Q1,75764371,9830789,681019
2015-06-30,PBRX,USD,2015,Q2,108124953,12603138,2269189
2015-09-30,PBRX,USD,2015,Q3,132370261,19780584,3875033
2015-12-31,PBRX,USD,2015,Q4,102315607,11416688,2561294
2016-03-31,PBRX,USD,2016,Q1,91381267,11841878,3372722
2016-06-30,PBRX,USD,2016,Q2,127379260,15816313,4682109
2016-09-30,PBRX,USD,2016,Q3,153598245,19933645,4786714
2016-12-31,PBRX,USD,2016,Q4,109845387,17668259,1739015
2017-03-31,PBRX,USD,2017,Q1,100225710,13544146,2183587
2017-06-30,PBRX,USD,2017,Q2,141424499,19102435,2500981
2017-09-30,PBRX,USD,2017,Q3,162693091,23338251,4553425
2017-12-31,PBRX,USD,2017,Q4,145012486,20649535,111575
2018-03-31,PBRX,USD,2018,Q1,107433574,14181544,340235
2018-06-30,PBRX,USD,2018,Q2,153507203,21348289,4432347
2018-09-30,PBRX,USD,2018,Q3,186114221,26567441,6405245
2018-12-31,PBRX,USD,2018,Q4,164316313,19166972,7116430
2019-03-31,PBRX,USD,2019,Q1,112879263,15143264,1583753
2019-06-30,PBRX,USD,2019,Q2,171920629,23004889,6890308
2019-09-30,PBRX,USD,2019,Q3,207060915,27401722,7064529
2019-12-31,PBRX,USD,2019,Q4,173188236,22838813,4700630
2020-03-31,PBRX,USD,2020,Q1,121655179,17608169,2100228
2020-06-30,PBRX,USD,2020,Q2,204553334,26741996,9979563
2020-09-30,PBRX,USD,2020,Q3,197578821,27095690,8507673
2020-12-31,PBRX,USD,2020,Q4,161104967,19753882,3124274
2021-03-31,PBRX,USD,2021,Q1,126163177,16045476,2215909
2021-06-30,PBRX,USD,2021,Q2,174620008,23059095,9466964
2021-09-30,PBRX,USD,2021,Q3,207036418,20833262,7340504
2021-12-31,PBRX,USD,2021,Q4,181625186,17542393,-2882790
2022-03-31,PBRX,USD,2022,Q1,127218333,15257915,3642258
2022-06-30,PBRX,USD,2022,Q2,168787169,18531000,-260654
2022-09-30,PBRX,USD,2022,Q3,205962290,24794750,9497296
2022-12-31,PBRX,USD,2022,Q4,188075954,22744924,-11229897
2023-03-31,PBRX,USD,2023,Q1,110042924,12679741,1159330
2023-06-30,PBRX,USD,2023,Q2,153445024,18872209,5132313
2023-09-30,PBRX,USD,2023,Q3,168106793,17625105,-3833724
2023-12-31,PBRX,USD,2023,Q4,150020441,16062257,-3674426
2024-03-31,PBRX,USD,2024,Q1,92257316,10864586,124909
2024-06-30,PBRX,USD,2024,Q2,66747342,-476695,-436685971
2024-09-30,PBRX,USD,2024,Q3,87570692,10381299,-7118768
2024-12-31,PBRX,USD,2024,Q4,73355294,4114714,-4630207
2025-03-31,PBRX,USD,2025,Q1,51797314,4094708,94649840
2025-06-30,PBRX,USD,2025,Q2,68317467,6915063,-17647
2025-09-30,PBRX,USD,2025,Q3,82192690,6733336,-671715
2025-12-31,PBRX,USD,2025,Q4,70900535,5195495,-67683231
2026-03-31,PBRX,USD,2026,Q1,57062457,4800246,-1665587
