date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2017-12-31,PEHA,IDR,2017,Q4,361502646000,192628296000,53203579000
2018-03-31,PEHA,IDR,2018,Q1,140031794000,85139534000,12461624000
2018-06-30,PEHA,IDR,2018,Q2,267332991000,147351442000,40250131000
2018-09-30,PEHA,IDR,2018,Q3,289797346000,178520749000,43014217000
2018-12-31,PEHA,IDR,2018,Q4,325807493000,172012568000,36580736000
2019-03-31,PEHA,IDR,2019,Q1,177845977000,98924238000,5085146000
2019-06-30,PEHA,IDR,2019,Q2,374264254000,197456087000,42664173000
2019-09-30,PEHA,IDR,2019,Q3,239825500000,131218199000,12242690000
2019-12-31,PEHA,IDR,2019,Q4,313484466000,181886169000,42041521000
2020-03-31,PEHA,IDR,2020,Q1,229368447000,126213735000,-13835397000
2020-06-30,PEHA,IDR,2020,Q2,224556529000,119130072000,40712347000
2020-09-30,PEHA,IDR,2020,Q3,246348975000,125519810000,23131150000
2020-12-31,PEHA,IDR,2020,Q4,280282702000,152623496000,-1520238000
2021-03-31,PEHA,IDR,2021,Q1,225291130000,119178890000,7154876000
2021-06-30,PEHA,IDR,2021,Q2,240947145000,119095619000,3267102000
2021-09-30,PEHA,IDR,2021,Q3,300939385000,142492009000,459457000
2021-12-31,PEHA,IDR,2021,Q4,284266682000,138763210000,189472000
2022-03-31,PEHA,IDR,2022,Q1,269259534000,135442905000,5599726000
2022-06-30,PEHA,IDR,2022,Q2,296247548000,140908488000,5538489000
2022-09-30,PEHA,IDR,2022,Q3,310926637000,150403138000,5981821000
2022-12-31,PEHA,IDR,2022,Q4,292040715000,156744266000,10949835000
2023-03-31,PEHA,IDR,2023,Q1,260973693000,134414596000,4708653000
2023-06-30,PEHA,IDR,2023,Q2,293941233000,144338499000,3035852000
2023-09-30,PEHA,IDR,2023,Q3,224999726000,100475173000,-22902591000
2023-12-31,PEHA,IDR,2023,Q4,234215059000,139754308000,21117415000
2024-03-31,PEHA,IDR,2024,Q1,171043609000,72862053000,-29440135000
2024-06-30,PEHA,IDR,2024,Q2,196773254000,90090857000,-20020365000
2024-09-30,PEHA,IDR,2024,Q3,204367441000,95472720000,-18310498000
2024-12-31,PEHA,IDR,2024,Q4,172510322000,15512215000,-217298167000
2025-03-31,PEHA,IDR,2025,Q1,200670566000,89169278000,-5748072000
2025-06-30,PEHA,IDR,2025,Q2,257557801000,130598697000,8131931000
2025-09-30,PEHA,IDR,2025,Q3,225351995000,113201597000,5351263000
2025-12-31,PEHA,IDR,2025,Q4,257299447000,160190941000,20296269000
2026-03-31,PEHA,IDR,2026,Q1,221087724000,104275003000,1532161000
