date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2009-03-31,PGAS,USD,2009,Q1,388046449,228921292,105687541
2009-06-30,PGAS,USD,2009,Q2,492396029,293271363,205775941
2009-09-30,PGAS,USD,2009,Q3,520668765,313068748,144867772
2009-12-31,PGAS,USD,2009,Q4,511264751,311073458,204570259
2010-03-31,PGAS,USD,2010,Q1,492065146,298947238,194275665
2010-06-30,PGAS,USD,2010,Q2,549755387,362675078,156477331
2010-09-30,PGAS,USD,2010,Q3,590765648,373175946,174565926
2010-12-31,PGAS,USD,2010,Q4,535712906,341075174,159139006
2011-03-31,PGAS,USD,2011,Q1,534630403,337831487,242245671
2011-06-30,PGAS,USD,2011,Q2,545133903,334345931,138976019
2011-09-30,PGAS,USD,2011,Q3,503811826,311818397,121231245
2011-12-31,PGAS,USD,2011,Q4,576665627,315815843,152557245
2012-03-31,PGAS,USD,2012,Q1,582148556,359233675,275934055
2012-06-30,PGAS,USD,2012,Q2,598840944,363889614,133885858
2012-09-30,PGAS,USD,2012,Q3,646811232,357688331,211461599
2012-12-31,PGAS,USD,2012,Q4,748692305,391579684,269603944
2013-03-31,PGAS,USD,2013,Q1,731061687,359390329,253642862
2013-06-30,PGAS,USD,2013,Q2,760639137,345544954,192197456
2013-09-30,PGAS,USD,2013,Q3,709317544,338896272,184100557
2013-12-31,PGAS,USD,2013,Q4,800498262,374162930,218922406
2014-03-31,PGAS,USD,2014,Q1,841630268,339429017,176670635
2014-06-30,PGAS,USD,2014,Q2,862021915,396880785,193380173
2014-09-30,PGAS,USD,2014,Q3,809904810,365950986,221744797
2014-12-31,PGAS,USD,2014,Q4,895033068,362547722,130958460
2015-03-31,PGAS,USD,2015,Q1,696372283,223436368,109406275
2015-06-30,PGAS,USD,2015,Q2,719508154,255379910,117929797
2015-09-30,PGAS,USD,2015,Q3,722353815,224071880,78987308
2015-12-31,PGAS,USD,2015,Q4,930556593,260222459,94876500
2016-03-31,PGAS,USD,2016,Q1,720391879,223551482,100648894
2016-06-30,PGAS,USD,2016,Q2,718826402,222543568,51804203
2016-09-30,PGAS,USD,2016,Q3,716336247,218555176,89545379
2016-12-31,PGAS,USD,2016,Q4,779224182,222289713,62325945
2017-03-31,PGAS,USD,2017,Q1,746036607,221226481,96833768
2017-06-30,PGAS,USD,2017,Q2,664990446,157536373,-46545574
2017-09-30,PGAS,USD,2017,Q3,753476343,180977080,47625405
2017-12-31,PGAS,USD,2017,Q4,805088415,237491870,45232748
2018-03-31,PGAS,USD,2018,Q1,797753710,208863126,91119564
2018-06-30,PGAS,USD,2018,Q2,824652458,255276589,65588747
2018-09-30,PGAS,USD,2018,Q3,822321083,220355899,72198579
2018-12-31,PGAS,USD,2018,Q4,1425539487,625004586,86849108
2019-03-31,PGAS,USD,2019,Q1,860532731,285187006,65098599
2019-06-30,PGAS,USD,2019,Q2,928866439,294907774,-11055402
2019-09-30,PGAS,USD,2019,Q3,1022459706,306889667,75063724
2019-12-31,PGAS,USD,2019,Q4,1036858808,340384522,-61522831
2020-03-31,PGAS,USD,2020,Q1,873809720,287059419,47774844
2020-06-30,PGAS,USD,2020,Q2,595357739,175492925,-41053149
2020-09-30,PGAS,USD,2020,Q3,681906254,225432160,46536155
2020-12-31,PGAS,USD,2020,Q4,734462392,166432896,-318031434
2021-03-31,PGAS,USD,2021,Q1,733154143,201491152,61570122
2021-06-30,PGAS,USD,2021,Q2,731405741,248808210,134937328
2021-09-30,PGAS,USD,2021,Q3,789706894,261353479,89704481
2021-12-31,PGAS,USD,2021,Q4,781834178,-124804119,17611934
2022-03-31,PGAS,USD,2022,Q1,836915728,186083887,118546111
2022-06-30,PGAS,USD,2022,Q2,903260345,234822576,120014369
2022-09-30,PGAS,USD,2022,Q3,901386702,186107096,71962525
2022-12-31,PGAS,USD,2022,Q4,927032000,173528863,34995262
2023-03-31,PGAS,USD,2023,Q1,933745145,176843624,118128019
2023-06-30,PGAS,USD,2023,Q2,849556220,191269740,59285708
2023-09-30,PGAS,USD,2023,Q3,907366571,154928270,53171760
2023-12-31,PGAS,USD,2023,Q4,955636229,210537844,79596095
2024-03-31,PGAS,USD,2024,Q1,949333807,211775903,121138427
2024-06-30,PGAS,USD,2024,Q2,889664577,195454000,65464223
2024-09-30,PGAS,USD,2024,Q3,977562091,180018170,76785223
2024-12-31,PGAS,USD,2024,Q4,972058712,170132829,76039901
2025-03-31,PGAS,USD,2025,Q1,966563402,140613919,62016053
2025-06-30,PGAS,USD,2025,Q2,971229131,179003184,82407788
2025-09-30,PGAS,USD,2025,Q3,968092000,173703000,91854000
2025-12-31,PGAS,USD,2025,Q4,1052158797,191819424,-22509352
2026-03-31,PGAS,USD,2026,Q1,929561551,157968183,90447959
