date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-12-31,PGUN,IDR,2019,Q4,134145468051,55922056869,22416858651
2020-03-31,PGUN,IDR,2020,Q1,152851982713,57683963958,26181697988
2020-06-30,PGUN,IDR,2020,Q2,92673966964,1034661399,-20156651266
2020-09-30,PGUN,IDR,2020,Q3,71450805964,-14354660634,-50224955524
2020-12-31,PGUN,IDR,2020,Q4,158275252607,-40408371285,-57276386246
2021-03-31,PGUN,IDR,2021,Q1,173370017445,62728627380,35963790522
2021-06-30,PGUN,IDR,2021,Q2,226387521260,35400537488,6756458088
2021-09-30,PGUN,IDR,2021,Q3,159247127467,-30044194879,-44456890084
2021-12-31,PGUN,IDR,2021,Q4,227681341898,58859941515,40164877220
2022-03-31,PGUN,IDR,2022,Q1,192448044113,38458971145,11256268757
2022-06-30,PGUN,IDR,2022,Q2,297992587755,58900820570,42914254694
2022-09-30,PGUN,IDR,2022,Q3,246121133810,80848645329,73455656529
2022-12-31,PGUN,IDR,2022,Q4,270743295186,82117052354,44525475690
2023-03-31,PGUN,IDR,2023,Q1,181125251529,29785068754,8238038592
2023-06-30,PGUN,IDR,2023,Q2,222829996177,71011137094,36506525928
2023-09-30,PGUN,IDR,2023,Q3,210835369760,66926108936,63798613355
2023-12-31,PGUN,IDR,2023,Q4,253666159072,77685526360,-486590287
2024-03-31,PGUN,IDR,2024,Q1,139179446852,23706181992,4622323231
2024-06-30,PGUN,IDR,2024,Q2,119458436748,22983191191,5950420271
2024-09-30,PGUN,IDR,2024,Q3,129185691000,22549708000,7903588000
2024-12-31,PGUN,IDR,2024,Q4,350741875000,135062159000,60704831000
2025-03-31,PGUN,IDR,2025,Q1,175693947000,67063518000,45452051000
2025-06-30,PGUN,IDR,2025,Q2,209480051000,75654185000,38082321000
2025-09-30,PGUN,IDR,2025,Q3,152657053000,44339230000,17899622000
2025-12-31,PGUN,IDR,2025,Q4,254893219000,89254126000,57874099000
2026-03-31,PGUN,IDR,2026,Q1,166542924000,79011157000,32478993000
2026-06-30,PGUN,IDR,2026,Q2,138436207000,70324108000,12031486000
