date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-03-31,PMMP,USD,2019,Q1,36993798,5901036,361171
2019-06-30,PMMP,USD,2019,Q2,36993798,5901036,361171
2019-09-30,PMMP,USD,2019,Q3,34354007,8727861,2513798
2019-12-31,PMMP,USD,2019,Q4,34354007,8727861,2513798
2020-03-31,PMMP,USD,2020,Q1,51431237,10625396,3874459
2020-06-30,PMMP,USD,2020,Q2,31913177,6028855,1395318
2020-09-30,PMMP,USD,2020,Q3,43103148,8589874,2611970
2020-12-31,PMMP,USD,2020,Q4,44133553,9939771,2763149
2021-03-31,PMMP,USD,2021,Q1,54322990,11117474,4534081
2021-06-30,PMMP,USD,2021,Q2,31449799,7359858,1615172
2021-09-30,PMMP,USD,2021,Q3,42961135,9947328,2385631
2021-12-31,PMMP,USD,2021,Q4,47035328,12284660,759484
2022-03-31,PMMP,USD,2022,Q1,60846633,12420332,3607413
2022-06-30,PMMP,USD,2022,Q2,39693475,9067857,2850386
2022-09-30,PMMP,USD,2022,Q3,39958016,9047452,2121201
2022-12-31,PMMP,USD,2022,Q4,50172987,4167052,-1035677
2023-03-31,PMMP,USD,2023,Q1,55187715,11224979,2606135
2023-06-30,PMMP,USD,2023,Q2,44955466,3496412,399130
2023-09-30,PMMP,USD,2023,Q3,50728235,9704183,1747923
2023-12-31,PMMP,USD,2023,Q4,37005592,5495213,-4671940
2024-03-31,PMMP,USD,2024,Q1,49613592,8428477,1669484
2024-06-30,PMMP,USD,2024,Q2,10291247,-10450125,-14512105
