date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-09-30,PNBS,IDR,2011,Q3,-11537000000,-11537000000,4730000000
2011-12-31,PNBS,IDR,2011,Q4,18192651000,18192651000,6716356000
2012-03-31,PNBS,IDR,2012,Q1,18713000000,18713000000,4223000000
2012-06-30,PNBS,IDR,2012,Q2,58441000000,58441000000,7829000000
2012-09-30,PNBS,IDR,2012,Q3,-9180000000,-9180000000,8468000000
2012-12-31,PNBS,IDR,2012,Q4,26909466000,26909466000,14536812000
2013-03-31,PNBS,IDR,2013,Q1,36812393000,36812393000,11266987000
2013-06-30,PNBS,IDR,2013,Q2,39713000000,39713000000,9269000000
2013-09-30,PNBS,IDR,2013,Q3,40022000000,40022000000,11198000000
2013-12-31,PNBS,IDR,2013,Q4,21110154000,21110154000,-10401974000
2014-03-31,PNBS,IDR,2014,Q1,42738602000,42738602000,10639619000
2014-06-30,PNBS,IDR,2014,Q2,78226513000,78226513000,14799763000
2014-09-30,PNBS,IDR,2014,Q3,81624381000,81624381000,20238484000
2014-12-31,PNBS,IDR,2014,Q4,59752150000,59752150000,25261029000
2015-03-31,PNBS,IDR,2015,Q1,64433813000,64433813000,18474389000
2015-06-30,PNBS,IDR,2015,Q2,77448071000,77448071000,10791992000
2015-09-30,PNBS,IDR,2015,Q3,85315908000,85315908000,12572672000
2015-12-31,PNBS,IDR,2015,Q4,85789697000,85789697000,11739329000
2016-03-31,PNBS,IDR,2016,Q1,79741900000,79741900000,2666888000
2016-06-30,PNBS,IDR,2016,Q2,74071192000,74071192000,7130317000
2016-09-30,PNBS,IDR,2016,Q3,76297322000,76297322000,7558221000
2016-12-31,PNBS,IDR,2016,Q4,88693579000,88693579000,2185487000
2017-03-31,PNBS,IDR,2017,Q1,88891966000,88891966000,12757719000
2017-06-30,PNBS,IDR,2017,Q2,91871833000,91871833000,2249712000
2017-09-30,PNBS,IDR,2017,Q3,85997624000,85997624000,63750000
2017-12-31,PNBS,IDR,2017,Q4,67431511000,67431511000,-983922479000
2018-03-31,PNBS,IDR,2018,Q1,46257710000,46257710000,4002077000
2018-06-30,PNBS,IDR,2018,Q2,61797946000,61797946000,4039470000
2018-09-30,PNBS,IDR,2018,Q3,40483631000,40483631000,3725166000
2018-12-31,PNBS,IDR,2018,Q4,50987300000,50987300000,9021516000
2019-03-31,PNBS,IDR,2019,Q1,37478758000,37478758000,5155132000
2019-06-30,PNBS,IDR,2019,Q2,47445274000,47445274000,-47613000
2019-09-30,PNBS,IDR,2019,Q3,66898920000,66898920000,3163677000
2019-12-31,PNBS,IDR,2019,Q4,26560921000,26560921000,4965815000
2020-03-31,PNBS,IDR,2020,Q1,49266970000,49266970000,5335791000
2020-06-30,PNBS,IDR,2020,Q2,34802515000,34802515000,-3763281000
2020-09-30,PNBS,IDR,2020,Q3,28552744000,28552744000,-1328348000
2020-12-31,PNBS,IDR,2020,Q4,45663015000,45663015000,-116046000
2021-03-31,PNBS,IDR,2021,Q1,92547462000,92547462000,2096179000
2021-06-30,PNBS,IDR,2021,Q2,102685542000,102685542000,202733000
2021-09-30,PNBS,IDR,2021,Q3,104009742000,104009742000,164671000
2021-12-31,PNBS,IDR,2021,Q4,114260130000,114260130000,-820575960000
2022-03-31,PNBS,IDR,2022,Q1,131446635000,131446635000,35737512000
2022-06-30,PNBS,IDR,2022,Q2,148801834000,148801834000,76244020000
2022-09-30,PNBS,IDR,2022,Q3,154706665000,154706665000,57025246000
2022-12-31,PNBS,IDR,2022,Q4,150134814000,150134814000,81524814000
2023-03-31,PNBS,IDR,2023,Q1,148342184000,148342184000,60205077000
2023-06-30,PNBS,IDR,2023,Q2,127836334000,127836334000,78134726000
2023-09-30,PNBS,IDR,2023,Q3,126564944000,126564944000,77128028000
2023-12-31,PNBS,IDR,2023,Q4,113830442000,113830442000,29222634000
2024-03-31,PNBS,IDR,2024,Q1,130099393000,130099393000,35515136000
2024-06-30,PNBS,IDR,2024,Q2,117283459000,117283459000,48421763000
2024-09-30,PNBS,IDR,2024,Q3,112849966000,112849966000,9352738000
2024-12-31,PNBS,IDR,2024,Q4,105608147000,105608147000,-4721145000
2025-03-31,PNBS,IDR,2025,Q1,92416969000,92416969000,13048657000
2025-06-30,PNBS,IDR,2025,Q2,99916341000,99916341000,13087013000
2025-09-30,PNBS,IDR,2025,Q3,318725881000,107999861000,17084603000
2025-12-31,PNBS,IDR,2025,Q4,339351439000,79337776000,-23204311000
2026-03-31,PNBS,IDR,2026,Q1,541665204000,49639832000,50070847000
2026-06-30,PNBS,IDR,2026,Q2,559438295000,33982881000,30712054000
