date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,PNIN,IDR,2011,Q1,640735000000,600145000000,168725000000
2011-06-30,PNIN,IDR,2011,Q2,1082239000000,1045612000000,154951000000
2011-09-30,PNIN,IDR,2011,Q3,661230000000,622713000000,175182000000
2011-12-31,PNIN,IDR,2011,Q4,1261580000000,682740000000,180646000000
2012-03-31,PNIN,IDR,2012,Q1,854166000000,799975000000,202496000000
2012-06-30,PNIN,IDR,2012,Q2,725849000000,675685000000,214758000000
2012-09-30,PNIN,IDR,2012,Q3,905704000000,865871000000,197332000000
2012-12-31,PNIN,IDR,2012,Q4,2006000000,-51260000000,175063000000
2013-03-31,PNIN,IDR,2013,Q1,1299768000000,1255162000000,236558000000
2013-06-30,PNIN,IDR,2013,Q2,788577000000,816802000000,172260000000
2013-09-30,PNIN,IDR,2013,Q3,977386000000,932632000000,178492000000
2013-12-31,PNIN,IDR,2013,Q4,770835000000,726999000000,210514000000
2014-03-31,PNIN,IDR,2014,Q1,1098895000000,1054438000000,234034000000
2014-06-30,PNIN,IDR,2014,Q2,1038887000000,976507000000,265234000000
2014-09-30,PNIN,IDR,2014,Q3,756956000000,714758000000,218481000000
2014-12-31,PNIN,IDR,2014,Q4,1856774000000,1996866000000,216256000000
2015-03-31,PNIN,IDR,2015,Q1,1138719000000,1042605000000,259579000000
2015-06-30,PNIN,IDR,2015,Q2,1977766000000,1874107000000,148722000000
2015-09-30,PNIN,IDR,2015,Q3,923068000000,847161000000,50615000000
2015-12-31,PNIN,IDR,2015,Q4,1342773000000,1309550000000,165135000000
2016-03-31,PNIN,IDR,2016,Q1,1253805000000,1159298000000,202996000000
2016-06-30,PNIN,IDR,2016,Q2,1244790000000,1185231000000,213392000000
2016-09-30,PNIN,IDR,2016,Q3,526923000000,525838000000,265243000000
2016-12-31,PNIN,IDR,2016,Q4,2148814000000,2087083000000,868481000000
2017-03-31,PNIN,IDR,2017,Q1,950687000000,835758000000,257564000000
2017-06-30,PNIN,IDR,2017,Q2,1100634000000,1042362000000,248605000000
2017-09-30,PNIN,IDR,2017,Q3,1728548000000,1664745000000,272695000000
2017-12-31,PNIN,IDR,2017,Q4,1599263000000,1519782000000,265909000000
2018-03-31,PNIN,IDR,2018,Q1,777248000000,709589000000,242466000000
2018-06-30,PNIN,IDR,2018,Q2,784037000000,715454000000,209909000000
2018-09-30,PNIN,IDR,2018,Q3,1010057000000,1124609000000,327968000000
2018-12-31,PNIN,IDR,2018,Q4,1996512000000,1890650000000,484702000000
2019-03-31,PNIN,IDR,2019,Q1,1610022000000,1532215000000,423282000000
2019-06-30,PNIN,IDR,2019,Q2,792059000000,643421000000,266271000000
2019-09-30,PNIN,IDR,2019,Q3,1096580000000,1221256000000,308560000000
2019-12-31,PNIN,IDR,2019,Q4,1169907000000,1052859000000,381272000000
2020-03-31,PNIN,IDR,2020,Q1,59870000000,-37816000000,40802000000
2020-06-30,PNIN,IDR,2020,Q2,829618000000,741092000000,308091000000
2020-09-30,PNIN,IDR,2020,Q3,726819000000,642271000000,348135000000
2020-12-31,PNIN,IDR,2020,Q4,1359136000000,1257356000000,354952000000
2021-03-31,PNIN,IDR,2021,Q1,632590000000,533866000000,255583000000
2021-06-30,PNIN,IDR,2021,Q2,464827000000,364632000000,205485000000
2021-09-30,PNIN,IDR,2021,Q3,880964000000,786870000000,323168000000
2021-12-31,PNIN,IDR,2021,Q4,872174000000,765154000000,35087000000
2022-03-31,PNIN,IDR,2022,Q1,839326000000,734514000000,257373000000
2022-06-30,PNIN,IDR,2022,Q2,907802000000,801889000000,710868000000
2022-09-30,PNIN,IDR,2022,Q3,934971000000,827368000000,559822000000
2022-12-31,PNIN,IDR,2022,Q4,456278000000,359842000000,111103000000
2023-03-31,PNIN,IDR,2023,Q1,2774181000000,2664005000000,228884000000
2023-06-30,PNIN,IDR,2023,Q2,600023000000,506027000000,380561000000
2023-09-30,PNIN,IDR,2023,Q3,760178000000,660847000000,375822000000
2023-12-31,PNIN,IDR,2023,Q4,8512280000000,8315495000000,-766893000000
2024-03-31,PNIN,IDR,2024,Q1,3151641000000,3066113000000,283358000000
2024-06-30,PNIN,IDR,2024,Q2,3246238000000,3116136000000,243347000000
2024-09-30,PNIN,IDR,2024,Q3,2910836000000,2810226000000,489155000000
2024-12-31,PNIN,IDR,2024,Q4,2201650000000,2068904000000,375223000000
2025-03-31,PNIN,IDR,2025,Q1,3317464000000,3250890000000,216314000000
2025-06-30,PNIN,IDR,2025,Q2,2707184000000,2649988000000,104268000000
2025-09-30,PNIN,IDR,2025,Q3,4635732000000,4297297000000,310271000000
2025-12-31,PNIN,IDR,2025,Q4,-45300000000,-45300000000,305836000000
2026-03-31,PNIN,IDR,2026,Q1,4682708000000,4682708000000,481504000000
