date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-12-31,PNLF,IDR,2010,Q4,0,0,0
2011-03-31,PNLF,IDR,2011,Q1,375520000000,375520000000,207687000000
2011-06-30,PNLF,IDR,2011,Q2,816516000000,816516000000,211198000000
2011-09-30,PNLF,IDR,2011,Q3,383794000000,383794000000,260377000000
2011-12-31,PNLF,IDR,2011,Q4,944747000000,944747000000,245891000000
2012-03-31,PNLF,IDR,2012,Q1,796008000000,755801000000,287202000000
2012-06-30,PNLF,IDR,2012,Q2,375852000000,375852000000,305511000000
2012-09-30,PNLF,IDR,2012,Q3,629175000000,629175000000,257981000000
2012-12-31,PNLF,IDR,2012,Q4,730814000000,730814000000,260791000000
2013-03-31,PNLF,IDR,2013,Q1,1228671000000,1190453000000,310743000000
2013-06-30,PNLF,IDR,2013,Q2,763224000000,718312000000,295298000000
2013-09-30,PNLF,IDR,2013,Q3,931335000000,898876000000,309708000000
2013-12-31,PNLF,IDR,2013,Q4,712082000000,679220000000,257791000000
2014-03-31,PNLF,IDR,2014,Q1,1031635000000,995304000000,334750000000
2014-06-30,PNLF,IDR,2014,Q2,956822000000,905035000000,408147000000
2014-09-30,PNLF,IDR,2014,Q3,698734000000,668041000000,348915000000
2014-12-31,PNLF,IDR,2014,Q4,1739800000000,1708381000000,195835000000
2015-03-31,PNLF,IDR,2015,Q1,920839000000,858989000000,327804000000
2015-06-30,PNLF,IDR,2015,Q2,1616541000000,1583949000000,267398000000
2015-09-30,PNLF,IDR,2015,Q3,738180000000,705014000000,114998000000
2015-12-31,PNLF,IDR,2015,Q4,1142350000000,1098743000000,195201000000
2016-03-31,PNLF,IDR,2016,Q1,1031513000000,966784000000,317985000000
2016-06-30,PNLF,IDR,2016,Q2,1005216000000,982522000000,309102000000
2016-09-30,PNLF,IDR,2016,Q3,1026552000000,978274000000,407613000000
2016-12-31,PNLF,IDR,2016,Q4,1425143000000,1369895000000,501375000000
2017-03-31,PNLF,IDR,2017,Q1,908157000000,853919000000,409270000000
2017-06-30,PNLF,IDR,2017,Q2,1063521000000,1011733000000,401716000000
2017-09-30,PNLF,IDR,2017,Q3,1688619000000,1631299000000,430471000000
2017-12-31,PNLF,IDR,2017,Q4,1443257000000,1370259000000,216110000000
2018-03-31,PNLF,IDR,2018,Q1,744019000000,682843000000,387634000000
2018-06-30,PNLF,IDR,2018,Q2,766291000000,704192000000,375711000000
2018-09-30,PNLF,IDR,2018,Q3,1171367000000,1102927000000,715228000000
2018-12-31,PNLF,IDR,2018,Q4,1722628000000,1641299000000,350829000000
2019-03-31,PNLF,IDR,2019,Q1,1467971000000,1394545000000,462954000000
2019-06-30,PNLF,IDR,2019,Q2,829576000000,753738000000,476894000000
2019-09-30,PNLF,IDR,2019,Q3,1070610000000,975804000000,453740000000
2019-12-31,PNLF,IDR,2019,Q4,1151389000000,1051864000000,581739000000
2020-03-31,PNLF,IDR,2020,Q1,273233000000,175547000000,408523000000
2020-06-30,PNLF,IDR,2020,Q2,763426000000,679280000000,388650000000
2020-09-30,PNLF,IDR,2020,Q3,734595000000,641287000000,572741000000
2020-12-31,PNLF,IDR,2020,Q4,1209864000000,1108084000000,489850000000
2021-03-31,PNLF,IDR,2021,Q1,609209000000,510485000000,373730000000
2021-06-30,PNLF,IDR,2021,Q2,549334000000,457900000000,465001000000
2021-09-30,PNLF,IDR,2021,Q3,861618000000,758763000000,491566000000
2021-12-31,PNLF,IDR,2021,Q4,834731000000,727711000000,-2484000000
2022-03-31,PNLF,IDR,2022,Q1,825360000000,720548000000,391066000000
2022-06-30,PNLF,IDR,2022,Q2,545500000000,448348000000,502905000000
2022-09-30,PNLF,IDR,2022,Q3,716061000000,612837000000,484033000000
2022-12-31,PNLF,IDR,2022,Q4,628137000000,518561000000,420286000000
2023-03-31,PNLF,IDR,2023,Q1,2749351000000,2639175000000,331682000000
2023-06-30,PNLF,IDR,2023,Q2,696349000000,606734000000,631519000000
2023-09-30,PNLF,IDR,2023,Q3,679140000000,575428000000,426470000000
2023-12-31,PNLF,IDR,2023,Q4,8473180000000,8259023000000,91637000000
2024-03-31,PNLF,IDR,2024,Q1,3474591000000,3389063000000,418858000000
2024-06-30,PNLF,IDR,2024,Q2,3117258000000,2987231000000,378389000000
2024-09-30,PNLF,IDR,2024,Q3,3138360000000,3037750000000,499426000000
2024-12-31,PNLF,IDR,2024,Q4,3376606000000,3243935000000,367478000000
2025-03-31,PNLF,IDR,2025,Q1,2955703000000,2889129000000,441194000000
2025-06-30,PNLF,IDR,2025,Q2,3267639000000,3210481000000,371370000000
2025-09-30,PNLF,IDR,2025,Q3,5185973000000,4876496000000,468759000000
2025-12-31,PNLF,IDR,2025,Q4,6894784000000,7327993000000,463006000000
2026-03-31,PNLF,IDR,2026,Q1,4714298000000,4714298000000,814017000000
