date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,PNSE,IDR,2012,Q4,72937956177,53372814768,4906290313
2013-03-31,PNSE,IDR,2013,Q1,50017292383,31513865817,7176788003
2013-06-30,PNSE,IDR,2013,Q2,63741971870,42630195080,6647381128
2013-09-30,PNSE,IDR,2013,Q3,66983456728,45729740772,10133610112
2013-12-31,PNSE,IDR,2013,Q4,78727580853,47882595856,11589655290
2014-03-31,PNSE,IDR,2014,Q1,52034268398,32498963708,5545450721
2014-06-30,PNSE,IDR,2014,Q2,61310919655,40206137296,5147344607
2014-09-30,PNSE,IDR,2014,Q3,63661871050,42554261254,8711218469
2014-12-31,PNSE,IDR,2014,Q4,68965785360,38318694794,945638990
2015-03-31,PNSE,IDR,2015,Q1,42406102749,24875109138,9276051
2015-06-30,PNSE,IDR,2015,Q2,55394353759,37658357873,993343690
2015-09-30,PNSE,IDR,2015,Q3,58330115426,38710640579,3134154180
2015-12-31,PNSE,IDR,2015,Q4,69713985077,38333824601,4218055959
2016-03-31,PNSE,IDR,2016,Q1,50829400676,30364194912,297254579
2016-06-30,PNSE,IDR,2016,Q2,56555455848,35437282050,-395543338
2016-09-30,PNSE,IDR,2016,Q3,61166788873,39030720669,-153710927
2016-12-31,PNSE,IDR,2016,Q4,56277502258,29436021382,-2061859859
2017-03-31,PNSE,IDR,2017,Q1,41973013350,23372702070,-3272564017
2017-06-30,PNSE,IDR,2017,Q2,51512227029,32537724505,4614293517
2017-09-30,PNSE,IDR,2017,Q3,67537297141,41324602774,2148354052
2017-12-31,PNSE,IDR,2017,Q4,63047570103,35581547548,13730105784
2018-03-31,PNSE,IDR,2018,Q1,47001760589,25256061573,-3479288029
2018-06-30,PNSE,IDR,2018,Q2,50187955581,25043526396,-3250743168
2018-09-30,PNSE,IDR,2018,Q3,62216500716,42215563595,6215123434
2018-12-31,PNSE,IDR,2018,Q4,59000648839,28077952689,-11062823713
2019-03-31,PNSE,IDR,2019,Q1,36272489177,16622470985,-8987064971
2019-06-30,PNSE,IDR,2019,Q2,46095273272,25115635535,-5251989383
2019-09-30,PNSE,IDR,2019,Q3,66781140101,41950945959,1536913995
2019-12-31,PNSE,IDR,2019,Q4,66481127477,34164275145,-4033500932
2020-03-31,PNSE,IDR,2020,Q1,36989536986,15811138585,-16566561117
2020-06-30,PNSE,IDR,2020,Q2,3117075912,-6564439721,-8687026931
2020-09-30,PNSE,IDR,2020,Q3,14035871032,2668756055,-12250697280
2020-12-31,PNSE,IDR,2020,Q4,22369442398,9971073471,-3123826047
2021-03-31,PNSE,IDR,2021,Q1,11652316412,-2524583896,-11105735341
2021-06-30,PNSE,IDR,2021,Q2,13975530601,-1509830821,-12516331903
2021-09-30,PNSE,IDR,2021,Q3,11309778596,-389969965,-8680392772
2021-12-31,PNSE,IDR,2021,Q4,32122868444,14455609206,2603472709
2022-03-31,PNSE,IDR,2022,Q1,20728915093,4522719653,-11684358410
2022-06-30,PNSE,IDR,2022,Q2,28967354389,14095179800,1685849281
2022-09-30,PNSE,IDR,2022,Q3,41164202974,21182763005,2837246961
2022-12-31,PNSE,IDR,2022,Q4,52714354147,26502724229,-2854229358
2023-03-31,PNSE,IDR,2023,Q1,36418558075,15002485328,-4110790793
2023-06-30,PNSE,IDR,2023,Q2,50542599599,22309993932,-5510958048
2023-09-30,PNSE,IDR,2023,Q3,63101400579,35049935434,3212808420
2023-12-31,PNSE,IDR,2023,Q4,71556492000,47215453000,18713828000
2024-03-31,PNSE,IDR,2024,Q1,41217463959,16879435598,-3620563896
2024-06-30,PNSE,IDR,2024,Q2,58115499000,31098552000,5528051000
2024-09-30,PNSE,IDR,2024,Q3,71048216000,39851530000,6028571000
2024-12-31,PNSE,IDR,2024,Q4,70757086000,35869148000,-3923068000
2025-03-31,PNSE,IDR,2025,Q1,45734629197,22487132432,-5509663230
2025-06-30,PNSE,IDR,2025,Q2,54942355000,29007514000,1439246000
2025-09-30,PNSE,IDR,2025,Q3,66705668260,36019783057,2161512830
2025-12-31,PNSE,IDR,2025,Q4,60107232105,25620287893,-8127425943
2026-03-31,PNSE,IDR,2026,Q1,41608020208,18157816308,-8078553989
2026-06-30,PNSE,IDR,2026,Q2,55994107739,31669053416,-955178333
