date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2017-03-31,POLI,IDR,2017,Q1,87374144863,36953992918,16406660032
2017-06-30,POLI,IDR,2017,Q2,87374144863,36953992918,16406660032
2017-09-30,POLI,IDR,2017,Q3,96357675432,50321858776,16127785494
2017-12-31,POLI,IDR,2017,Q4,96357675432,50321858776,16127785494
2018-03-31,POLI,IDR,2018,Q1,78346094839,37020648091,5518658484
2018-06-30,POLI,IDR,2018,Q2,98256028199,55527986431,34457184255
2018-09-30,POLI,IDR,2018,Q3,153120359280,73590033530,5655460094
2018-12-31,POLI,IDR,2018,Q4,78885542670,34346408404,31589917260
2019-03-31,POLI,IDR,2019,Q1,82134463864,45695534768,20425788294
2019-06-30,POLI,IDR,2019,Q2,86573861403,52109117092,15644459377
2019-09-30,POLI,IDR,2019,Q3,101151340426,56225896798,17440965706
2019-12-31,POLI,IDR,2019,Q4,112238452384,56971313463,1131419124
2020-03-31,POLI,IDR,2020,Q1,90885144003,52648484349,57467121019
2020-06-30,POLI,IDR,2020,Q2,48668144037,26109179886,-33030371042
2020-09-30,POLI,IDR,2020,Q3,43850009515,19359824552,10568327150
2020-12-31,POLI,IDR,2020,Q4,48220800183,16008782317,-17567061772
2021-03-31,POLI,IDR,2021,Q1,47817930626,20921371686,19198726985
2021-06-30,POLI,IDR,2021,Q2,50312313451,20663477350,-570774285
2021-09-30,POLI,IDR,2021,Q3,31137153927,3563227911,-10048455986
2021-12-31,POLI,IDR,2021,Q4,73930575524,43721016470,27269274609
2022-03-31,POLI,IDR,2022,Q1,68016603814,38872896886,25179001735
2022-06-30,POLI,IDR,2022,Q2,79543908673,44317112865,145505442715
2022-09-30,POLI,IDR,2022,Q3,88858924446,53168307045,37675504738
2022-12-31,POLI,IDR,2022,Q4,94068096079,49626780267,-53239983158
2023-03-31,POLI,IDR,2023,Q1,83544535225,41458474269,18982416665
2023-06-30,POLI,IDR,2023,Q2,85705199915,44730119305,8537272009
2023-09-30,POLI,IDR,2023,Q3,93974373454,51202519160,53242557256
2023-12-31,POLI,IDR,2023,Q4,97705728270,50920215456,11934070198
2024-03-31,POLI,IDR,2024,Q1,91465275641,48939905436,8571032798
2024-06-30,POLI,IDR,2024,Q2,95077382622,42772768714,12229599010
2024-09-30,POLI,IDR,2024,Q3,89936939000,47416694000,-9303230000
2024-12-31,POLI,IDR,2024,Q4,210111620000,100143636000,23758363000
2025-03-31,POLI,IDR,2025,Q1,132342845000,77156007000,21893787000
2025-06-30,POLI,IDR,2025,Q2,230143053000,95545848000,35441643000
2025-09-30,POLI,IDR,2025,Q3,116873601000,47745364000,8491326000
2025-12-31,POLI,IDR,2025,Q4,136203981000,55983156000,3828251000
2026-03-31,POLI,IDR,2026,Q1,113227650000,55418450000,19807790000
