date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,POLY,USD,2013,Q1,153829258,-1357525,-12100215
2013-06-30,POLY,USD,2013,Q2,142255770,-9443587,-17855465
2013-09-30,POLY,USD,2013,Q3,138314142,-4198210,11969000
2013-12-31,POLY,USD,2013,Q4,135250389,-7825623,-12075251
2014-03-31,POLY,USD,2014,Q1,132325066,-2132532,-19969109
2014-06-30,POLY,USD,2014,Q2,131312496,872675,-5219637
2014-09-30,POLY,USD,2014,Q3,120243662,-5463573,-9698939
2014-12-31,POLY,USD,2014,Q4,112878076,-8489809,-44912773
2015-03-31,POLY,USD,2015,Q1,103594713,1782333,-529022
2015-06-30,POLY,USD,2015,Q2,113261810,4948858,2044985
2015-09-30,POLY,USD,2015,Q3,86913697,-592161,-3055434
2015-12-31,POLY,USD,2015,Q4,84598528,236444,-16247201
2016-03-31,POLY,USD,2016,Q1,88692946,4297128,-4209877
2016-06-30,POLY,USD,2016,Q2,94885103,6237560,-5025189
2016-09-30,POLY,USD,2016,Q3,84754069,3323752,-4106428
2016-12-31,POLY,USD,2016,Q4,91447053,3146026,1473125
2017-03-31,POLY,USD,2017,Q1,100288838,6509951,-6335128
2017-06-30,POLY,USD,2017,Q2,88252043,4684551,-2301091
2017-09-30,POLY,USD,2017,Q3,100858816,6467457,2663548
2017-12-31,POLY,USD,2017,Q4,110361518,10249952,1564107
2018-03-31,POLY,USD,2018,Q1,118829159,11151817,3044497
2018-06-30,POLY,USD,2018,Q2,110803142,9685344,8068182
2018-09-30,POLY,USD,2018,Q3,128676334,10492274,5676205
2018-12-31,POLY,USD,2018,Q4,120632278,9308539,-3956624
2019-03-31,POLY,USD,2019,Q1,114152841,7123620,-1201159
2019-06-30,POLY,USD,2019,Q2,99168460,7006994,-2643312
2019-09-30,POLY,USD,2019,Q3,99358873,8468120,681500
2019-12-31,POLY,USD,2019,Q4,87598065,4614107,-8751935
2020-03-31,POLY,USD,2020,Q1,86924996,4275939,4319233
2020-06-30,POLY,USD,2020,Q2,30973653,-5194435,-16873109
2020-09-30,POLY,USD,2020,Q3,64446076,2786661,-3720413
2020-12-31,POLY,USD,2020,Q4,78411032,8374618,-4275061
2021-03-31,POLY,USD,2021,Q1,88598387,7514280,2623824
2021-06-30,POLY,USD,2021,Q2,80030905,4988179,-4157314
2021-09-30,POLY,USD,2021,Q3,94073675,6376378,-1982546
2021-12-31,POLY,USD,2021,Q4,110149567,17527620,6940198
2022-03-31,POLY,USD,2022,Q1,109907640,10302094,3317312
2022-06-30,POLY,USD,2022,Q2,98526891,11428083,9165200
2022-09-30,POLY,USD,2022,Q3,107710283,8919045,1794066
2022-12-31,POLY,USD,2022,Q4,80220251,1588286,-1962799
2023-03-31,POLY,USD,2023,Q1,87140891,3495781,-11213407
2023-06-30,POLY,USD,2023,Q2,69529264,401869,-3718106
2023-09-30,POLY,USD,2023,Q3,71825557,-523531,-1626786
2023-12-31,POLY,USD,2023,Q4,61531621,-2464402,4844703
2024-03-31,POLY,USD,2024,Q1,64942252,2232365,687629
2024-06-30,POLY,USD,2024,Q2,51361563,-2298497,-2838750
2024-09-30,POLY,USD,2024,Q3,51943820,3134315,-11193645
2024-12-31,POLY,USD,2024,Q4,23103010,-5296700,-35155868
2025-03-31,POLY,USD,2025,Q1,12170185,706368,-1447830
2025-06-30,POLY,USD,2025,Q2,9728610,-1657039,-8157277
2025-09-30,POLY,USD,2025,Q3,11394000,-517973,211822
2025-12-31,POLY,USD,2025,Q4,10862311,-14626117,-9737615
2026-03-31,POLY,USD,2026,Q1,10256404,298353,-2716010
