date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2015-12-31,PORT,IDR,2015,Q4,174221182000,64538709000,29652673000
2016-03-31,PORT,IDR,2016,Q1,186378941000,94243223000,38250053000
2016-06-30,PORT,IDR,2016,Q2,201479220000,94544950000,28430272000
2016-09-30,PORT,IDR,2016,Q3,427845219000,164637489000,106700852000
2016-12-31,PORT,IDR,2016,Q4,421764828000,118913737000,-75137492000
2017-03-31,PORT,IDR,2017,Q1,291600000000,116303956000,23849703000
2017-06-30,PORT,IDR,2017,Q2,338327445000,150410327000,22156457000
2017-09-30,PORT,IDR,2017,Q3,367152405000,115455237000,-8329308000
2017-12-31,PORT,IDR,2017,Q4,212005450000,99942440000,4287919000
2018-03-31,PORT,IDR,2018,Q1,244273262000,96251886000,17428323000
2018-06-30,PORT,IDR,2018,Q2,200773635000,53381546000,-64759271000
2018-09-30,PORT,IDR,2018,Q3,305919457000,136685947000,34310789000
2018-12-31,PORT,IDR,2018,Q4,446891848000,74460591000,13763480000
2019-03-31,PORT,IDR,2019,Q1,275901993000,95724503000,10858179000
2019-06-30,PORT,IDR,2019,Q2,257174158000,77601832000,5102673000
2019-09-30,PORT,IDR,2019,Q3,278073603000,83770763000,5264220000
2019-12-31,PORT,IDR,2019,Q4,622700033000,88175938000,-8033410000
2020-03-31,PORT,IDR,2020,Q1,343336198000,66438004000,5553769000
2020-06-30,PORT,IDR,2020,Q2,303712798000,12968588000,-32413605000
2020-09-30,PORT,IDR,2020,Q3,340774587000,35658499000,-29823410000
2020-12-31,PORT,IDR,2020,Q4,305005383000,47843360000,-2648013000
2021-03-31,PORT,IDR,2021,Q1,266971797000,52443643000,-575916000
2021-06-30,PORT,IDR,2021,Q2,257914251000,44470304000,-7354258000
2021-09-30,PORT,IDR,2021,Q3,469206157000,39551125000,-36436484000
2021-12-31,PORT,IDR,2021,Q4,327736359000,64164639000,-14004602000
2022-03-31,PORT,IDR,2022,Q1,278693208000,59019824000,5644243000
2022-06-30,PORT,IDR,2022,Q2,273710316000,54068716000,-16738987000
2022-09-30,PORT,IDR,2022,Q3,393146798000,31642264000,-24338093000
2022-12-31,PORT,IDR,2022,Q4,310671036000,51394131000,39503527000
2023-03-31,PORT,IDR,2023,Q1,298362104000,64554023000,23905259000
2023-06-30,PORT,IDR,2023,Q2,294352546000,66746169000,-9712294000
2023-09-30,PORT,IDR,2023,Q3,301631791000,64881161000,14285297000
2023-12-31,PORT,IDR,2023,Q4,249601181000,66138608000,34181883000
2024-03-31,PORT,IDR,2024,Q1,303604904000,76372714000,27792983000
2024-06-30,PORT,IDR,2024,Q2,277774591000,78516806000,-193352912000
2024-09-30,PORT,IDR,2024,Q3,276527913000,89065360000,32696524000
2024-12-31,PORT,IDR,2024,Q4,412798757000,105821834000,36390539000
2025-03-31,PORT,IDR,2025,Q1,290185521000,85534274000,32054191000
2025-06-30,PORT,IDR,2025,Q2,299827431000,89465043000,34555388000
2025-09-30,PORT,IDR,2025,Q3,315597116000,92609776000,26204232000
2025-12-31,PORT,IDR,2025,Q4,338601007000,96866183000,35577782000
2026-03-31,PORT,IDR,2026,Q1,266887831000,75407929000,25464426000
