date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-09-30,POSA,IDR,2018,Q3,18464666747,6208760881,1546954649
2018-12-31,POSA,IDR,2018,Q4,18312060150,4837806410,-302243547073
2019-03-31,POSA,IDR,2019,Q1,16764436796,2113154095,-18276387394
2019-06-30,POSA,IDR,2019,Q2,17747338129,-831380879,-35609125838
2019-09-30,POSA,IDR,2019,Q3,16549691855,10225982535,-12993209166
2019-12-31,POSA,IDR,2019,Q4,22724428194,6004644252,-82409360169
2020-03-31,POSA,IDR,2020,Q1,20520781079,3771715642,-20943427302
2020-06-30,POSA,IDR,2020,Q2,12947912334,100790726,-22793813421
2020-09-30,POSA,IDR,2020,Q3,12138102502,-542718781,-23590981038
2020-12-31,POSA,IDR,2020,Q4,13827369332,701972615,-66548340611
2021-03-31,POSA,IDR,2021,Q1,13149648531,44751243,-24093019484
2021-06-30,POSA,IDR,2021,Q2,15406534320,1899338993,-20956102026
2021-09-30,POSA,IDR,2021,Q3,11403910008,-604517282,-22324116938
2021-12-31,POSA,IDR,2021,Q4,13831317872,416857655,-73263409055
2022-03-31,POSA,IDR,2022,Q1,13784707578,232222699,-19436568313
2022-06-30,POSA,IDR,2022,Q2,15728941714,1606927883,-19531220621
2022-09-30,POSA,IDR,2022,Q3,14709518794,790174108,-20398802388
2022-12-31,POSA,IDR,2022,Q4,15306554835,913247578,-62245117150
2023-03-31,POSA,IDR,2023,Q1,13774854996,-105197520,-24207710208
2023-06-30,POSA,IDR,2023,Q2,14714047977,-208574513,-23739507259
2023-09-30,POSA,IDR,2023,Q3,13928000911,-483002445,-23802784334
2023-12-31,POSA,IDR,2023,Q4,19097643356,3344511263,-71533803450
2024-03-31,POSA,IDR,2024,Q1,14274789083,-169256795,-22042358967
2024-06-30,POSA,IDR,2024,Q2,13941819501,-300319861,-21880596463
2024-09-30,POSA,IDR,2024,Q3,13608656000,15715000,-22368377000
2024-12-31,POSA,IDR,2024,Q4,17075321000,2932930000,-51208546000
2025-03-31,POSA,IDR,2025,Q1,13578638000,-298716000,-14748885000
2025-06-30,POSA,IDR,2025,Q2,13271046000,-564438000,-28781733000
2025-09-30,POSA,IDR,2025,Q3,12600190000,-10785294000,-23148148000
2025-12-31,POSA,IDR,2025,Q4,13528244000,-10338803000,-54531073000
2026-03-31,POSA,IDR,2026,Q1,12942065000,-10735679000,-13780166000
