date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-12-31,PPGL,IDR,2019,Q4,27348420499,9613432968,1043287921
2020-03-31,PPGL,IDR,2020,Q1,27021458673,7486657401,649243921
2020-06-30,PPGL,IDR,2020,Q2,27021458673,7486657401,649243920
2020-09-30,PPGL,IDR,2020,Q3,32394555786,7426060105,1059268879
2020-12-31,PPGL,IDR,2020,Q4,50174200496,10138602948,2278126854
2021-03-31,PPGL,IDR,2021,Q1,60041197466,13336703300,4962842425
2021-06-30,PPGL,IDR,2021,Q2,53933884918,12019674535,2212018061
2021-09-30,PPGL,IDR,2021,Q3,61560788658,13404154833,4002593331
2021-12-31,PPGL,IDR,2021,Q4,83269513171,18003548483,5322710771
2022-03-31,PPGL,IDR,2022,Q1,81537318375,16112676778,6405947433
2022-06-30,PPGL,IDR,2022,Q2,60296778350,14294847714,3459313617
2022-09-30,PPGL,IDR,2022,Q3,74142775114,16753760481,5266914772
2022-12-31,PPGL,IDR,2022,Q4,75136775926,13419250605,2485358705
2023-03-31,PPGL,IDR,2023,Q1,46217575566,13808005563,2576405501
2023-06-30,PPGL,IDR,2023,Q2,46217575566,13808005563,2576405501
2023-09-30,PPGL,IDR,2023,Q3,45887373309,14535882264,3195958833
2023-12-31,PPGL,IDR,2023,Q4,45887373000,14535882000,3195959000
2024-03-31,PPGL,IDR,2024,Q1,47919908000,14463071000,2637605000
2024-06-30,PPGL,IDR,2024,Q2,47919908000,14463071000,2637605000
2024-09-30,PPGL,IDR,2024,Q3,57947358000,15566741000,2133950000
2024-12-31,PPGL,IDR,2024,Q4,57947358000,15566741000,2133950000
2025-03-31,PPGL,IDR,2025,Q1,44524304000,13167360000,1998140000
2025-06-30,PPGL,IDR,2025,Q2,44524304000,13167360000,1998140000
2025-09-30,PPGL,IDR,2025,Q3,44988925808,14266267182,2362917988
2025-12-31,PPGL,IDR,2025,Q4,41192390698,13666521706,760023873
