date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2021-03-31,PRAS,IDR,2021,Q1,55942761487,4490599665,-33754589551.999996
2021-06-30,PRAS,IDR,2021,Q2,100627298990,25195632427,39355435232
2021-09-30,PRAS,IDR,2021,Q3,62223329794,4479566664,-3715512347
2021-12-31,PRAS,IDR,2021,Q4,43267662930,10872132620,-2595417405
2022-03-31,PRAS,IDR,2022,Q1,34259777473,3559069244,258035968
2022-06-30,PRAS,IDR,2022,Q2,25587316370,-6032188808,-32139205821
2022-09-30,PRAS,IDR,2022,Q3,13755381558,2783971123,-25884930798
2022-12-31,PRAS,IDR,2022,Q4,18111677066,9893443,-32848085783
2023-03-31,PRAS,IDR,2023,Q1,19694579621,-16312018235,-44532756248
2023-06-30,PRAS,IDR,2023,Q2,6120709807,-10755075238,-10392353168
2023-09-30,PRAS,IDR,2023,Q3,8621559312,-122510339631,-128602800433
