date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-03-31,PRAY,IDR,2022,Q1,385972000000,104316000000,57506000000
2022-06-30,PRAY,IDR,2022,Q2,343870000000,76353000000,1489000000
2022-09-30,PRAY,IDR,2022,Q3,390102000000,97560000000,-13965000000
2022-12-31,PRAY,IDR,2022,Q4,402680000000,105488000000,17473000000
2023-03-31,PRAY,IDR,2023,Q1,434404000000,125731000000,92169000000
2023-06-30,PRAY,IDR,2023,Q2,432648000000,114564000000,21509000000
2023-09-30,PRAY,IDR,2023,Q3,489501000000,156291000000,60503000000
2023-12-31,PRAY,IDR,2023,Q4,482680000000,119405000000,42793000000
2024-03-31,PRAY,IDR,2024,Q1,520417000000,148639000000,81027000000
2024-06-30,PRAY,IDR,2024,Q2,503778000000,139067000000,64560000000
2024-09-30,PRAY,IDR,2024,Q3,530079000000,145507000000,71120000000
2024-12-31,PRAY,IDR,2024,Q4,548781000000,163152000000,-15264000000
2025-03-31,PRAY,IDR,2025,Q1,548832000000,136856000000,41562000000
2025-06-30,PRAY,IDR,2025,Q2,551479000000,160558000000,43638000000
2025-09-30,PRAY,IDR,2025,Q3,648731000000,192409000000,77981000000
2025-12-31,PRAY,IDR,2025,Q4,687795000000,188244000000,48247000000
2026-03-31,PRAY,IDR,2026,Q1,686687000000,169736000000,21348000000
2026-06-30,PRAY,IDR,2026,Q2,745996000000,184383000000,37286000000
