date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,PSKT,IDR,2012,Q3,6890501253,3859948312,-125940835
2012-12-31,PSKT,IDR,2012,Q4,8695879824,4812269464,788677532
2013-03-31,PSKT,IDR,2013,Q1,6958371190,4773639668,368745877
2013-06-30,PSKT,IDR,2013,Q2,12229955083,4859833324,153785353
2013-09-30,PSKT,IDR,2013,Q3,9358280894,7045927239,696514337
2013-12-31,PSKT,IDR,2013,Q4,8441810706,5856913034,-363588284
2014-03-31,PSKT,IDR,2014,Q1,8091725693,5663932795,92117508
2014-06-30,PSKT,IDR,2014,Q2,31484205815,20769119677,-79414247845
2014-09-30,PSKT,IDR,2014,Q3,11301620543,4913459828,11203496479
2014-12-31,PSKT,IDR,2014,Q4,2089507094,-1020440283,28470389029
2015-03-31,PSKT,IDR,2015,Q1,19954334523,14321241101,-15177011350
2015-06-30,PSKT,IDR,2015,Q2,12099374534,7262001662,-25636212268
2015-09-30,PSKT,IDR,2015,Q3,17118740432,-14530651959,-17472672968
2015-12-31,PSKT,IDR,2015,Q4,17315479732,11809041618,-22164412809
2016-03-31,PSKT,IDR,2016,Q1,16534050292,7150920687,-15527854255
2016-06-30,PSKT,IDR,2016,Q2,16828272530,7019467145,-9939027518
2016-09-30,PSKT,IDR,2016,Q3,19249366529,7092824609,-21168216548
2016-12-31,PSKT,IDR,2016,Q4,19230256257,12397097159,-6682117086
2017-03-31,PSKT,IDR,2017,Q1,15227766394,6130236428,-7699558918
2017-06-30,PSKT,IDR,2017,Q2,16325585284,6545419229,-10574618825
2017-09-30,PSKT,IDR,2017,Q3,17199737052,7702588364,-9404040119
2017-12-31,PSKT,IDR,2017,Q4,19610076412,10020168508,-5631063759
2018-03-31,PSKT,IDR,2018,Q1,16750124119,7016429289,-9362383582
2018-06-30,PSKT,IDR,2018,Q2,18066212677,7854081361,-9020664459
2018-09-30,PSKT,IDR,2018,Q3,19999120874,12671265649,-3453025750
2018-12-31,PSKT,IDR,2018,Q4,20809738157,13780859910,1668784780
2019-03-31,PSKT,IDR,2019,Q1,16522743843,9452507965,-3215739214
2019-06-30,PSKT,IDR,2019,Q2,15208531935,8551997239,-5096199707
2019-09-30,PSKT,IDR,2019,Q3,17868327087,7422382145,-1944227244
2019-12-31,PSKT,IDR,2019,Q4,18569925644,10735258809,-4012992577
2020-03-31,PSKT,IDR,2020,Q1,13485463868,6368468367,-4905774569
2020-06-30,PSKT,IDR,2020,Q2,6679532067,2277226855,-6325735533
2020-09-30,PSKT,IDR,2020,Q3,9774754031,4865167531,-4127359996
2020-12-31,PSKT,IDR,2020,Q4,12487635960,7641740388,-13661897848
2021-03-31,PSKT,IDR,2021,Q1,11000879610,4087294068,-4346178633
2021-06-30,PSKT,IDR,2021,Q2,10984591446,4548447738,-3849564822
2021-09-30,PSKT,IDR,2021,Q3,10398068818,3763152609,-3762812055
2021-12-31,PSKT,IDR,2021,Q4,14885749086,7816040954,-175139965
2022-03-31,PSKT,IDR,2022,Q1,13156133063,6240640764,-2418344020
2022-06-30,PSKT,IDR,2022,Q2,13472161871,6458648262,-1980534994
2022-09-30,PSKT,IDR,2022,Q3,15110136449,8269507786,-872878957
2022-12-31,PSKT,IDR,2022,Q4,17130118438,9895199155,-2148785038
2023-03-31,PSKT,IDR,2023,Q1,13146537284,6169398741,-2823278437
2023-06-30,PSKT,IDR,2023,Q2,13367737426,6280453235,-2146523358
2023-09-30,PSKT,IDR,2023,Q3,13448540062,6143115142,-2467440542
2023-12-31,PSKT,IDR,2023,Q4,14372735790,7661536260,-3223340090
2024-03-31,PSKT,IDR,2024,Q1,10570913462,3606477886,-4198294140
2024-06-30,PSKT,IDR,2024,Q2,13541169955,6825874822,-1579864547
2024-09-30,PSKT,IDR,2024,Q3,15214889509,7521250962,218038437
2024-12-31,PSKT,IDR,2024,Q4,15776018747,9271546228,-1453212807
2025-03-31,PSKT,IDR,2025,Q1,11453863062,5275673038,-2947687409
2025-06-30,PSKT,IDR,2025,Q2,13566843941,7110196969,-2820628039
2025-09-30,PSKT,IDR,2025,Q3,12670101453,5846706136,-2194154614
2025-12-31,PSKT,IDR,2025,Q4,14655828920,8367386275,-4677256227
2026-03-31,PSKT,IDR,2026,Q1,11372863003,5315802730,-2007149400
