date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2009-03-31,PTBA,IDR,2009,Q1,2330382000000,1456731000000,919927000000
2009-06-30,PTBA,IDR,2009,Q2,2170731000000,1218437000000,672624000000
2010-03-31,PTBA,IDR,2010,Q1,1781833000000,706749000000,373032000000
2010-06-30,PTBA,IDR,2010,Q2,2013032000000,962729000000,535077000000
2011-03-31,PTBA,IDR,2011,Q1,2315103000000,1243487000000,760327000000
2011-06-30,PTBA,IDR,2011,Q2,2804196000000,1444855000000,850450000000
2011-09-30,PTBA,IDR,2011,Q3,2635435000000,1289769000000,712179000000
2011-12-31,PTBA,IDR,2011,Q4,2826836000000,1300867000000,762880000000
2012-03-31,PTBA,IDR,2012,Q1,3021520000000,1427799000000,867345000000
2012-06-30,PTBA,IDR,2012,Q2,2768387000000,1251051000000,688159000000
2012-09-30,PTBA,IDR,2012,Q3,2931441000000,1237543000000,640070000000
2012-12-31,PTBA,IDR,2012,Q4,2872709000000,1171732000000,704539000000
2013-03-31,PTBA,IDR,2013,Q1,2777398000000,954230000000,493183000000
2013-06-30,PTBA,IDR,2013,Q2,2656221000000,817075000000,376941000000
2013-09-30,PTBA,IDR,2013,Q3,2690005000000,614195000000,373506000000
2013-12-31,PTBA,IDR,2013,Q4,3085595000000,1078073000000,582514000000
2014-03-31,PTBA,IDR,2014,Q1,3093648000000,997859000000,536303000000
2014-06-30,PTBA,IDR,2014,Q2,3333681000000,1113510000000,619731000000
2014-09-30,PTBA,IDR,2014,Q3,3228914000000,949901000000,425987000000
2014-12-31,PTBA,IDR,2014,Q4,3421719000000,960473000000,434150000000
2015-03-31,PTBA,IDR,2015,Q1,3277031000000,770935000000,340334000000
2015-06-30,PTBA,IDR,2015,Q2,3234522000000,942035000000,454833000000
2015-09-30,PTBA,IDR,2015,Q3,3990262000000,1250417000000,710415000000
2015-12-31,PTBA,IDR,2015,Q4,3231812000000,1176337000000,530329000000
2016-03-31,PTBA,IDR,2016,Q1,3544568000000,813773000000,332574000000
2016-06-30,PTBA,IDR,2016,Q2,3213905000000,836030000000,379200000000
2016-09-30,PTBA,IDR,2016,Q3,3283295000000,795262000000,339961000000
2016-12-31,PTBA,IDR,2016,Q4,4017101000000,1956404000000,954453000000
2017-03-31,PTBA,IDR,2017,Q1,4546870000000,1692090000000,870829000000
2017-06-30,PTBA,IDR,2017,Q2,4420159000000,1652854000000,853082000000
2017-09-30,PTBA,IDR,2017,Q3,4255035000000,1702019000000,901923000000
2017-12-31,PTBA,IDR,2017,Q4,6248966000000,3459543000000,1850610000000
2018-03-31,PTBA,IDR,2018,Q1,5748813000000,2582046000000,1451150000000
2018-06-30,PTBA,IDR,2018,Q2,4776265000000,1841620000000,1125160000000
2018-09-30,PTBA,IDR,2018,Q3,5510550000000,2232242000000,1353589000000
2018-12-31,PTBA,IDR,2018,Q4,5131365000000,1889885000000,1094047000000
2019-03-31,PTBA,IDR,2019,Q1,5336966000000,1771561000000,1137209000000
2019-06-30,PTBA,IDR,2019,Q2,5277995000000,1884778000000,871119000000
2019-09-30,PTBA,IDR,2019,Q3,5639092000000,2037411000000,1092936000000
2019-12-31,PTBA,IDR,2019,Q4,5533511000000,1917754000000,955624000000
2020-03-31,PTBA,IDR,2020,Q1,5122490000000,1524526000000,903249000000
2020-06-30,PTBA,IDR,2020,Q2,3889986000000,1025448000000,385576000000
2020-09-30,PTBA,IDR,2020,Q3,3836389000000,959007000000,439370000000
2020-12-31,PTBA,IDR,2020,Q4,4476327000000,1057279000000,658624000000
2021-03-31,PTBA,IDR,2021,Q1,3994925000000,1017649000000,500518000000
2021-06-30,PTBA,IDR,2021,Q2,6296406000000,2529116000000,1278163000000
2021-09-30,PTBA,IDR,2021,Q3,9090488000000,4676110000000,2989328000000
2021-12-31,PTBA,IDR,2021,Q4,9879649000000,5261348000000,3141104000000
2022-03-31,PTBA,IDR,2022,Q1,8205116000000,3451061000000,2275393000000
2022-06-30,PTBA,IDR,2022,Q2,10217947000000,4900512000000,3881336000000
2022-09-30,PTBA,IDR,2022,Q3,12647797000000,5524283000000,3844631000000
2022-12-31,PTBA,IDR,2022,Q4,11577730000000,3226647000000,2566222000000
2023-03-31,PTBA,IDR,2023,Q1,9957130000000,2057525000000,1162932000000
2023-06-30,PTBA,IDR,2023,Q2,8901448000000,2041315000000,1612634000000
2023-09-30,PTBA,IDR,2023,Q3,8879031000000,1825151000000,1003672000000
2023-12-31,PTBA,IDR,2023,Q4,10751258000000,3120489000000,2326618000000
2024-03-31,PTBA,IDR,2024,Q1,9409583000000,1320691000000,790940000000
2024-06-30,PTBA,IDR,2024,Q2,10233263000000,1884209000000,1241898000000
2024-09-30,PTBA,IDR,2024,Q3,11013087000000,2104456000000,1197502000000
2024-12-31,PTBA,IDR,2024,Q4,12109035000000,2593961000000,1873380000000
2025-03-31,PTBA,IDR,2025,Q1,9958441000000,1047189000000,391479000000
2025-06-30,PTBA,IDR,2025,Q2,10493950000000,1199706000000,441565000000
2025-09-30,PTBA,IDR,2025,Q3,10877905000000,1210187000000,560982000000
2025-12-31,PTBA,IDR,2025,Q4,11321428000000,2800018000000,1535931000000
2026-03-31,PTBA,IDR,2026,Q1,9929722000000,1445185000000,801794000000
