date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-03-31,PTDU,IDR,2019,Q1,33501031499,5163860000,405479500
2019-06-30,PTDU,IDR,2019,Q2,33501031499,5163860000,405479500
2019-09-30,PTDU,IDR,2019,Q3,27130326306,3392954712,1107406572
2019-12-31,PTDU,IDR,2019,Q4,27130326306,3392954712,1107406572
2020-03-31,PTDU,IDR,2020,Q1,6509114797,-2768355689,-3925492806
2020-06-30,PTDU,IDR,2020,Q2,19011152385,11229579720,8972516415
2020-09-30,PTDU,IDR,2020,Q3,15228119617,4408215031,-338139837
2020-12-31,PTDU,IDR,2020,Q4,7961392464,1728425527,-1737960516
2021-03-31,PTDU,IDR,2021,Q1,5641086364,-188695955,-7264052162
2021-06-30,PTDU,IDR,2021,Q2,11610088192,1731824039,2521835180
2021-09-30,PTDU,IDR,2021,Q3,31245380925,-2961422020,2002849674
2021-12-31,PTDU,IDR,2021,Q4,195745099197,44259811997,5752706588
2022-03-31,PTDU,IDR,2022,Q1,49255183427,3611219061,-4305478131
2022-06-30,PTDU,IDR,2022,Q2,30330029832,334269584,-7575790892
2022-09-30,PTDU,IDR,2022,Q3,34825764000,1268005378,-4447631162
2022-12-31,PTDU,IDR,2022,Q4,40445903653,-23025029355,-49195955617
2023-03-31,PTDU,IDR,2023,Q1,27176050186,7746525996,540658106
2023-06-30,PTDU,IDR,2023,Q2,11847117457,-10108079132,-15146032403
2023-09-30,PTDU,IDR,2023,Q3,43797798005,10963866355,-12102333631
2023-12-31,PTDU,IDR,2023,Q4,35776330450,17633191564,-7070206512
2024-03-31,PTDU,IDR,2024,Q1,11823906055,779418595,-15023414754
2024-06-30,PTDU,IDR,2024,Q2,490346938,-20583475579,-9554363569
2024-09-30,PTDU,IDR,2024,Q3,7574479061,7059402709,5710894661
2024-12-31,PTDU,IDR,2024,Q4,23953494000,8148564000,-23382186000
2025-03-31,PTDU,IDR,2025,Q1,13850000713,1257356484,-817861229
2025-06-30,PTDU,IDR,2025,Q2,5621932411,-84828824,-2188591278
2025-09-30,PTDU,IDR,2025,Q3,30244600000,5538344000,1065219000
