date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-03-31,PTMP,IDR,2022,Q1,34170710177,10140165280,5598740512
2022-06-30,PTMP,IDR,2022,Q2,33065174561,10551670927,7495705336
2022-09-30,PTMP,IDR,2022,Q3,34427863000,8826711573,-4456831852
2022-12-31,PTMP,IDR,2022,Q4,34372478597,10338959859,2842364531
2023-03-31,PTMP,IDR,2023,Q1,32702804969,10692004384,2927063034
2023-06-30,PTMP,IDR,2023,Q2,34411109254,8508629640,2060169652
2023-09-30,PTMP,IDR,2023,Q3,37461595003,13793265067,668933862
2023-12-31,PTMP,IDR,2023,Q4,48415424482,17657852568,2749374319
2024-03-31,PTMP,IDR,2024,Q1,42522910983,14923778708,2925167604
2024-06-30,PTMP,IDR,2024,Q2,39853432673,13815526135,2280857095
2024-09-30,PTMP,IDR,2024,Q3,49849229000,12697280000,4624309000
2024-12-31,PTMP,IDR,2024,Q4,60074525000,26471332000,4160785000
2025-03-31,PTMP,IDR,2025,Q1,52510982000,15769257000,1957321000
2025-06-30,PTMP,IDR,2025,Q2,44803476303,14482438328,174128477
2025-09-30,PTMP,IDR,2025,Q3,50280243000,14110301000,-41496982000
2025-12-31,PTMP,IDR,2025,Q4,60063144000,13818977000,-16341467000
2026-03-31,PTMP,IDR,2026,Q1,44743266000,16110073000,4779932000
