date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2019-03-31,PTPW,IDR,2019,Q1,64764930629,23391189030,11517364234
2019-06-30,PTPW,IDR,2019,Q2,35801376563,17503681916,9093423863
2019-09-30,PTPW,IDR,2019,Q3,29837262304,20946182595,3671174996
2019-12-31,PTPW,IDR,2019,Q4,51777469613,33248282599,22496895595
2020-03-31,PTPW,IDR,2020,Q1,55407582394,24873983395,12805638541
2020-06-30,PTPW,IDR,2020,Q2,47193990923,21448167096,9277557325
2020-09-30,PTPW,IDR,2020,Q3,52917152504,20611740987,9378463114
2020-12-31,PTPW,IDR,2020,Q4,32367550272,12585919315,-420119657
2021-03-31,PTPW,IDR,2021,Q1,72762340732,16672033874,11394228403
2021-06-30,PTPW,IDR,2021,Q2,53618370978,11939743952,5165501197
2021-09-30,PTPW,IDR,2021,Q3,101842781180,27501755636,19471246571
2021-12-31,PTPW,IDR,2021,Q4,73173340330,26240459425,16016666269
2022-03-31,PTPW,IDR,2022,Q1,105737178378,30527067759,25497497593
2022-06-30,PTPW,IDR,2022,Q2,94941574782,29740813550,23647132814
2022-09-30,PTPW,IDR,2022,Q3,81351828065,27294878673,21004886178
2022-12-31,PTPW,IDR,2022,Q4,56310281278,16649699379,10082071901
2023-03-31,PTPW,IDR,2023,Q1,100414794566,23705537561,15869868026
2023-06-30,PTPW,IDR,2023,Q2,92362348162,34855172478,26649772470
2023-09-30,PTPW,IDR,2023,Q3,75277624363,21343543042,16791583341
2023-12-31,PTPW,IDR,2023,Q4,127463738000,49809942000,43516039000
2024-03-31,PTPW,IDR,2024,Q1,85764452000,28934439000,9574113000
2024-06-30,PTPW,IDR,2024,Q2,94388610000,29086247000,5983176000
2024-09-30,PTPW,IDR,2024,Q3,98808093003,20886635902,8940350450
2024-12-31,PTPW,IDR,2024,Q4,93015086000,36877985000,3577606000
2025-03-31,PTPW,IDR,2025,Q1,72242721000,26285468000,4753549000
2025-06-30,PTPW,IDR,2025,Q2,90990850000,34671881000,16273810000
2025-09-30,PTPW,IDR,2025,Q3,90469782731,24768911229,20029067563
2025-12-31,PTPW,IDR,2025,Q4,60645313480,3564058752,-9271390743
2026-03-31,PTPW,IDR,2026,Q1,76842839938,19632108889,13425257243
