date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,PTSP,IDR,2012,Q3,105193599000,68245031000,13302461000
2012-12-31,PTSP,IDR,2012,Q4,94682150000,62109576000,8604988000
2013-03-31,PTSP,IDR,2013,Q1,86209530000,55944194000,2346430000
2013-06-30,PTSP,IDR,2013,Q2,93638412000,61877229000,4096596000
2013-09-30,PTSP,IDR,2013,Q3,113590799000,76121902000,9500202000
2013-12-31,PTSP,IDR,2013,Q4,97112674000,66648345000,7524888000
2014-03-31,PTSP,IDR,2014,Q1,91942524000,61808628000,1023316000
2014-06-30,PTSP,IDR,2014,Q2,95485910000,63648229000,297665000
2014-09-30,PTSP,IDR,2014,Q3,106393010000,70684542000,2780235000
2014-12-31,PTSP,IDR,2014,Q4,82777097000,54716416000,15286725000
2015-03-31,PTSP,IDR,2015,Q1,79162247000,51667535000,1090739000
2015-06-30,PTSP,IDR,2015,Q2,101107294000,64851750000,-2285406000
2015-09-30,PTSP,IDR,2015,Q3,117397599000,75803232000,2111154000
2015-12-31,PTSP,IDR,2015,Q4,104662053000,64041201000,-4304002000
2016-03-31,PTSP,IDR,2016,Q1,96429567000,61733808000,-947120000
2016-06-30,PTSP,IDR,2016,Q2,126972271000,77240719000,1236279000
2016-09-30,PTSP,IDR,2016,Q3,129422504000,82474768000,2100128000
2016-12-31,PTSP,IDR,2016,Q4,120719188000,76072382000,171185000
2017-03-31,PTSP,IDR,2017,Q1,111673833000,70682299000,222728000
2017-06-30,PTSP,IDR,2017,Q2,143048733000,90250457000,3034657000
2017-09-30,PTSP,IDR,2017,Q3,136199474000,85640440000,2894058000
2017-12-31,PTSP,IDR,2017,Q4,145521721000,89670331000,1731829000
2018-03-31,PTSP,IDR,2018,Q1,121869269000,75841094000,306200000
2018-06-30,PTSP,IDR,2018,Q2,168237016000,104592940000,8116314000
2018-09-30,PTSP,IDR,2018,Q3,143453360000,89706787000,1389821000
2018-12-31,PTSP,IDR,2018,Q4,193250484000,118669927000,7458536000
2019-03-31,PTSP,IDR,2019,Q1,146437925000,90177983000,1090634000
2019-06-30,PTSP,IDR,2019,Q2,213740065000,131071494000,10937945000
2019-09-30,PTSP,IDR,2019,Q3,168522674000,103270648000,5842564000
2019-12-31,PTSP,IDR,2019,Q4,192298665000,116900006000,7837513000
2020-03-31,PTSP,IDR,2020,Q1,148284970000,91413029000,-7384314000
2020-06-30,PTSP,IDR,2020,Q2,53346182000,28435794000,-38065670000
2020-09-30,PTSP,IDR,2020,Q3,73868935000,44475832000,-15260974000
2020-12-31,PTSP,IDR,2020,Q4,97083191000,58897661000,12638707000
2021-03-31,PTSP,IDR,2021,Q1,81849899000,47786407000,-13315155000
2021-06-30,PTSP,IDR,2021,Q2,124746653000,76118583000,3474908000
2021-09-30,PTSP,IDR,2021,Q3,84830313000,48719922000,-13136680000
2021-12-31,PTSP,IDR,2021,Q4,131641720000,79336986000,5373868000
2022-03-31,PTSP,IDR,2022,Q1,119987396000,70557339000,-4561096000
2022-06-30,PTSP,IDR,2022,Q2,164330301000,99967942000,8983576000
2022-09-30,PTSP,IDR,2022,Q3,129370239000,77817700000,1174742000
2022-12-31,PTSP,IDR,2022,Q4,141998277000,88912848000,3440531000
2023-03-31,PTSP,IDR,2023,Q1,134660304000,79546951000,-4048904000
2023-06-30,PTSP,IDR,2023,Q2,176913716000,109230868000,9451480000
2023-09-30,PTSP,IDR,2023,Q3,145762956000,89320222000,-187079000
2023-12-31,PTSP,IDR,2023,Q4,166613765000,84020920000,10208287000
2024-03-31,PTSP,IDR,2024,Q1,149310790000,75750641000,-3337714000
2024-06-30,PTSP,IDR,2024,Q2,195037570000,102981960000,15242903000
2024-09-30,PTSP,IDR,2024,Q3,172634286000,103791560000,4228829000
2024-12-31,PTSP,IDR,2024,Q4,174259237000,104976171000,4899108000
2025-03-31,PTSP,IDR,2025,Q1,169162557000,102552740000,669615000
2025-06-30,PTSP,IDR,2025,Q2,199655196000,123740207000,11943264000
2025-09-30,PTSP,IDR,2025,Q3,164894954000,102666933000,1212251000
2025-12-31,PTSP,IDR,2025,Q4,169549038000,92325182000,5555455000
2026-03-31,PTSP,IDR,2026,Q1,204531719000,128317197000,17413044000
