date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,PYFA,IDR,2011,Q1,39638952737,26819956299,4635179049
2011-06-30,PYFA,IDR,2011,Q2,36171847607,24187089894,1338626633
2011-09-30,PYFA,IDR,2011,Q3,36839967521,24897548183,-795438722
2011-12-31,PYFA,IDR,2011,Q4,38443693180,25688435589,-6321280
2012-03-31,PYFA,IDR,2012,Q1,47773174989,31174833532,2753427772
2012-06-30,PYFA,IDR,2012,Q2,41232886312,26726054967,655097572
2012-09-30,PYFA,IDR,2012,Q3,38780414874,26904041323,577165427
2012-12-31,PYFA,IDR,2012,Q4,48944503497,30869807773,1322530592
2013-03-31,PYFA,IDR,2013,Q1,45969538574,29153403404,1549868699
2013-06-30,PYFA,IDR,2013,Q2,36352289396,27095095924,14448169
2013-09-30,PYFA,IDR,2013,Q3,54074062969,37614695696,723119215
2013-12-31,PYFA,IDR,2013,Q4,56159840241,36567071874,3908364255
2014-03-31,PYFA,IDR,2014,Q1,56919062916,35517672012,1677241400
2014-06-30,PYFA,IDR,2014,Q2,50159098291,32504490471,-1159364956
2014-09-30,PYFA,IDR,2014,Q3,55658814708,34047677401,-91809336
2014-12-31,PYFA,IDR,2014,Q4,59565431613,39273256453,2234954893
2015-03-31,PYFA,IDR,2015,Q1,55826633278,37040474272,1127781285
2015-06-30,PYFA,IDR,2015,Q2,53551159722,36372643407,223595193
2015-09-30,PYFA,IDR,2015,Q3,51127421659,28709056322,-633020054
2015-12-31,PYFA,IDR,2015,Q4,57338706763,35862189340,2368748041
2016-03-31,PYFA,IDR,2016,Q1,52998516454,33205098440,949542310
2016-06-30,PYFA,IDR,2016,Q2,60451562680,40188371580,1698171636
2016-09-30,PYFA,IDR,2016,Q3,46604153594,27264613040,193660383
2016-12-31,PYFA,IDR,2016,Q4,56897351225,34657670493,2304942712
2017-03-31,PYFA,IDR,2017,Q1,51919986791,32891107541,1311101355
2017-06-30,PYFA,IDR,2017,Q2,54713519716,32524626006,-80496096
2017-09-30,PYFA,IDR,2017,Q3,61761692686,37661316753,3895650699
2017-12-31,PYFA,IDR,2017,Q4,54607291085,31898744035,2001146210
2018-03-31,PYFA,IDR,2018,Q1,64861121662,39578825362,1636720122
2018-06-30,PYFA,IDR,2018,Q2,58037132488,35656816600,70303914
2018-09-30,PYFA,IDR,2018,Q3,62621066616,38504228950,2594925282
2018-12-31,PYFA,IDR,2018,Q4,64926532598,37363677043,4145498670
2019-03-31,PYFA,IDR,2019,Q1,63819838569,38354139137,1885821954
2019-06-30,PYFA,IDR,2019,Q2,57545945203,31919216698,-120783848
2019-09-30,PYFA,IDR,2019,Q3,63351335509,34908553011,3159871551
2019-12-31,PYFA,IDR,2019,Q4,62397653306,35020834457,4417808382
2020-03-31,PYFA,IDR,2020,Q1,79036288247,49291669653,4366591688
2020-06-30,PYFA,IDR,2020,Q2,42535273756,27847549073,1330559304
2020-09-30,PYFA,IDR,2020,Q3,73704985337,40449429371,10423739274
2020-12-31,PYFA,IDR,2020,Q4,82121514399,46301684271,5983474000
2021-03-31,PYFA,IDR,2021,Q1,117415077571,65406765474,10852145179
2021-06-30,PYFA,IDR,2021,Q2,105093849702,50676578890,513481939
2021-09-30,PYFA,IDR,2021,Q3,183865460698,83454023847,4598525255
2021-12-31,PYFA,IDR,2021,Q4,224155847990,45043606784,-10485208286
2022-03-31,PYFA,IDR,2022,Q1,172441560561,77832720634,2495995805
2022-06-30,PYFA,IDR,2022,Q2,134669466846,53455508596,6555656988
2022-09-30,PYFA,IDR,2022,Q3,243811616491,52363576988,279705287988
2022-12-31,PYFA,IDR,2022,Q4,164502383201,67192820238,-13532413997
2023-03-31,PYFA,IDR,2023,Q1,164862297967,73381474299,-12321975449
2023-06-30,PYFA,IDR,2023,Q2,148751834268,63601577721,-24374068064
2023-09-30,PYFA,IDR,2023,Q3,206860583665,86227207583,-8810434888
2023-12-31,PYFA,IDR,2023,Q4,181592899705,69527679882,-39724367926
2024-03-31,PYFA,IDR,2024,Q1,151635602123,59066462499,-45316482160
2024-06-30,PYFA,IDR,2024,Q2,255685397877,87776537501,-69876359790
2024-09-30,PYFA,IDR,2024,Q3,754509000000,137049000000,-99037000000
2024-12-31,PYFA,IDR,2024,Q4,758981833000,240718542000,-116016642000
2025-03-31,PYFA,IDR,2025,Q1,685456361000,180243881000,-90593121000
2025-06-30,PYFA,IDR,2025,Q2,699947039000,114385993000,-122608651000
2025-09-30,PYFA,IDR,2025,Q3,674838042000,123229440000,-152614251000
2025-12-31,PYFA,IDR,2025,Q4,700180609000,112211289000,-13854077000
2026-03-31,PYFA,IDR,2026,Q1,766533599124,192761573751,-80875904380
2026-06-30,PYFA,IDR,2026,Q2,850989791147,180369818654,-97403880869
