date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2021-03-31,RAFI,IDR,2021,Q1,10828752681,2810171671,1300158823
2021-12-31,RAFI,IDR,2021,Q4,62325519120,15301642892,9399613233
2022-03-31,RAFI,IDR,2022,Q1,32454034913,9658567020,5129672532
2022-06-30,RAFI,IDR,2022,Q2,17660342754,-2537934265,9039127318
2022-09-30,RAFI,IDR,2022,Q3,54501799544,16956679888,-3178135762
2022-12-31,RAFI,IDR,2022,Q4,271270771368,27813081633,1438157834
2023-03-31,RAFI,IDR,2023,Q1,67011958942,16343590977,3332013889
2023-06-30,RAFI,IDR,2023,Q2,161948218347,22724057433,98045753709
2023-09-30,RAFI,IDR,2023,Q3,63419738368,16601545955,4670478630
2023-12-31,RAFI,IDR,2023,Q4,115108629631,35666212146,21420954789
2024-03-31,RAFI,IDR,2024,Q1,112113631455,19786745901,5483817351
2024-06-30,RAFI,IDR,2024,Q2,91853670084,15876621237,3564247295
2025-03-31,RAFI,IDR,2025,Q1,100651157000,7564079000,-5194110000
2025-06-30,RAFI,IDR,2025,Q2,27586889000,1812571000,-8888483000
