date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,RAJA,USD,2012,Q3,29297806,5829445,1687862
2012-12-31,RAJA,USD,2012,Q4,40809689,6283052,1856069
2013-03-31,RAJA,USD,2013,Q1,37720702,7938343,1671670
2013-06-30,RAJA,USD,2013,Q2,35458877,7165177,136322
2013-09-30,RAJA,USD,2013,Q3,30199938,5620824,3093381
2013-12-31,RAJA,USD,2013,Q4,33805849,3524535,855175
2014-03-31,RAJA,USD,2014,Q1,36602647,6780008,1947453
2014-06-30,RAJA,USD,2014,Q2,51239673,7597599,1194556
2014-09-30,RAJA,USD,2014,Q3,57702612,9489238,2963842
2014-12-31,RAJA,USD,2014,Q4,51571850,7311295,1697159
2015-03-31,RAJA,USD,2015,Q1,53078801,9703302,2541463
2015-06-30,RAJA,USD,2015,Q2,47688403,9034273,2586023
2015-09-30,RAJA,USD,2015,Q3,46243772,6486094,361488
2015-12-31,RAJA,USD,2015,Q4,46560714,9211353,2379170
2016-03-31,RAJA,USD,2016,Q1,44837081,5970635,1241345
2016-06-30,RAJA,USD,2016,Q2,44516214,6010885,790073
2016-09-30,RAJA,USD,2016,Q3,44687925,5946327,684833
2016-12-31,RAJA,USD,2016,Q4,52873109,6313191,3788889
2017-03-31,RAJA,USD,2017,Q1,38069368,6974751,1662312
2017-06-30,RAJA,USD,2017,Q2,36634468,5846850,-128853
2017-09-30,RAJA,USD,2017,Q3,31860812,5422009,307755
2017-12-31,RAJA,USD,2017,Q4,42326147,6225806,9820490
2018-03-31,RAJA,USD,2018,Q1,29315989,5322413,515970
2018-06-30,RAJA,USD,2018,Q2,28501008,6253206,549526
2018-09-30,RAJA,USD,2018,Q3,29201535,2951059,5821527
2018-12-31,RAJA,USD,2018,Q4,31089512,5980577,4544509
2019-03-31,RAJA,USD,2019,Q1,29372725,4889249,1991113
2019-06-30,RAJA,USD,2019,Q2,28880332,4235804,1292848
2019-09-30,RAJA,USD,2019,Q3,31474296,4770117,988765
2019-12-31,RAJA,USD,2019,Q4,32404603,3204200,1433731
2020-03-31,RAJA,USD,2020,Q1,29438066,5065057,-850104
2020-06-30,RAJA,USD,2020,Q2,23573763,3391963,884079
2020-09-30,RAJA,USD,2020,Q3,21140956,3662928,-293962
2020-12-31,RAJA,USD,2020,Q4,24611940,3972882,1649415
2021-03-31,RAJA,USD,2021,Q1,26063987,4432613,617463
2021-06-30,RAJA,USD,2021,Q2,24085737,3432225,-356291
2021-09-30,RAJA,USD,2021,Q3,22571181,2337017,-155425
2021-12-31,RAJA,USD,2021,Q4,25425725,5219032,2146521
2022-03-31,RAJA,USD,2022,Q1,27556282,4809610,1976194
2022-06-30,RAJA,USD,2022,Q2,28533375,4318087,836014
2022-09-30,RAJA,USD,2022,Q3,31786581,5115449,1783317
2022-12-31,RAJA,USD,2022,Q4,38809850,10815645,4226049
2023-03-31,RAJA,USD,2023,Q1,37012458,10288698,5354901
2023-06-30,RAJA,USD,2023,Q2,36879575,11315065,3847309
2023-09-30,RAJA,USD,2023,Q3,37074428,8174638,2303505
2023-12-31,RAJA,USD,2023,Q4,92779499,36161557,14100819
2024-03-31,RAJA,USD,2024,Q1,61640679,16174232,7202577
2024-06-30,RAJA,USD,2024,Q2,61874069,19763884,7092614
2024-09-30,RAJA,USD,2024,Q3,66145447,15462452,5073274
2024-12-31,RAJA,USD,2024,Q4,64816736,17814695,6183647
2025-03-31,RAJA,USD,2025,Q1,66088930,18747408,6727648
2025-06-30,RAJA,USD,2025,Q2,61546763,18910469,4627096
2025-09-30,RAJA,USD,2025,Q3,68413198,18631895,6286882
2025-12-31,RAJA,USD,2025,Q4,70560562,15444506,9479477
2026-03-31,RAJA,USD,2026,Q1,55260642,19926233,8638129
