date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,RALS,IDR,2011,Q1,984583000000,311757000000,30521000000
2011-06-30,RALS,IDR,2011,Q2,1105102000000,369460000000,43187000000
2011-09-30,RALS,IDR,2011,Q3,3154204000000,751266000000,269550000000
2011-12-31,RALS,IDR,2011,Q4,-157731000000,338591000000,34330000000
2012-03-31,RALS,IDR,2012,Q1,1078597000000,348180000000,39663000000
2012-06-30,RALS,IDR,2012,Q2,1319655000000,415849000000,62949000000
2012-09-30,RALS,IDR,2012,Q3,3522995000000,820377000000,283637000000
2012-12-31,RALS,IDR,2012,Q4,-221538000000,390666000000,37479000000
2013-03-31,RALS,IDR,2013,Q1,1082575000000,395740000000,41840000000
2013-06-30,RALS,IDR,2013,Q2,1403865000000,471890000000,65591000000
2013-09-30,RALS,IDR,2013,Q3,2213731000000,839062000000,237175000000
2013-12-31,RALS,IDR,2013,Q4,1300647000000,433558000000,45929000000
2014-03-31,RALS,IDR,2014,Q1,1184904000000,409341000000,40633000000
2014-06-30,RALS,IDR,2014,Q2,1470325000000,497456000000,62423000000
2014-09-30,RALS,IDR,2014,Q3,1972234000000,752829000000,236665000000
2014-12-31,RALS,IDR,2014,Q4,1233885000000,388211000000,15354000000
2015-03-31,RALS,IDR,2015,Q1,1119523000000,356716000000,5858000000
2015-06-30,RALS,IDR,2015,Q2,1407922000000,499788000000,84968000000
2015-09-30,RALS,IDR,2015,Q3,1739458000000,713787000000,213657000000
2015-12-31,RALS,IDR,2015,Q4,1266101000000,425713000000,31571000000
2016-03-31,RALS,IDR,2016,Q1,1086306000000,394329000000,8405000000
2016-06-30,RALS,IDR,2016,Q2,2069597000000,801623000000,245651000000
2016-09-30,RALS,IDR,2016,Q3,1404422000000,561787000000,107595000000
2016-12-31,RALS,IDR,2016,Q4,1296712000000,444759000000,46828000000
2017-03-31,RALS,IDR,2017,Q1,1078427000000,374669000000,2872000000
2017-06-30,RALS,IDR,2017,Q2,2386494000000,969466000000,365906000000
2017-09-30,RALS,IDR,2017,Q3,953120000000,388352000000,-980000000
2017-12-31,RALS,IDR,2017,Q4,1204687000000,479807000000,38782000000
2018-03-31,RALS,IDR,2018,Q1,1050298000000,415629000000,14672000000
2018-06-30,RALS,IDR,2018,Q2,2445768000000,1138321000000,471418000000
2018-09-30,RALS,IDR,2018,Q3,1020708000000,451067000000,41184000000
2018-12-31,RALS,IDR,2018,Q4,1222779000000,501588000000,59831000000
2019-03-31,RALS,IDR,2019,Q1,1046052000000,443827000000,77503000000
2019-06-30,RALS,IDR,2019,Q2,2442833000000,1125601000000,512329000000
2019-09-30,RALS,IDR,2019,Q3,937392000000,432209000000,22591000000
2019-12-31,RALS,IDR,2019,Q4,1170121000000,492444000000,35475000000
2020-03-31,RALS,IDR,2020,Q1,916134000000,373618000000,13296000000
2020-06-30,RALS,IDR,2020,Q2,557674000000,240113000000,-7935000000
2020-09-30,RALS,IDR,2020,Q3,428099000000,189953000000,-100578000000
2020-12-31,RALS,IDR,2020,Q4,626044000000,273905000000,-43657000000
2021-03-31,RALS,IDR,2021,Q1,490941000000,213880000000,-85667000000
2021-06-30,RALS,IDR,2021,Q2,1225973000000,549864000000,223492000000
2021-09-30,RALS,IDR,2021,Q3,261241000000,133446000000,-35008000000
2021-12-31,RALS,IDR,2021,Q4,614527000000,312870000000,67758000000
2022-03-31,RALS,IDR,2022,Q1,600533000000,271449000000,30007000000
2022-06-30,RALS,IDR,2022,Q2,1255556000000,646191000000,256026000000
2022-09-30,RALS,IDR,2022,Q3,2949127000000,2666996000000,12091000000
2022-12-31,RALS,IDR,2022,Q4,-1808603000000,-2072807000000,53874000000
2023-03-31,RALS,IDR,2023,Q1,1167502000000,870136000000,30173000000
2023-06-30,RALS,IDR,2023,Q2,496738000000,-307000000,216499000000
2023-09-30,RALS,IDR,2023,Q3,475933000000,224922000000,8029000000
2023-12-31,RALS,IDR,2023,Q4,604254000000,225213000000,45662000000
2024-03-31,RALS,IDR,2024,Q1,829094000000,318372000000,106817000000
2024-06-30,RALS,IDR,2024,Q2,836930000000,373890000000,141046000000
2024-09-30,RALS,IDR,2024,Q3,447789000000,375554000000,4879000000
2024-12-31,RALS,IDR,2024,Q4,646694000000,325108000000,61313000000
2025-03-31,RALS,IDR,2025,Q1,1145600000000,570810000000,217879000000
2025-06-30,RALS,IDR,2025,Q2,357426000000,224436000000,12489000000
2025-09-30,RALS,IDR,2025,Q3,374993000000,129854000000,42608000000
2025-12-31,RALS,IDR,2025,Q4,487320000000,141785000000,-7690000000
2026-03-31,RALS,IDR,2026,Q1,985162000000,521600000000,193294000000
2026-06-30,RALS,IDR,2026,Q2,327730000000,201125000000,11616000000
