date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-09-30,RANC,IDR,2012,Q3,284314362789,73408389258,8405558096
2012-12-31,RANC,IDR,2012,Q4,286306338895,75578797461,8799260702
2013-03-31,RANC,IDR,2013,Q1,311152215747,77694759390,10001533864
2013-06-30,RANC,IDR,2013,Q2,314188204929,78275722503,9554587343
2013-09-30,RANC,IDR,2013,Q3,330137165345,87496936919,7758178314
2013-12-31,RANC,IDR,2013,Q4,347601375426,86008631877,7794198116
2014-03-31,RANC,IDR,2014,Q1,385569465591,96230801274,6432900860
2014-06-30,RANC,IDR,2014,Q2,397921295502,103144439045,2330785041
2014-09-30,RANC,IDR,2014,Q3,430271779840,114168312931,4095173788
2014-12-31,RANC,IDR,2014,Q4,432821073935,107506920577,2340060668
2015-03-31,RANC,IDR,2015,Q1,454946446960,120618814791,4531787152
2015-06-30,RANC,IDR,2015,Q2,478093726036,116235432388,1258530089
2015-09-30,RANC,IDR,2015,Q3,479256541640,105470758249,-14158991221
2015-12-31,RANC,IDR,2015,Q4,503402285149,118591638973,-8795657940
2016-03-31,RANC,IDR,2016,Q1,508096813265,126080590451,10900355463
2016-06-30,RANC,IDR,2016,Q2,525654521620,127418528175,15271101954
2016-09-30,RANC,IDR,2016,Q3,502365547870,118997233846,13459711772
2016-12-31,RANC,IDR,2016,Q4,527865123891,133103190741,1097111341
2017-03-31,RANC,IDR,2017,Q1,528860716155,131571112924,6814550757
2017-06-30,RANC,IDR,2017,Q2,561897619108,136229623468,11730455636
2017-09-30,RANC,IDR,2017,Q3,534060001126,124673951917,9666137430
2017-12-31,RANC,IDR,2017,Q4,564755399483,143937566004,11065974242
2018-03-31,RANC,IDR,2018,Q1,571690889250,144329998335,9717698071
2018-06-30,RANC,IDR,2018,Q2,594411547098,147233067679,11559715009
2018-09-30,RANC,IDR,2018,Q3,587732829282,143058186344,11460500137
2018-12-31,RANC,IDR,2018,Q4,601790006277,156130506429,18085239868
2019-03-31,RANC,IDR,2019,Q1,587324775666,157446800737,11883655295
2019-06-30,RANC,IDR,2019,Q2,604804273035,165694806965,12866076196
2019-09-30,RANC,IDR,2019,Q3,590071446222,148735407362,11672549779
2019-12-31,RANC,IDR,2019,Q4,615591920407,173459734814,19917578339
2020-03-31,RANC,IDR,2020,Q1,782177425387,201452675837,22887924779
2020-06-30,RANC,IDR,2020,Q2,821440457147,217089270914,29671507086
2020-09-30,RANC,IDR,2020,Q3,698776025917,113049788008,12872363995
2020-12-31,RANC,IDR,2020,Q4,709028841883,158367076703,9633492503
2021-03-31,RANC,IDR,2021,Q1,726220937339,157983404242,5018549842
2021-06-30,RANC,IDR,2021,Q2,756603556650,120278916797,13515073408
2021-09-30,RANC,IDR,2021,Q3,698795048803,77761042121,9017182327
2021-12-31,RANC,IDR,2021,Q4,706107451123,118285298765,-17851803042
2022-03-31,RANC,IDR,2022,Q1,738861400882,120801860561,-22342173144
2022-06-30,RANC,IDR,2022,Q2,758004546769,112642028328,-28707482995
2022-09-30,RANC,IDR,2022,Q3,701435678595,118131431965,-8884758674
2022-12-31,RANC,IDR,2022,Q4,700529615066,107052574240,-23747673070
2023-03-31,RANC,IDR,2023,Q1,713078760258,127614590665,-15842158417
2023-06-30,RANC,IDR,2023,Q2,742693516302,115632276259,-26727794977
2023-09-30,RANC,IDR,2023,Q3,717494235728,102280584872,-35719959682
2023-12-31,RANC,IDR,2023,Q4,630948334000,129837604000,-42265783000
2024-03-31,RANC,IDR,2024,Q1,734392432000,134311995000,-13129853000
2024-06-30,RANC,IDR,2024,Q2,696980162000,116851482000,73196434000
2024-09-30,RANC,IDR,2024,Q3,736714945000,125807184000,-14264376000
2024-12-31,RANC,IDR,2024,Q4,705981439000,147131106000,-18417797000
2025-03-31,RANC,IDR,2025,Q1,753191772000,183280192000,-5210962000
2025-06-30,RANC,IDR,2025,Q2,698548855000,160270715000,-30682112000
2025-09-30,RANC,IDR,2025,Q3,734534087000,139463371000,-4358567000
2025-12-31,RANC,IDR,2025,Q4,728271483000,148815284000,-12833521000
2026-03-31,RANC,IDR,2026,Q1,823453026000,170195259000,7170494000
