date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,RICY,IDR,2011,Q1,170818938832,32557640125,5126849127
2011-06-30,RICY,IDR,2011,Q2,100727979821,21680104399,724272273
2011-09-30,RICY,IDR,2011,Q3,165319589827,31792809326,4143055183
2011-12-31,RICY,IDR,2011,Q4,179528164653,36860127477,2428382221
2012-03-31,RICY,IDR,2012,Q1,166164356847,40217265918,5153111540
2012-06-30,RICY,IDR,2012,Q2,157193386436,34559128471,1240467355
2012-09-30,RICY,IDR,2012,Q3,204643510574,40767069152,4178664076
2012-12-31,RICY,IDR,2012,Q4,221971448691,49259033024,6058990030
2013-03-31,RICY,IDR,2013,Q1,256726418918,47148891871,3891897898
2013-06-30,RICY,IDR,2013,Q2,224148132273,52761215580,4494252582
2013-09-30,RICY,IDR,2013,Q3,216972879151,54084555826,-34685981197
2013-12-31,RICY,IDR,2013,Q4,286337671793,118653077317,33636394538
2014-03-31,RICY,IDR,2014,Q1,330308798065,65219243514,10355368522
2014-06-30,RICY,IDR,2014,Q2,265001380532,60976520361,3901242782
2014-09-30,RICY,IDR,2014,Q3,331992915205,55924163194,-4154061033
2014-12-31,RICY,IDR,2014,Q4,258140486440,59436313458,3410540729
2015-03-31,RICY,IDR,2015,Q1,244851752227,61595729805,2321181962
2015-06-30,RICY,IDR,2015,Q2,271605082327,68465432190,1670964509
2015-09-30,RICY,IDR,2015,Q3,272688103691,53516684554,-33145395570
2015-12-31,RICY,IDR,2015,Q4,321906354763,104189364447,40195175056
2016-03-31,RICY,IDR,2016,Q1,268713037955,55765658435,5885426712
2016-06-30,RICY,IDR,2016,Q2,281847958411,61384342316,295446088
2016-09-30,RICY,IDR,2016,Q3,267557840797,70368717394,2073559276
2016-12-31,RICY,IDR,2016,Q4,403400259648,87630668517,3217041766
2017-03-31,RICY,IDR,2017,Q1,296705436074,74197025433,5758019911
2017-06-30,RICY,IDR,2017,Q2,444882371059,67314701522,783308876
2017-09-30,RICY,IDR,2017,Q3,350134094978,70478313128,-8721517212
2017-12-31,RICY,IDR,2017,Q4,508710265987,96569061394,14747507642
2018-03-31,RICY,IDR,2018,Q1,524717193503,74641944655,345126221
2018-06-30,RICY,IDR,2018,Q2,417217561706,87934836030,1279725387
2018-09-30,RICY,IDR,2018,Q3,572856472423,83064888228,435252533
2018-12-31,RICY,IDR,2018,Q4,593077156640,104830751276,9671314137
2019-03-31,RICY,IDR,2019,Q1,364956183387,73048131480,6416687158
2019-06-30,RICY,IDR,2019,Q2,687255051129,71205315079,-4626286784
2019-09-30,RICY,IDR,2019,Q3,306195489286,93023595517,2597181929
2019-12-31,RICY,IDR,2019,Q4,792917264783,86420531008,14125935143
2020-03-31,RICY,IDR,2020,Q1,321101134960,79281007981,-42887439509
2020-06-30,RICY,IDR,2020,Q2,208964591291,14104936288,-13515705941
2020-09-30,RICY,IDR,2020,Q3,282268573288,46211504423,-23389403586
2020-12-31,RICY,IDR,2020,Q4,473724982900,60740387910,2805265232
2021-03-31,RICY,IDR,2021,Q1,423183044546,62889309497,-16976654709
2021-06-30,RICY,IDR,2021,Q2,297322622822,47709350373,-8967507346
2021-09-30,RICY,IDR,2021,Q3,304371724901,37222233863,-24530539800
2021-12-31,RICY,IDR,2021,Q4,351054033742,50337421414,-15776616148
2022-03-31,RICY,IDR,2022,Q1,334757417445,59391504879,2104411434
2022-06-30,RICY,IDR,2022,Q2,278177062729,57684257511,-10045415416
2022-09-30,RICY,IDR,2022,Q3,289008274152,54665004499,-12937739263
2022-12-31,RICY,IDR,2022,Q4,312551784104,40316345418,-48306854772
2023-03-31,RICY,IDR,2023,Q1,256058888651,43543176041,6788069423
2023-06-30,RICY,IDR,2023,Q2,169878118585,56183194158,-132392213
2023-09-30,RICY,IDR,2023,Q3,230426421399,43314155835,-25216266913
2023-12-31,RICY,IDR,2023,Q4,205810506698,33901948340,-41258670403
2024-03-31,RICY,IDR,2024,Q1,239202627169,52790998677,-18854943853
2024-06-30,RICY,IDR,2024,Q2,207943666147,33083411995,-44797263626
2024-09-30,RICY,IDR,2024,Q3,228771634000,54934332000,28903430000
2024-12-31,RICY,IDR,2024,Q4,209607072000,36852394000,-76499898000
2025-03-31,RICY,IDR,2025,Q1,211970726000,21456853000,-66285843000
2025-06-30,RICY,IDR,2025,Q2,117315665000,-5427427000,-39966184000
2025-09-30,RICY,IDR,2025,Q3,135247941000,52721070000,-33540361000
2025-12-31,RICY,IDR,2025,Q4,100626404000,6173482000,-222228110000
2026-03-31,RICY,IDR,2026,Q1,115245893000,14025765000,-17831153000
