date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2014-06-30,RIGS,IDR,2013,Q4,0,0,0
2014-12-31,RIGS,IDR,2014,Q2,134935641519,15494931844,-6229618155.0818
2015-03-31,RIGS,IDR,2014,Q3,136160030170,12607524553,-16566736637.4081
2015-06-30,RIGS,IDR,2014,Q4,108042279972,4527986665,-9328146664.33463
2015-09-30,RIGS,IDR,2015,Q1,129140549967,-3374159686,-26550607005.65997
2015-12-31,RIGS,IDR,2015,Q2,81770956464,2023371356,-22744061863.517
2016-03-31,RIGS,IDR,2015,Q3,73733508039,-53335235473,-102845526647.6905
2016-06-30,RIGS,IDR,2015,Q4,55998055199,-33632444158,-55260565055.22063
2016-09-30,RIGS,IDR,2016,Q1,65317556748,-16556826662,-33453458359.56858
2016-12-31,RIGS,IDR,2016,Q2,86318745301,-7892068830,-22805110555.26951
2017-03-31,RIGS,IDR,2016,Q3,76652740003,-8068660361,-62272450613.93532
2017-06-30,RIGS,IDR,2016,Q4,56211037232,-24247313829,-38079627658.35592
2017-09-30,RIGS,IDR,2017,Q1,70957116418,-1008804771,-15834604152.42628
2017-12-31,RIGS,IDR,2017,Q2,94944950211,18150072719,-11052785717.8102
2018-03-31,RIGS,IDR,2017,Q3,99777377468,-25643582718,-128706393689.82385
2018-06-30,RIGS,IDR,2017,Q4,95629313336,18347553654,17223490706
2018-09-30,RIGS,IDR,2018,Q1,99886812767,5982987654,-9301617571.52018
2018-12-31,RIGS,IDR,2018,Q2,115375378479,32140353710,24398340136
2019-03-31,RIGS,IDR,2018,Q3,91581222084,-123849164593,-153654817196.97363
2019-06-30,RIGS,IDR,2018,Q4,91462062249,15577496756,149734957
2019-09-30,RIGS,IDR,2019,Q1,93446648586,16697419912,6564571287
2019-12-31,RIGS,IDR,2019,Q2,95231032725,38173541509,28569074575
2020-09-30,RIGS,IDR,2020,Q1,60746455707,132028516,-15167463898.63075
2020-12-31,RIGS,IDR,2020,Q2,57800779313,-447297884,-4542511584.55823
2021-03-31,RIGS,IDR,2020,Q3,60423763986,-4274278668,-15232199452.9271
2021-06-30,RIGS,IDR,2020,Q4,66544277649,-39218814105,-35455916219.57167
2021-09-30,RIGS,IDR,2021,Q1,68345324382,12803079380,6182305500
2021-12-31,RIGS,IDR,2021,Q2,79746857188,16489215424,3677533473
2022-03-31,RIGS,IDR,2021,Q3,82458956063,20120389772,14184451016
2022-06-30,RIGS,IDR,2021,Q4,79808772616,15790199356,11802173738
2022-09-30,RIGS,IDR,2022,Q1,83254902263,29434126798,17317137650
2022-12-31,RIGS,IDR,2022,Q2,78934069360,18727603589,-2838738950
2023-03-31,RIGS,IDR,2022,Q3,90611184697,29802857062,20414300105
2023-06-30,RIGS,IDR,2022,Q4,88906907222,31955112843,18103230546
2023-09-30,RIGS,IDR,2023,Q1,82620499063,27399782489,15956202608
2023-12-31,RIGS,IDR,2023,Q2,86803705000,30049914000,23938724000
2024-03-31,RIGS,IDR,2023,Q3,91116625344,32459919538,20400458227
2024-06-30,RIGS,IDR,2023,Q4,87448715000,25632617000,18682089000
2024-09-30,RIGS,IDR,2024,Q1,87821252502,23954052007,20571300228
2024-12-31,RIGS,IDR,2024,Q2,88840161000,30419817000,27122651000
2025-03-31,RIGS,IDR,2024,Q3,89389958392,28422825224,16726641545
2025-06-30,RIGS,IDR,2024,Q4,99846413000,33084641000,31224560000
2025-09-30,RIGS,IDR,2025,Q1,77684274000,19417552000,15482889000
2025-12-31,RIGS,IDR,2025,Q2,74682755000,21343563000,26870263000
2026-03-31,RIGS,IDR,2025,Q3,76962218000,22924383000,12827415000
