date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,RIMO,IDR,2013,Q1,164289679,43584220,-1728549955
2013-06-30,RIMO,IDR,2013,Q2,25766681,-7534800,-1561126210
2013-09-30,RIMO,IDR,2013,Q3,76225077,-21025860,-1568894045
2013-12-31,RIMO,IDR,2013,Q4,24894519,-9048732,-790433463
2014-03-31,RIMO,IDR,2014,Q1,26276205,-5997225,-1070469078
2014-06-30,RIMO,IDR,2014,Q2,31779993,5751000,-1028418141
2014-09-30,RIMO,IDR,2014,Q3,37798325,7868403,-1044333051
2014-12-31,RIMO,IDR,2014,Q4,149842161,113294989,-1609531150
2015-03-31,RIMO,IDR,2015,Q1,19671364,4403246,-867799873
2015-06-30,RIMO,IDR,2015,Q2,24705965,5642937,-3079846646
2015-09-30,RIMO,IDR,2015,Q3,29263545,6720045,-164066324
2015-12-31,RIMO,IDR,2015,Q4,25550455,5876555,-587530094
2016-03-31,RIMO,IDR,2016,Q1,20064909,4615009,-813655382
2016-06-30,RIMO,IDR,2016,Q2,25847636,5951936,-867547952
2016-09-30,RIMO,IDR,2016,Q3,0,0,-413415789
2016-12-31,RIMO,IDR,2016,Q4,928909,306409,-1043298576
2017-03-31,RIMO,IDR,2017,Q1,77073873297,62953804273,52750269400
2017-06-30,RIMO,IDR,2017,Q2,164577214933,134526561040,126082946981
2017-09-30,RIMO,IDR,2017,Q3,5426075902,-95562505161,-60398753819
2017-12-31,RIMO,IDR,2017,Q4,36408718751,8409285447,-58701430374
2018-03-31,RIMO,IDR,2018,Q1,206472053640,82235353102,57989310331
2018-06-30,RIMO,IDR,2018,Q2,94289293413,35570290954,25825767927
2018-09-30,RIMO,IDR,2018,Q3,132524287819,52901148490,32903900700
2018-12-31,RIMO,IDR,2018,Q4,76238939360,24403464018,6323814061
2019-03-31,RIMO,IDR,2019,Q1,72440698258,27879467135,8830630905
2019-06-30,RIMO,IDR,2019,Q2,114748113107,51113190648,7646485635
2019-09-30,RIMO,IDR,2019,Q3,320799975859,162981815553,53175036109
