date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-12-31,RONY,IDR,2018,Q4,2917779296,2170660544,1891121962
2019-03-31,RONY,IDR,2019,Q1,1165504575,705831856,-512153866
2019-06-30,RONY,IDR,2019,Q2,1165504575,705831857,-512153866
2019-09-30,RONY,IDR,2019,Q3,7449295374,5912572890,5662842866
2019-12-31,RONY,IDR,2019,Q4,2476898271,1611613289,152283215
2020-03-31,RONY,IDR,2020,Q1,396567763,286189324,-1289113597
2020-06-30,RONY,IDR,2020,Q2,396567763,286189324,-1289113596
2020-09-30,RONY,IDR,2020,Q3,3353292701,2340238589,364836775
2020-12-31,RONY,IDR,2020,Q4,74612909,-845286026,-2448386169
2021-03-31,RONY,IDR,2021,Q1,564120000,-183676019,-1278361703
2021-06-30,RONY,IDR,2021,Q2,663300000,-115086554,-741629271
2021-09-30,RONY,IDR,2021,Q3,838500660,-6909817,-955942320
2021-12-31,RONY,IDR,2021,Q4,6556215046,5130720339,-81245002
2022-03-31,RONY,IDR,2022,Q1,6464545000,3625011593,3035679706
2022-06-30,RONY,IDR,2022,Q2,404054625,-1339138228,-1951225687
2022-09-30,RONY,IDR,2022,Q3,234007500,65003372,-829122548
2022-12-31,RONY,IDR,2022,Q4,725775722,-728987724,-27624225439
2023-03-31,RONY,IDR,2023,Q1,0,-339247407,-474125878
2023-06-30,RONY,IDR,2023,Q2,1838971875,764135716,580032385
2023-09-30,RONY,IDR,2023,Q3,1238538750,379973344,27741467
2023-12-31,RONY,IDR,2023,Q4,1806525000,349951513,-30870538
2024-03-31,RONY,IDR,2024,Q1,521915270,122229757,27688378
2024-06-30,RONY,IDR,2024,Q2,599713250,335838250,72874110
2024-09-30,RONY,IDR,2024,Q3,886500000,326079917,100501810
2024-12-31,RONY,IDR,2024,Q4,592500000,182357062,1679602534
2025-03-31,RONY,IDR,2025,Q1,0,-350423622,-1152192576
2025-06-30,RONY,IDR,2025,Q2,430000000,320547762,-476766936
2025-09-30,RONY,IDR,2025,Q3,405676000,150672296,-2399677170
2025-12-31,RONY,IDR,2025,Q4,25624678354,7752502545,4164741004
2026-03-31,RONY,IDR,2026,Q1,8851563814,2562394316,-1758701215
