date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,ROTI,IDR,2012,Q1,273764907806,123278401028,32454864757
2012-06-30,ROTI,IDR,2012,Q2,296597717846,138646595857,39679963352
2012-09-30,ROTI,IDR,2012,Q3,285579647452,135183801943,24542059882
2012-12-31,ROTI,IDR,2012,Q4,334883620236,159304109217,52472660034
2013-03-31,ROTI,IDR,2013,Q1,356725809614,172958921017,55957472321
2013-06-30,ROTI,IDR,2013,Q2,350150958234,154038619883,19766555179
2013-09-30,ROTI,IDR,2013,Q3,350025645229,158094607808,15124202202
2013-12-31,ROTI,IDR,2013,Q4,448617524614,213510230020,67167041219
2014-03-31,ROTI,IDR,2014,Q1,464595477295,220256757118,61246714349
2014-06-30,ROTI,IDR,2014,Q2,450051373581,202751657607,39049544640
2014-09-30,ROTI,IDR,2014,Q3,446258549974,208888456305,31369929043
2014-12-31,ROTI,IDR,2014,Q4,519357500847,269515615364,56911333042
2015-03-31,ROTI,IDR,2015,Q1,518864868682,275250156825,67117649299
2015-06-30,ROTI,IDR,2015,Q2,520265480074,273383742339,56230081459
2015-09-30,ROTI,IDR,2015,Q3,530319901115,280526636860,69334806399
2015-12-31,ROTI,IDR,2015,Q4,605051463028,325829743045,77856163283
2016-03-31,ROTI,IDR,2016,Q1,610976659778,324163394714,86344824126
2016-06-30,ROTI,IDR,2016,Q2,582129001075,293019931164,42453901575
2016-09-30,ROTI,IDR,2016,Q3,644145388653,333149875883,74894505306
2016-12-31,ROTI,IDR,2016,Q4,684669918707,350755169447,76267767619
2017-03-31,ROTI,IDR,2017,Q1,602453160763,298961051952,29920223328
2017-06-30,ROTI,IDR,2017,Q2,581196571945,304036875364,19921381814
2017-09-30,ROTI,IDR,2017,Q3,641641798694,340970131228,47509811226
2017-12-31,ROTI,IDR,2017,Q4,665808648158,363962768508,48630030879
2018-03-31,ROTI,IDR,2018,Q1,659064387509,355952904829,29054139236
2018-06-30,ROTI,IDR,2018,Q2,617143289099,319282765621,10917501172
2018-09-30,ROTI,IDR,2018,Q3,708970149045,376171947504,62891994895
2018-12-31,ROTI,IDR,2018,Q4,781368041031,440805489265,69823756356
2019-03-31,ROTI,IDR,2019,Q1,791726415553,431946154381,64854248654
2019-06-30,ROTI,IDR,2019,Q2,795472214242,434154113717,36592661317
2019-09-30,ROTI,IDR,2019,Q3,875376902978,499483654588,110261977062
2019-12-31,ROTI,IDR,2019,Q4,874446781851,483851966470,89293188078
2020-03-31,ROTI,IDR,2020,Q1,912872807900,514429074415,77845701064
2020-06-30,ROTI,IDR,2020,Q2,761236135305,407485794586,13594220118
2020-09-30,ROTI,IDR,2020,Q3,765955750448,434604861507,35750958353
2020-12-31,ROTI,IDR,2020,Q4,771969852379,445643979372,87859834962
2021-03-31,ROTI,IDR,2021,Q1,787008907270,434992701201,56705934823
2021-06-30,ROTI,IDR,2021,Q2,769669492096,417281014353,65088695208
2021-09-30,ROTI,IDR,2021,Q3,877968847774,470781449576,87945600857
2021-12-31,ROTI,IDR,2021,Q4,852975990317,463291000979,71601242379
2022-03-31,ROTI,IDR,2022,Q1,908902599963,473650969668,88313702577
2022-06-30,ROTI,IDR,2022,Q2,882900735718,446411586122,48971442705
2022-09-30,ROTI,IDR,2022,Q3,1070426360731,560875316244,125671827204
2022-12-31,ROTI,IDR,2022,Q4,1072952352256,605122013661,169263371574
2023-03-31,ROTI,IDR,2023,Q1,940967249144,497543857184,49159283820
2023-06-30,ROTI,IDR,2023,Q2,882758693149,460721617182,69594646602
2023-09-30,ROTI,IDR,2023,Q3,1013585600549,557881638065,111183141054
2023-12-31,ROTI,IDR,2023,Q4,983221092084,533779499899,103354017386
2024-03-31,ROTI,IDR,2024,Q1,951270054042,502360017642,73782714270
2024-06-30,ROTI,IDR,2024,Q2,972089322806,509262816930,70866499026
2024-09-30,ROTI,IDR,2024,Q3,1051441568000,586480602000,104132101000
2024-12-31,ROTI,IDR,2024,Q4,957368597000,521602502000,113784292000
2025-03-31,ROTI,IDR,2025,Q1,859636764000,439615476000,23101355000
2025-06-30,ROTI,IDR,2025,Q2,911399271000,479038496000,48699151000
2025-09-30,ROTI,IDR,2025,Q3,971435679000,505536217000,64899156000
2025-12-31,ROTI,IDR,2025,Q4,1015143433000,546808926000,121816742000
2026-03-31,ROTI,IDR,2026,Q1,870965608000,445409061000,2215817000
