date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-03-31,RUNS,IDR,2020,Q1,30876000,-297935020,-1175745419
2020-12-31,RUNS,IDR,2020,Q4,16505091304,10897418860,7020375943
2021-03-31,RUNS,IDR,2021,Q1,176194433,170825588,-2560468340
2021-06-30,RUNS,IDR,2021,Q2,645751956,642826382,-1836388408
2021-12-31,RUNS,IDR,2021,Q4,2256367677,-785089634,-5605015048
2022-03-31,RUNS,IDR,2022,Q1,4410567307,4313277099,52652064
2022-06-30,RUNS,IDR,2022,Q2,4410567307,4313277099,52652064
2022-09-30,RUNS,IDR,2022,Q3,11232931074,8688047624,1418540066
2022-12-31,RUNS,IDR,2022,Q4,11232931074,8688047624,1418540066
2023-03-31,RUNS,IDR,2023,Q1,3878837448,3240016237,-2541189705
2023-06-30,RUNS,IDR,2023,Q2,3878837448,3240016237,-2541189705
2023-09-30,RUNS,IDR,2023,Q3,9979321954,7744219197,-884765006
2023-12-31,RUNS,IDR,2023,Q4,9979321954,7744219197,-884765006
2024-03-31,RUNS,IDR,2024,Q1,4021299780,3386741052,-1975280941
2024-06-30,RUNS,IDR,2024,Q2,4021299780,3386741052,-1975280941
2024-09-30,RUNS,IDR,2024,Q3,6515749939,4848518822,377809946
2025-03-31,RUNS,IDR,2025,Q1,5913844358,5308760058,-339181438
2025-06-30,RUNS,IDR,2025,Q2,5913844358,5308760058,-339181438
2025-09-30,RUNS,IDR,2025,Q3,2671619227,130847201,-3460329518
2025-12-31,RUNS,IDR,2025,Q4,2671619227,130847201,-3460329518
