date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2018-12-31,SBAT,IDR,2018,Q4,75926194593,18813293806,-13144256
2019-03-31,SBAT,IDR,2019,Q1,54117901334,18162686491,-5380094828
2019-06-30,SBAT,IDR,2019,Q2,52365944163,20149037261,-3119813038
2019-09-30,SBAT,IDR,2019,Q3,121225524996,36906510422,4684860762
2019-12-31,SBAT,IDR,2019,Q4,88081311712,-16960408679,-40383347368
2020-03-31,SBAT,IDR,2020,Q1,60414499696,14203219572,-6328035031
2020-06-30,SBAT,IDR,2020,Q2,30929629471,5952560832,5882826287
2020-09-30,SBAT,IDR,2020,Q3,47484855489,15525132665,3909575342
2020-12-31,SBAT,IDR,2020,Q4,38722583927,21996830984,-9351565990
2021-03-31,SBAT,IDR,2021,Q1,43591899552,11112958333,-8402862585
2021-06-30,SBAT,IDR,2021,Q2,40213173449,11016186639,-12199207479
2021-09-30,SBAT,IDR,2021,Q3,42150006936,16260269222,-14182045952
2021-12-31,SBAT,IDR,2021,Q4,40933415657,8958524815,-12218261487
2022-03-31,SBAT,IDR,2022,Q1,33953140257,9153628330,-15444904711
2022-06-30,SBAT,IDR,2022,Q2,28522665369,5076677602,-9996476348
2022-09-30,SBAT,IDR,2022,Q3,25486340742,3244072887,-13001281627
2022-12-31,SBAT,IDR,2022,Q4,24027659017,3573000092,-49180712036
2023-03-31,SBAT,IDR,2023,Q1,4787511875,-6537977402,-26609024284
2023-06-30,SBAT,IDR,2023,Q2,6298102209,5710570191,7824097278
2023-09-30,SBAT,IDR,2023,Q3,0,-5078771686,-5093077375
