date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,SCMA,IDR,2011,Q1,490779754000,315147628000,156763315000
2011-06-30,SCMA,IDR,2011,Q2,624448838000,403244244000,225871226000
2011-09-30,SCMA,IDR,2011,Q3,663819525000,1060656245000,288522530000
2011-12-31,SCMA,IDR,2011,Q4,527686827000,-181308650000,241548404000
2012-03-31,SCMA,IDR,2012,Q1,449181711000,298466027000,163221006000
2012-06-30,SCMA,IDR,2012,Q2,524306632000,357269335000,199058529000
2012-09-30,SCMA,IDR,2012,Q3,664059161000,981812142000,293872834000
2012-12-31,SCMA,IDR,2012,Q4,602537444000,-88764326000,256860398000
2013-03-31,SCMA,IDR,2013,Q1,559436451000,377516367000,230942827000
2013-06-30,SCMA,IDR,2013,Q2,1242499873000,836939216000,401230543000
2013-09-30,SCMA,IDR,2013,Q3,913014726000,593763112000,338375954000
2013-12-31,SCMA,IDR,2013,Q4,979796821000,601438471000,309129899000
2014-03-31,SCMA,IDR,2014,Q1,953800915000,578953698000,318419797000
2014-06-30,SCMA,IDR,2014,Q2,1193523146000,846630998000,497258504000
2014-09-30,SCMA,IDR,2014,Q3,945835806000,547471315000,289887654000
2014-12-31,SCMA,IDR,2014,Q4,962541774000,603432264000,348077700000
2015-03-31,SCMA,IDR,2015,Q1,945731846000,563015997000,324627758000
2015-06-30,SCMA,IDR,2015,Q2,1219486050000,802932866000,479518365000
2015-09-30,SCMA,IDR,2015,Q3,1041134797000,643752978000,343288176000
2015-12-31,SCMA,IDR,2015,Q4,1031626950000,702086457000,376089945000
2016-03-31,SCMA,IDR,2016,Q1,1069467195000,681989009000,361404460000
2016-06-30,SCMA,IDR,2016,Q2,1270738264000,813872494000,475510549000
2016-09-30,SCMA,IDR,2016,Q3,1078632839000,596431152000,318668837000
2016-12-31,SCMA,IDR,2016,Q4,1105297464000,649393390000,345348302000
2017-03-31,SCMA,IDR,2017,Q1,1005428693000,597670069000,301108072000
2017-06-30,SCMA,IDR,2017,Q2,1410109639000,951825882000,537801681000
2017-09-30,SCMA,IDR,2017,Q3,1009740028000,525119761000,254801092000
2017-12-31,SCMA,IDR,2017,Q4,1028570209000,544602158000,237748554000
2018-03-31,SCMA,IDR,2018,Q1,1156581101000,672956599000,359185269000
2018-06-30,SCMA,IDR,2018,Q2,1322226627000,833408826000,485290860000
2018-09-30,SCMA,IDR,2018,Q3,1317024433000,685325480000,344626328000
2018-12-31,SCMA,IDR,2018,Q4,1206016606000,652889310000,295659783000
2019-03-31,SCMA,IDR,2019,Q1,1250504107000,721503253000,399955421000
2019-06-30,SCMA,IDR,2019,Q2,1515613916000,777488027000,382526326000
2019-09-30,SCMA,IDR,2019,Q3,1379179426000,634295679000,224939538000
2019-12-31,SCMA,IDR,2019,Q4,1378065048000,527177770000,62745281000
2020-03-31,SCMA,IDR,2020,Q1,1304414264000,723520296000,311520384000
2020-06-30,SCMA,IDR,2020,Q2,1056905263000,649773321000,289398427000
2020-09-30,SCMA,IDR,2020,Q3,1223618477000,650997525000,312694686000
2020-12-31,SCMA,IDR,2020,Q4,1516175255000,585191005000,234728789000
2021-03-31,SCMA,IDR,2021,Q1,1403798165000,754808717000,331534576000
2021-06-30,SCMA,IDR,2021,Q2,1543427731000,819283673000,395849803000
2021-09-30,SCMA,IDR,2021,Q3,1443505840000,774615383000,336580750000
2021-12-31,SCMA,IDR,2021,Q4,1539529357000,695028431000,283499093000
2022-03-31,SCMA,IDR,2022,Q1,1534684384000,724287202000,284843148000
2022-06-30,SCMA,IDR,2022,Q2,1628908897000,820846957000,331596351000
2022-09-30,SCMA,IDR,2022,Q3,1788193703000,699651944000,214332248000
2022-12-31,SCMA,IDR,2022,Q4,2180746925000,457426270000,-61826419000
2023-03-31,SCMA,IDR,2023,Q1,1529266182000,560047592000,9665896000
2023-06-30,SCMA,IDR,2023,Q2,1503126806000,-94635084000,2702053000
2023-09-30,SCMA,IDR,2023,Q3,1757965060000,570616707000,167235390000
2023-12-31,SCMA,IDR,2023,Q4,1722839369000,572687235000,98009163000
2024-03-31,SCMA,IDR,2024,Q1,1757010902000,567105220000,190506467000
2024-06-30,SCMA,IDR,2024,Q2,1571680108000,554945003000,137148910000
2024-09-30,SCMA,IDR,2024,Q3,1814799246000,621466804000,181694108000
2024-12-31,SCMA,IDR,2024,Q4,1914334187000,627953733000,85504183000
2025-03-31,SCMA,IDR,2025,Q1,1737894633000,595308087000,153652369000
2025-06-30,SCMA,IDR,2025,Q2,1585365754000,136787059000,167063993000
2025-09-30,SCMA,IDR,2025,Q3,1723170465000,658821637000,270857406000
2025-12-31,SCMA,IDR,2025,Q4,1841567631000,552471029000,179443065000
2026-03-31,SCMA,IDR,2026,Q1,1863956570000,798251252000,307630011000
