date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-09-30,SDRA,IDR,2011,Q3,147742000000,77983000000,25281000000
2011-12-31,SDRA,IDR,2011,Q4,180990000000,99496000000,14202000000
2012-03-31,SDRA,IDR,2012,Q1,195836000000,102466000000,28786000000
2012-06-30,SDRA,IDR,2012,Q2,177942000000,105314000000,17078000000
2012-09-30,SDRA,IDR,2012,Q3,235274000000,149318000000,41529000000
2012-12-31,SDRA,IDR,2012,Q4,228136000000,110590000000,31450000000
2013-03-31,SDRA,IDR,2013,Q1,253095000000,130502000000,31941000000
2013-06-30,SDRA,IDR,2013,Q2,257250000000,138623000000,24324000000
2013-09-30,SDRA,IDR,2013,Q3,277035000000,151102000000,41161000000
2013-12-31,SDRA,IDR,2013,Q4,275907000000,125129000000,26239000000
2014-03-31,SDRA,IDR,2014,Q1,275915000000,109188000000,6987000000
2014-06-30,SDRA,IDR,2014,Q2,283271000000,112402000000,1030000000
2014-09-30,SDRA,IDR,2014,Q3,296584000000,114662000000,13363000000
2014-12-31,SDRA,IDR,2014,Q4,-426089000000,57177000000,116693000000
2015-03-31,SDRA,IDR,2015,Q1,438104000000,240469000000,100879000000
2015-06-30,SDRA,IDR,2015,Q2,417918000000,212684000000,74231000000
2015-09-30,SDRA,IDR,2015,Q3,438197000000,254502000000,48458000000
2015-12-31,SDRA,IDR,2015,Q4,440935000000,248405000000,41662000000
2016-03-31,SDRA,IDR,2016,Q1,469290000000,247020000000,50226000000
2016-06-30,SDRA,IDR,2016,Q2,482196000000,275267000000,87785000000
2016-09-30,SDRA,IDR,2016,Q3,495189000000,276340000000,100734000000
2016-12-31,SDRA,IDR,2016,Q4,536289000000,315861000000,71071000000
2017-03-31,SDRA,IDR,2017,Q1,545773000000,307419000000,144238000000
2017-06-30,SDRA,IDR,2017,Q2,539890000000,303561000000,78132000000
2017-09-30,SDRA,IDR,2017,Q3,546344000000,335960000000,98523000000
2017-12-31,SDRA,IDR,2017,Q4,572168000000,353440000000,117832000000
2018-03-31,SDRA,IDR,2018,Q1,578085000000,360168000000,151548000000
2018-06-30,SDRA,IDR,2018,Q2,614664000000,386801000000,147410000000
2018-09-30,SDRA,IDR,2018,Q3,609608000000,380465000000,92516000000
2018-12-31,SDRA,IDR,2018,Q4,637211000000,387274000000,146497000000
2019-03-31,SDRA,IDR,2019,Q1,635970000000,377940000000,146392000000
2019-06-30,SDRA,IDR,2019,Q2,679119000000,381941000000,153542000000
2019-09-30,SDRA,IDR,2019,Q3,701968000000,329835000000,121870000000
2019-12-31,SDRA,IDR,2019,Q4,726323000000,327756000000,77987000000
2020-03-31,SDRA,IDR,2020,Q1,695432000000,349937000000,132008000000
2020-06-30,SDRA,IDR,2020,Q2,627796000000,337055000000,118197000000
2020-09-30,SDRA,IDR,2020,Q3,653622000000,385538000000,168306000000
2020-12-31,SDRA,IDR,2020,Q4,663650000000,389755000000,117490000000
2021-03-31,SDRA,IDR,2021,Q1,671879000000,421752000000,162921000000
2021-06-30,SDRA,IDR,2021,Q2,657303000000,412161000000,150447000000
2021-09-30,SDRA,IDR,2021,Q3,650974000000,412360000000,130131000000
2021-12-31,SDRA,IDR,2021,Q4,692418000000,473527000000,183782000000
2022-03-31,SDRA,IDR,2022,Q1,711631000000,503814000000,223555000000
2022-06-30,SDRA,IDR,2022,Q2,764653000000,533660000000,211123000000
2022-09-30,SDRA,IDR,2022,Q3,849949000000,580338000000,189868000000
2022-12-31,SDRA,IDR,2022,Q4,907549000000,550939000000,236025000000
2023-03-31,SDRA,IDR,2023,Q1,937248000000,480242000000,199235000000
2023-06-30,SDRA,IDR,2023,Q2,965354000000,479395000000,174567000000
2023-09-30,SDRA,IDR,2023,Q3,1003490000000,458838000000,154499000000
2023-12-31,SDRA,IDR,2023,Q4,1110230000000,476735000000,169563000000
2024-03-31,SDRA,IDR,2024,Q1,1033916000000,448910000000,151151000000
2024-06-30,SDRA,IDR,2024,Q2,1141405000000,540218000000,177718000000
2024-09-30,SDRA,IDR,2024,Q3,1075331000000,527978000000,125061000000
2024-12-31,SDRA,IDR,2024,Q4,1078407000000,502967000000,62201000000
2025-03-31,SDRA,IDR,2025,Q1,1071737000000,498990000000,154331000000
2025-06-30,SDRA,IDR,2025,Q2,1025926000000,483939000000,-71664000000
2025-09-30,SDRA,IDR,2025,Q3,1020807000000,251970000000,-67974000000
2025-12-31,SDRA,IDR,2025,Q4,966260000000,-525856000000,-1076056000000
2026-03-31,SDRA,IDR,2026,Q1,971119000000,413733000000,106825000000
