date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-12-31,SGRO,IDR,2010,Q4,942646227000,358876700000,202879081000
2011-03-31,SGRO,IDR,2011,Q1,759270244000,331934955000,186540736000
2011-06-30,SGRO,IDR,2011,Q2,952061331000,340150944000,169655787000
2011-09-30,SGRO,IDR,2011,Q3,805559352000,242198394000,105917911000
2011-12-31,SGRO,IDR,2011,Q4,625487923000,146528502000,87408173000
2012-03-31,SGRO,IDR,2012,Q1,683518242000,186707804000,61336479000
2012-06-30,SGRO,IDR,2012,Q2,706840539000,208067871000,88546533000
2012-09-30,SGRO,IDR,2012,Q3,762552579000,220087038000,77059288000
2012-12-31,SGRO,IDR,2012,Q4,833325614000,178102775000,102258789000
2013-03-31,SGRO,IDR,2013,Q1,585555505000,105787697000,22990747000
2013-06-30,SGRO,IDR,2013,Q2,425410712000,74293970000,3735039000
2013-09-30,SGRO,IDR,2013,Q3,431762598000,68840969000,3960770000
2013-12-31,SGRO,IDR,2013,Q4,1117977128000,249185051000,88437798000
2014-03-31,SGRO,IDR,2014,Q1,649627930000,182480713000,55416901000
2014-06-30,SGRO,IDR,2014,Q2,806178215000,265683065000,130384063000
2014-09-30,SGRO,IDR,2014,Q3,1027076032000,256027743000,125043381000
2014-12-31,SGRO,IDR,2014,Q4,759499364000,164385229000,29478387000
2015-03-31,SGRO,IDR,2015,Q1,526870055000,129431016000,16569498000
2015-06-30,SGRO,IDR,2015,Q2,789937248000,246372216000,81911293000
2015-09-30,SGRO,IDR,2015,Q3,825036292000,251808403000,96463576000
2015-12-31,SGRO,IDR,2015,Q4,857604857000,205952536000,52624704000
2016-03-31,SGRO,IDR,2016,Q1,719524948000,148404570000,14017334000
2016-06-30,SGRO,IDR,2016,Q2,356095407000,-12479430000,-98232388000
2016-09-30,SGRO,IDR,2016,Q3,412702023000,28507678000,109729000000
2016-12-31,SGRO,IDR,2016,Q4,1426902462000,476256895000,416362798000
2017-03-31,SGRO,IDR,2017,Q1,1029006187000,328292100000,157957813000
2017-06-30,SGRO,IDR,2017,Q2,583287279000,133655504000,16189636000
2017-09-30,SGRO,IDR,2017,Q3,927266634000,238161040000,48731678000
2017-12-31,SGRO,IDR,2017,Q4,1076922811000,262005150000,64781698000
2018-03-31,SGRO,IDR,2018,Q1,667644285000,156301720000,15322048000
2018-06-30,SGRO,IDR,2018,Q2,665805394000,164278992000,73157534000
2018-09-30,SGRO,IDR,2018,Q3,951900576000,281003215000,80364434000
2018-12-31,SGRO,IDR,2018,Q4,921831512000,89351841000,-113314761000
2019-03-31,SGRO,IDR,2019,Q1,757254293000,141788603000,3584571000
2019-06-30,SGRO,IDR,2019,Q2,606371897000,88661945000,-22811066000
2019-09-30,SGRO,IDR,2019,Q3,903451429000,163314651000,35631350000
2019-12-31,SGRO,IDR,2019,Q4,1001049707000,283650851000,16745854000
2020-03-31,SGRO,IDR,2020,Q1,903878000000,271801000000,423000000
2020-06-30,SGRO,IDR,2020,Q2,698558000000,95235000000,548000000
2020-09-30,SGRO,IDR,2020,Q3,654982000000,93295000000,16802000000
2020-12-31,SGRO,IDR,2020,Q4,1244809000000,423582000000,-219194000000
2021-03-31,SGRO,IDR,2021,Q1,1330398000000,476317000000,209100000000
2021-06-30,SGRO,IDR,2021,Q2,1336244000000,392645000000,177763000000
2021-09-30,SGRO,IDR,2021,Q3,1239103000000,322472000000,122803000000
2021-12-31,SGRO,IDR,2021,Q4,1316553000000,477748000000,292419000000
2022-03-31,SGRO,IDR,2022,Q1,1258876000000,452376000000,247887000000
2022-06-30,SGRO,IDR,2022,Q2,1364979000000,631801000000,291241000000
2022-09-30,SGRO,IDR,2022,Q3,1286932000000,441411000000,267201000000
2022-12-31,SGRO,IDR,2022,Q4,1760936000000,458083000000,243497000000
2023-03-31,SGRO,IDR,2023,Q1,1401268000000,240031000000,76221000000
2023-06-30,SGRO,IDR,2023,Q2,1146129000000,298397000000,136045000000
2023-09-30,SGRO,IDR,2023,Q3,1614793000000,447885000000,209897000000
2023-12-31,SGRO,IDR,2023,Q4,1458313000000,336521000000,61549000000
2024-03-31,SGRO,IDR,2024,Q1,1133907000000,245462000000,100326000000
2024-06-30,SGRO,IDR,2024,Q2,1134862000000,217386000000,59846000000
2024-09-30,SGRO,IDR,2024,Q3,1216719000000,245417000000,87100000000
2024-12-31,SGRO,IDR,2024,Q4,2208740000000,887951000000,501288000000
2025-03-31,SGRO,IDR,2025,Q1,1677323000000,547172000000,287540000000
2025-06-30,SGRO,IDR,2025,Q2,1616529000000,517622000000,250742000000
2025-09-30,SGRO,IDR,2025,Q3,1318972000000,552051000000,336314000000
2025-12-31,SGRO,IDR,2025,Q4,1833847000000,516627000000,-501106000000
2026-03-31,SGRO,IDR,2026,Q1,1256531000000,214231000000,107930000000
2026-06-30,SGRO,IDR,2026,Q2,1666993000000,585541000000,331196000000
