date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2015-03-31,SHIP,USD,2015,Q1,4807443,2874506,2227314
2015-06-30,SHIP,USD,2015,Q2,4807443,2874507,2227313
2015-09-30,SHIP,USD,2015,Q3,3355611,903675,253704
2015-12-31,SHIP,USD,2015,Q4,2631690,422655,-259915
2016-03-31,SHIP,USD,2016,Q1,2537691,1081140,564461
2016-06-30,SHIP,USD,2016,Q2,3617469,1882177,3189302
2016-09-30,SHIP,USD,2016,Q3,5592497,3191261,424078
2016-12-31,SHIP,USD,2016,Q4,6223517,1514692,863264
2017-03-31,SHIP,USD,2017,Q1,9290390,4348861,2152088
2017-06-30,SHIP,USD,2017,Q2,10258229,4350002,1932356
2017-09-30,SHIP,USD,2017,Q3,13112550,5959671,3417882
2017-12-31,SHIP,USD,2017,Q4,13652442,5832277,798349
2018-03-31,SHIP,USD,2018,Q1,12328281,5268803,2028436
2018-06-30,SHIP,USD,2018,Q2,14263878,5936025,2056688
2018-09-30,SHIP,USD,2018,Q3,18481635,7900326,4065241
2018-12-31,SHIP,USD,2018,Q4,22379273,7457455,1944284
2019-03-31,SHIP,USD,2019,Q1,20686039,8626277,3458400
2019-06-30,SHIP,USD,2019,Q2,20606697,7858575,2901150
2019-09-30,SHIP,USD,2019,Q3,26524297,10334471,4718148
2019-12-31,SHIP,USD,2019,Q4,22819912,9242536,2872719
2020-03-31,SHIP,USD,2020,Q1,20538813,10112806,4195075
2020-06-30,SHIP,USD,2020,Q2,18700870,8902555,3908371
2020-09-30,SHIP,USD,2020,Q3,19374920,9022356,4178460
2020-12-31,SHIP,USD,2020,Q4,27102931,9719704,4652311
2021-03-31,SHIP,USD,2021,Q1,27939573,11834770,4829847
2021-06-30,SHIP,USD,2021,Q2,25330934,11712667,4887576
2021-09-30,SHIP,USD,2021,Q3,24266660,11118828,4596905
2021-12-31,SHIP,USD,2021,Q4,23876781,5712579,689110
2022-03-31,SHIP,USD,2022,Q1,24772322,10549455,5253126
2022-06-30,SHIP,USD,2022,Q2,29056421,10483754,5317180
2022-09-30,SHIP,USD,2022,Q3,39801969,17834670,10941645
2022-12-31,SHIP,USD,2022,Q4,41027260,11539171,4196966
2023-03-31,SHIP,USD,2023,Q1,36838383,16039967,7231013
2023-06-30,SHIP,USD,2023,Q2,37600376,11536745,3684549
2023-09-30,SHIP,USD,2023,Q3,37430458,15172049,7086995
2023-12-31,SHIP,USD,2023,Q4,51762331,10888706,470758
2024-03-31,SHIP,USD,2024,Q1,44894742,15797274,6493032
2024-06-30,SHIP,USD,2024,Q2,44546358,11218882,2696742
2024-09-30,SHIP,USD,2024,Q3,44657997,14562443,6705925
2024-12-31,SHIP,USD,2024,Q4,50958572,12809498,1516550
2025-03-31,SHIP,USD,2025,Q1,47201683,15610768,4377268
2025-06-30,SHIP,USD,2025,Q2,41833406,13832264,7966959
2025-09-30,SHIP,USD,2025,Q3,38876322,8201177,784505
2025-12-31,SHIP,USD,2025,Q4,45859296,12257578,4853560
2026-03-31,SHIP,USD,2026,Q1,61273928,15468978,5855699
