date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-12-31,SICO,IDR,2020,Q4,13856405253,4352754013,-1890216222
2021-03-31,SICO,IDR,2021,Q1,17278623616,6330776820,1005318332
2021-06-30,SICO,IDR,2021,Q2,17278623616,6330776821,1005318331
2021-09-30,SICO,IDR,2021,Q3,20470477181,11974389264,5117487690
2021-12-31,SICO,IDR,2021,Q4,15061818741,5199114917,-1059752758
2022-03-31,SICO,IDR,2022,Q1,18794812868,10755594410,4907226743
2022-06-30,SICO,IDR,2022,Q2,16296462682,5862376911,-589466567
2022-09-30,SICO,IDR,2022,Q3,18696958724,11100847921,4566891215
2022-12-31,SICO,IDR,2022,Q4,24385581353,8197843174,2417739390
2023-03-31,SICO,IDR,2023,Q1,27656565047,13705177385,8325672732
2023-06-30,SICO,IDR,2023,Q2,21467174116,6993015405,-1358394776
2023-09-30,SICO,IDR,2023,Q3,23097567242,9190547161,1288921165
2023-12-31,SICO,IDR,2023,Q4,27855723881,6592394704,2263483291
2024-03-31,SICO,IDR,2024,Q1,25524482812,10365878719,4976236709
2024-06-30,SICO,IDR,2024,Q2,23697992275,10374111409,2779389029
2024-09-30,SICO,IDR,2024,Q3,30926117133,9486112419,1654967133
2024-12-31,SICO,IDR,2024,Q4,30926117133,9486112419,1654967133
2025-03-31,SICO,IDR,2025,Q1,32740172000,12142841000,5529913000
2025-06-30,SICO,IDR,2025,Q2,41054550000,12899159000,2865230000
2025-09-30,SICO,IDR,2025,Q3,44010984251,11651581675,1697961752
2025-12-31,SICO,IDR,2025,Q4,36372887347,13365702829,2810273189
2026-03-31,SICO,IDR,2026,Q1,38981285138,13752542278,6520704440
2026-06-30,SICO,IDR,2026,Q2,37733515763,11582746427,1606071285
