date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2017-03-31,SKRN,IDR,2017,Q1,113908541553,46240898413,30592963318
2018-03-31,SKRN,IDR,2018,Q1,153212109950,58700969314,28741826023
2018-06-30,SKRN,IDR,2018,Q2,143548799818,53408553254,23487502354
2018-09-30,SKRN,IDR,2018,Q3,152927618399,73110079537,27796151150
2018-12-31,SKRN,IDR,2018,Q4,111079328223,11929195836,-16738759569
2019-03-31,SKRN,IDR,2019,Q1,158878996720,36292166316,22363906666
2019-06-30,SKRN,IDR,2019,Q2,206587150335,94576513801,37325393544
2019-09-30,SKRN,IDR,2019,Q3,188112668929,90041275977,48238602928
2019-12-31,SKRN,IDR,2019,Q4,128799565182,43061671143,29505082104
2020-03-31,SKRN,IDR,2020,Q1,135312864691,36967855953,-33625501608
2020-06-30,SKRN,IDR,2020,Q2,116309512804,16873805620,22241173947
2020-09-30,SKRN,IDR,2020,Q3,106212081024,11992838106,-28377222711
2020-12-31,SKRN,IDR,2020,Q4,149949382683,62580328913,49538000682
2021-03-31,SKRN,IDR,2021,Q1,54184952800,-31762322691,-33347729878
2021-06-30,SKRN,IDR,2021,Q2,113071375317,54691369575,34536891203
2021-09-30,SKRN,IDR,2021,Q3,90749744294,1271750205,4650623880
2021-12-31,SKRN,IDR,2021,Q4,161481092060,5857441210,-1945047339
2022-03-31,SKRN,IDR,2022,Q1,140568820578,45659142066,43364334754
2022-06-30,SKRN,IDR,2022,Q2,148721689975,51799617934,14636961178
2022-09-30,SKRN,IDR,2022,Q3,160198401541,48277261622,29643777994
2022-12-31,SKRN,IDR,2022,Q4,198910922074,29414274324,2603102728
2023-03-31,SKRN,IDR,2023,Q1,236275484501,121694892936,72196015949
2023-06-30,SKRN,IDR,2023,Q2,204853828781,81876814473,56891708679
2023-09-30,SKRN,IDR,2023,Q3,303769430515,70587590719,43305936893
2023-12-31,SKRN,IDR,2023,Q4,148553541510,16732752069,127819394635
2024-03-31,SKRN,IDR,2024,Q1,305978827144,103863820659,63518926058
2024-06-30,SKRN,IDR,2024,Q2,387627307823,72098406173,42440885379
2024-09-30,SKRN,IDR,2024,Q3,214243091000,101384767000,69518191000
2024-12-31,SKRN,IDR,2024,Q4,266133233000,45436228000,49604312000
2025-03-31,SKRN,IDR,2025,Q1,224768242000,115714242000,82600449000
2025-06-30,SKRN,IDR,2025,Q2,189563750000,81959397000,54959241000
2025-09-30,SKRN,IDR,2025,Q3,208009785000,88266191000,37368243000
2025-12-31,SKRN,IDR,2025,Q4,177725538000,-9376708000,28795957000
2026-03-31,SKRN,IDR,2026,Q1,218831883000,83388858000,57192513000
