date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,SKYB,IDR,2012,Q4,406691000,-9277000,6363000
2013-03-31,SKYB,IDR,2013,Q1,335226636000,7071653000,1001517000
2013-06-30,SKYB,IDR,2013,Q2,359649511000,7237969000,153443000
2013-09-30,SKYB,IDR,2013,Q3,388611310000,896582000,-236642000
2013-12-31,SKYB,IDR,2013,Q4,271376349000,3729908000,-11499646000
2014-03-31,SKYB,IDR,2014,Q1,243295854000,1492727000,-4389113000
2014-06-30,SKYB,IDR,2014,Q2,164511089000,2121295000,-22712958000
2014-09-30,SKYB,IDR,2014,Q3,134441767000,6628294000,-182826000
2014-12-31,SKYB,IDR,2014,Q4,79407564000,225252000,-9999438000
2015-03-31,SKYB,IDR,2015,Q1,37056314000,616645000,-1263457000
2015-06-30,SKYB,IDR,2015,Q2,20279268000,356529000,-1205438000
2015-09-30,SKYB,IDR,2015,Q3,20279268000,0,-1980425000
2015-12-31,SKYB,IDR,2015,Q4,-57335583000,-973174000,-106735697000
2016-03-31,SKYB,IDR,2016,Q1,0,0,-295980000
2016-06-30,SKYB,IDR,2016,Q2,0,0,41075587000
2016-09-30,SKYB,IDR,2016,Q3,0,0,-402899000
2016-12-31,SKYB,IDR,2016,Q4,0,0,-728824000
2017-03-31,SKYB,IDR,2017,Q1,0,0,-194455000
2017-06-30,SKYB,IDR,2017,Q2,0,0,-364814000
2017-09-30,SKYB,IDR,2017,Q3,0,0,-478762000
2017-12-31,SKYB,IDR,2017,Q4,2010677000,7380000,-653959000
2018-03-31,SKYB,IDR,2018,Q1,2136388000,10682000,-271764000
2018-06-30,SKYB,IDR,2018,Q2,912680000,4563000,-773351000
2018-09-30,SKYB,IDR,2018,Q3,1206383000,6032000,-101396000
2018-12-31,SKYB,IDR,2018,Q4,0,-18378000,-826574000
2019-03-31,SKYB,IDR,2019,Q1,463107000,9081000,-1084371000
2019-06-30,SKYB,IDR,2019,Q2,1108247000,657367000,109016000
2019-09-30,SKYB,IDR,2019,Q3,2084806000,1593189000,946454000
