date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-12-31,SMAR,IDR,2012,Q4,6502423000000,1597642000000,563308000000
2013-03-31,SMAR,IDR,2013,Q1,5589282000000,1099946000000,553137000000
2013-06-30,SMAR,IDR,2013,Q2,5593625000000,745390000000,242290000000
2013-09-30,SMAR,IDR,2013,Q3,5543404000000,954251000000,69207000000
2013-12-31,SMAR,IDR,2013,Q4,7208903000000,1262982000000,27871000000
2014-03-31,SMAR,IDR,2014,Q1,9072209000000,1386184000000,888271000000
2014-06-30,SMAR,IDR,2014,Q2,8356964000000,1071134000000,72425000000
2014-09-30,SMAR,IDR,2014,Q3,7549329000000,1050887000000,239721000000
2014-12-31,SMAR,IDR,2014,Q4,7362163000000,1183776000000,274110000000
2015-03-31,SMAR,IDR,2015,Q1,7546289000000,888543000000,-78289000000
2015-06-30,SMAR,IDR,2015,Q2,10721085000000,1067377000000,48117000000
2015-09-30,SMAR,IDR,2015,Q3,9216090000000,835832000000,-671325000000
2015-12-31,SMAR,IDR,2015,Q4,8746649000000,1147280000000,315322000000
2016-03-31,SMAR,IDR,2016,Q1,7946832000000,1100159000000,462328000000
2016-06-30,SMAR,IDR,2016,Q2,6235075000000,908450000000,1750792000000
2016-09-30,SMAR,IDR,2016,Q3,6851738000000,881441000000,220251000000
2016-12-31,SMAR,IDR,2016,Q4,8718481000000,1346068000000,167538000000
2017-03-31,SMAR,IDR,2017,Q1,9210838000000,1080156000000,353076000000
2017-06-30,SMAR,IDR,2017,Q2,8188218000000,987710000000,148897000000
2017-09-30,SMAR,IDR,2017,Q3,8380932000000,1135336000000,125744000000
2017-12-31,SMAR,IDR,2017,Q4,9538114000000,1121675000000,562156000000
2018-03-31,SMAR,IDR,2018,Q1,8487098000000,936432000000,81791000000
2018-06-30,SMAR,IDR,2018,Q2,9198465000000,951599000000,-269250000000
2018-09-30,SMAR,IDR,2018,Q3,10020944000000,1340092000000,199893000000
2018-12-31,SMAR,IDR,2018,Q4,9685136000000,1405424000000,584890000000
2019-03-31,SMAR,IDR,2019,Q1,9422832000000,1063467000000,479474000000
2019-06-30,SMAR,IDR,2019,Q2,8383562000000,594578000000,-192297000000
2019-09-30,SMAR,IDR,2019,Q3,8576536000000,922588000000,244595000000
2019-12-31,SMAR,IDR,2019,Q4,9815172000000,1331931000000,366860000000
2020-03-31,SMAR,IDR,2020,Q1,9618814000000,994533000000,-1410973000000
2020-06-30,SMAR,IDR,2020,Q2,9453915000000,1151800000000,1421748000000
2020-09-30,SMAR,IDR,2020,Q3,9129941000000,1526323000000,203942000000
2020-12-31,SMAR,IDR,2020,Q4,12231676000000,2204560000000,1324025000000
2021-03-31,SMAR,IDR,2021,Q1,11099598000000,2098945000000,250005000000
2021-06-30,SMAR,IDR,2021,Q2,12685505000000,2532226000000,752779000000
2021-09-30,SMAR,IDR,2021,Q3,16595032000000,3232212000000,791739000000
2021-12-31,SMAR,IDR,2021,Q4,16624099000000,3093517000000,1032285000000
2022-03-31,SMAR,IDR,2022,Q1,17380315000000,3142847000000,910856000000
2022-06-30,SMAR,IDR,2022,Q2,18724939000000,3925147000000,1014290000000
2022-09-30,SMAR,IDR,2022,Q3,20930735000000,3298770000000,1661055000000
2022-12-31,SMAR,IDR,2022,Q4,18009570000000,2944910000000,1914318000000
2023-03-31,SMAR,IDR,2023,Q1,17520250000000,1858498000000,248253000000
2023-06-30,SMAR,IDR,2023,Q2,15097492000000,1300568000000,36068000000
2023-09-30,SMAR,IDR,2023,Q3,16290613000000,1932797000000,237759000000
2023-12-31,SMAR,IDR,2023,Q4,17622194000000,1608935000000,395727000000
2024-03-31,SMAR,IDR,2024,Q1,17882988000000,1716458000000,177869000000
2024-06-30,SMAR,IDR,2024,Q2,18009412000000,1618699000000,245465000000
2024-09-30,SMAR,IDR,2024,Q3,20400912000000,1854412000000,612784000000
2024-12-31,SMAR,IDR,2024,Q4,22542131000000,2695088000000,242054000000
2025-03-31,SMAR,IDR,2025,Q1,21158050000000,2069422000000,134235000000
2025-06-30,SMAR,IDR,2025,Q2,22108083000000,2293423000000,691145000000
2025-09-30,SMAR,IDR,2025,Q3,22388222000000,2811823000000,772875000000
2025-12-31,SMAR,IDR,2025,Q4,21291713000000,2904277000000,986651000000
2026-03-31,SMAR,IDR,2026,Q1,20734239000000,2952407000000,829521000000
