date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2011-03-31,SMDM,IDR,2011,Q1,52066705000,22832634000,9353452000
2011-06-30,SMDM,IDR,2011,Q2,40322302000,14322102000,654916000
2011-09-30,SMDM,IDR,2011,Q3,51437574000,18367176000,3752221000
2011-12-31,SMDM,IDR,2011,Q4,125960312000,52794799000,14474405000
2012-03-31,SMDM,IDR,2012,Q1,45850991000,14256456000,451974000
2012-06-30,SMDM,IDR,2012,Q2,66902475000,22475562000,5045818000
2012-09-30,SMDM,IDR,2012,Q3,95065949000,31161257000,6452452000
2012-12-31,SMDM,IDR,2012,Q4,59993732000,25432863000,465686000
2013-03-31,SMDM,IDR,2013,Q1,71013099000,30267755000,10520732000
2013-06-30,SMDM,IDR,2013,Q2,48099772000,21963581000,-1139963000
2013-09-30,SMDM,IDR,2013,Q3,107686893000,37462900000,13284974000
2013-12-31,SMDM,IDR,2013,Q4,102507463000,38147623000,12381172000
2014-03-31,SMDM,IDR,2014,Q1,65974681000,27933092000,2799752000
2014-06-30,SMDM,IDR,2014,Q2,97791882000,42374033000,16089486000
2014-09-30,SMDM,IDR,2014,Q3,111067437000,44010150000,1982271000
2014-12-31,SMDM,IDR,2014,Q4,141784692000,68474676000,18124961000
2015-03-31,SMDM,IDR,2015,Q1,100917117000,49044410000,22958386000
2015-06-30,SMDM,IDR,2015,Q2,147766567000,75367066000,23435697000
2015-09-30,SMDM,IDR,2015,Q3,145944785000,65398841000,-3491298000
2015-12-31,SMDM,IDR,2015,Q4,183127780000,105449739000,23814578000
2016-03-31,SMDM,IDR,2016,Q1,106746272000,55880548000,12097966250
2016-06-30,SMDM,IDR,2016,Q2,133584196000,59864918000,-2394121000
2016-09-30,SMDM,IDR,2016,Q3,117007568000,50707917000,3270800000
2016-12-31,SMDM,IDR,2016,Q4,137384589665,71243594145,3309594603
2017-03-31,SMDM,IDR,2017,Q1,114092190515,54223310029,5413019384
2017-06-30,SMDM,IDR,2017,Q2,101792570360,49095198686,-88337284
2017-09-30,SMDM,IDR,2017,Q3,110562829159,54219685358,5301105564
2017-12-31,SMDM,IDR,2017,Q4,142032328755,67628729821,2700666554
2018-03-31,SMDM,IDR,2018,Q1,121354965705,65757397346,9956987644
2018-06-30,SMDM,IDR,2018,Q2,122181819925,64593900991,6743947207
2018-09-30,SMDM,IDR,2018,Q3,130656404763,75452722901,1413403242
2018-12-31,SMDM,IDR,2018,Q4,165108934689,100727311109,15636030894
2019-03-31,SMDM,IDR,2019,Q1,142450159540,80390055545,14157378615
2019-06-30,SMDM,IDR,2019,Q2,138920350331,73911824764,9117353199
2019-09-30,SMDM,IDR,2019,Q3,127809239190,60580075380,-2389083989
2019-12-31,SMDM,IDR,2019,Q4,160194681737,82705619850,4319949966
2020-03-31,SMDM,IDR,2020,Q1,109469942564,53944484481,-1157586651
2020-06-30,SMDM,IDR,2020,Q2,79267875317,38024871826,-3399371465
2020-09-30,SMDM,IDR,2020,Q3,94659531341,52528716458,10498533363
2020-12-31,SMDM,IDR,2020,Q4,103143800606,48921522922,-6759951392
2021-03-31,SMDM,IDR,2021,Q1,136426042950,79555375820,33212591621
2021-06-30,SMDM,IDR,2021,Q2,109072885894,55611081783,8763106185
2021-09-30,SMDM,IDR,2021,Q3,179319675998,97821547719,48055017870
2021-12-31,SMDM,IDR,2021,Q4,142233604161,78273021730,11240897300
2022-03-31,SMDM,IDR,2022,Q1,156257113868,100442878711,41882298292
2022-06-30,SMDM,IDR,2022,Q2,157627703502,97810879925,41540853307
2022-09-30,SMDM,IDR,2022,Q3,124696711282,71429232492,38495992317
2022-12-31,SMDM,IDR,2022,Q4,127821194813,77178810191,41857484459
2023-03-31,SMDM,IDR,2023,Q1,75881058380,41280355935,5634089843
2023-06-30,SMDM,IDR,2023,Q2,127655588755,68022798787,24799161564
2023-09-30,SMDM,IDR,2023,Q3,139475752944,82435932561,37097220861
2023-12-31,SMDM,IDR,2023,Q4,153485503384,97839859420,36707484882
2024-03-31,SMDM,IDR,2024,Q1,129691649538,67394083519,17750037761
2024-06-30,SMDM,IDR,2024,Q2,322643521057,184279121368,92013530563
2024-09-30,SMDM,IDR,2024,Q3,104138893000,60733562000,-17076108000
2024-12-31,SMDM,IDR,2024,Q4,137571145000,82893183000,31090513000
2025-03-31,SMDM,IDR,2025,Q1,56389221000,29194914000,-7112114000
2025-06-30,SMDM,IDR,2025,Q2,87963853000,49628888000,5146868000
2025-09-30,SMDM,IDR,2025,Q3,55998203000,36122629000,-11919587000
2025-12-31,SMDM,IDR,2025,Q4,185733398000,125950573000,35995193000
2026-03-31,SMDM,IDR,2026,Q1,84604868000,54358808000,4753941000
