date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2010-12-31,SMGR,IDR,2010,Q4,4052115824000,1874342992000,1111078076000
2011-03-31,SMGR,IDR,2011,Q1,3553496248000,1643879060000,870894033000
2011-06-30,SMGR,IDR,2011,Q2,4052290751000,1851795522000,1002138334000
2011-09-30,SMGR,IDR,2011,Q3,4005020845000,1787055185000,887975255000
2011-12-31,SMGR,IDR,2011,Q4,4767985914000,2204195995000,1164434149000
2012-03-31,SMGR,IDR,2012,Q1,4283657849000,1922187900000,1010552642000
2012-06-30,SMGR,IDR,2012,Q2,4373904135000,2039240064000,1092896858000
2012-09-30,SMGR,IDR,2012,Q3,5009753072000,2445593921000,1285910629000
2012-12-31,SMGR,IDR,2012,Q4,5930932828000,2890559281000,1457891714000
2013-03-31,SMGR,IDR,2013,Q1,5543803206000,2484879931000,1236236052000
2013-06-30,SMGR,IDR,2013,Q2,5878439456000,2661391680000,1348281414000
2013-09-30,SMGR,IDR,2013,Q3,5968596217000,2693860812000,1321731930000
2013-12-31,SMGR,IDR,2013,Q4,7110401901000,3103961523000,1463997721000
2014-03-31,SMGR,IDR,2014,Q1,6177992744000,2675456613000,1308738850000
2014-06-30,SMGR,IDR,2014,Q2,6707501870000,3087734194000,1522957175000
2014-09-30,SMGR,IDR,2014,Q3,6463478101000,2687657354000,1262239286000
2014-12-31,SMGR,IDR,2014,Q4,7638062420000,3147755924000,1477740391000
2015-03-31,SMGR,IDR,2015,Q1,6340290628000,2559712874000,1190221899000
2015-06-30,SMGR,IDR,2015,Q2,6299834231000,2445799680000,994995953000
2015-09-30,SMGR,IDR,2015,Q3,6474484603000,2507475585000,1013038904000
2015-12-31,SMGR,IDR,2015,Q4,7833395009000,3133008234000,1323233822000
2016-03-31,SMGR,IDR,2016,Q1,6020920214000,2425057499000,1033594985000
2016-06-30,SMGR,IDR,2016,Q2,6449260195000,2562578127000,931386154000
2016-09-30,SMGR,IDR,2016,Q3,6612310281000,2585884880000,963858565000
2016-12-31,SMGR,IDR,2016,Q4,7051815448000,2282351942000,1592756504000
2017-03-31,SMGR,IDR,2017,Q1,6398629233000,1942890503000,746521764000
2017-06-30,SMGR,IDR,2017,Q2,6315378877000,1913621470000,346463597000
2017-09-30,SMGR,IDR,2017,Q3,7837968205000,2192124721000,366706003000
2017-12-31,SMGR,IDR,2017,Q4,7261687861000,1910962073000,554323389000
2018-03-31,SMGR,IDR,2018,Q1,6617534441000,1716713869000,411553181000
2018-06-30,SMGR,IDR,2018,Q2,6690905617000,2082015409000,559784139000
2018-09-30,SMGR,IDR,2018,Q3,8146851310000,2540751187000,1116020073000
2018-12-31,SMGR,IDR,2018,Q4,9232334602000,2991049860000,991758018000
2019-03-31,SMGR,IDR,2019,Q1,8127076099000,2213670417000,268101000000
2019-06-30,SMGR,IDR,2019,Q2,8223960803000,2450935143000,216681175000
2019-09-30,SMGR,IDR,2019,Q3,11771989157000,3811180720000,810175690000
2019-12-31,SMGR,IDR,2019,Q4,12245080941000,4238196720000,1097193627000
2020-03-31,SMGR,IDR,2020,Q1,8580035000000,2704201000000,446459000000
2020-06-30,SMGR,IDR,2020,Q2,7445904000000,2108275000000,166010000000
2020-09-30,SMGR,IDR,2020,Q3,9598994000000,3418252000000,929328000000
2020-12-31,SMGR,IDR,2020,Q4,9546735000000,3386373000000,1250524000000
2021-03-31,SMGR,IDR,2021,Q1,8071147000000,2301019000000,450363000000
2021-06-30,SMGR,IDR,2021,Q2,8142197000000,2287531000000,343759000000
2021-09-30,SMGR,IDR,2021,Q3,9117117000000,2855698000000,593585000000
2021-12-31,SMGR,IDR,2021,Q4,9627410000000,3509083000000,633483000000
2022-03-31,SMGR,IDR,2022,Q1,8136705000000,2255926000000,505696000000
2022-06-30,SMGR,IDR,2022,Q2,7739455000000,2154026000000,330197000000
2022-09-30,SMGR,IDR,2022,Q3,9404713000000,2933071000000,821512000000
2022-12-31,SMGR,IDR,2022,Q4,11097724000000,3334581000000,714561000000
2023-03-31,SMGR,IDR,2023,Q1,8935094000000,2445896000000,561616000000
2023-06-30,SMGR,IDR,2023,Q2,8096665000000,1969959000000,304619000000
2023-09-30,SMGR,IDR,2023,Q3,10629063000000,3024027000000,847749000000
2023-12-31,SMGR,IDR,2023,Q4,10990538000000,2737095000000,456513000000
2024-03-31,SMGR,IDR,2024,Q1,8375065000000,2050523000000,471810000000
2024-06-30,SMGR,IDR,2024,Q2,8036260000000,1486031000000,29668000000
2024-09-30,SMGR,IDR,2024,Q3,9883557000000,2480117000000,218245000000
2024-12-31,SMGR,IDR,2024,Q4,9891245000000,1914455000000,40000000
2025-03-31,SMGR,IDR,2025,Q1,7654749000000,1561360000000,42580000000
2025-06-30,SMGR,IDR,2025,Q2,7954267000000,1574382000000,-2602000000
2025-09-30,SMGR,IDR,2025,Q3,9695638000000,1691964000000,74859000000
2025-12-31,SMGR,IDR,2025,Q4,9939097000000,2242397000000,76011000000
2026-03-31,SMGR,IDR,2026,Q1,8288486000000,1504335000000,80342000000
