date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2022-09-30,SMIL,IDR,2022,Q3,53289508770,12725918523,3453189896
2022-12-31,SMIL,IDR,2022,Q4,78424113146,44006845870,29517723054
2023-03-31,SMIL,IDR,2023,Q1,62778263530,22784574264,8949612264
2023-06-30,SMIL,IDR,2023,Q2,110913477517,49737344767,31087606840
2023-09-30,SMIL,IDR,2023,Q3,78405598992,26982427239,13661531043
2023-12-31,SMIL,IDR,2023,Q4,104900449036,48511717142,29647602563
2024-03-31,SMIL,IDR,2024,Q1,97497744594,40698751947,26901733253
2024-06-30,SMIL,IDR,2024,Q2,80619596740,18047993024,9779765245
2024-09-30,SMIL,IDR,2024,Q3,89748676000,32506402000,19858561000
2024-12-31,SMIL,IDR,2024,Q4,98063401000,47126892000,24072693000
2025-03-31,SMIL,IDR,2025,Q1,100448152000,41999220000,27099945000
2025-06-30,SMIL,IDR,2025,Q2,109806440000,53936501000,23259537000
2025-09-30,SMIL,IDR,2025,Q3,115190599000,29308237000,27583408000
2025-12-31,SMIL,IDR,2025,Q4,85085482000,-42702380000,-11914087000
2026-03-31,SMIL,IDR,2026,Q1,128828468852,49105462633,30747802813
2026-06-30,SMIL,IDR,2026,Q2,122006360488,65645669521,29333111878
