date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2020-03-31,SMKM,IDR,2020,Q1,23911326231,2824698439,2092788697
2020-06-30,SMKM,IDR,2020,Q2,23911326231,2824698439,2092788697
2020-09-30,SMKM,IDR,2020,Q3,6118018318,748573515,-842826548
2020-12-31,SMKM,IDR,2020,Q4,6118018318,748573515,-842826548
2021-03-31,SMKM,IDR,2021,Q1,20298428571,2815499383,1843717463
2021-06-30,SMKM,IDR,2021,Q2,53245918538,10174225262,6143993809
2021-09-30,SMKM,IDR,2021,Q3,53067532468,5784644156,4301595519
2021-12-31,SMKM,IDR,2021,Q4,0,0,-2435364536
2022-03-31,SMKM,IDR,2022,Q1,33165513200,6027730096,3751677149
2022-06-30,SMKM,IDR,2022,Q2,37402563150,6851758295,4395803423
2022-09-30,SMKM,IDR,2022,Q3,72477507601,7646633600,2494366328
2022-12-31,SMKM,IDR,2022,Q4,0,-636133107,-1360612556
2023-03-31,SMKM,IDR,2023,Q1,38600277857,7720055571,4037217665
2023-06-30,SMKM,IDR,2023,Q2,38600277856,7720055571,4037217665
2023-09-30,SMKM,IDR,2023,Q3,26413000390,3781955950,813356576
2023-12-31,SMKM,IDR,2023,Q4,26413000390,3781955950,813356576
2024-03-31,SMKM,IDR,2024,Q1,22314997686,2796803679,154158597
2024-06-30,SMKM,IDR,2024,Q2,22314997686,2796803679,154158597
2024-09-30,SMKM,IDR,2024,Q3,20334752000,3456908000,1103558000
2024-12-31,SMKM,IDR,2024,Q4,20334752000,3456908000,1103558000
2025-03-31,SMKM,IDR,2025,Q1,17909509200,2984918200,509368331
2025-06-30,SMKM,IDR,2025,Q2,17909509200,2984918200,509368331
2025-09-30,SMKM,IDR,2025,Q3,16842207151,1871356351,-514887607
2025-12-31,SMKM,IDR,2025,Q4,16842207151,1871356351,-514887607
