date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2012-03-31,SMMA,IDR,2012,Q1,4645167000000,4528310000000,331030000000
2012-06-30,SMMA,IDR,2012,Q2,3531690000000,3434140000000,247233000000
2012-09-30,SMMA,IDR,2012,Q3,4108373000000,3985670000000,216272000000
2012-12-31,SMMA,IDR,2012,Q4,4902764000000,4818623000000,271477000000
2013-03-31,SMMA,IDR,2013,Q1,5152141000000,5024470000000,1240789000000
2013-06-30,SMMA,IDR,2013,Q2,3919084000000,3814975000000,103059000000
2013-09-30,SMMA,IDR,2013,Q3,3495631000000,3373783000000,29529000000
2013-12-31,SMMA,IDR,2013,Q4,4069955000000,3958174000000,-160003000000
2014-03-31,SMMA,IDR,2014,Q1,3972719000000,3816653000000,355000000000
2014-06-30,SMMA,IDR,2014,Q2,3387912000000,3258763000000,145797000000
2014-09-30,SMMA,IDR,2014,Q3,3160540000000,3000497000000,199826000000
2014-12-31,SMMA,IDR,2014,Q4,3657157000000,3501056000000,307759000000
2015-03-31,SMMA,IDR,2015,Q1,4230737000000,4042838000000,267496000000
2015-06-30,SMMA,IDR,2015,Q2,3118599000000,2958149000000,58974000000
2015-09-30,SMMA,IDR,2015,Q3,3346003000000,3171502000000,77778000000
2015-12-31,SMMA,IDR,2015,Q4,1568833000000,1353591000000,-529714000000
2016-03-31,SMMA,IDR,2016,Q1,4415459000000,4230461000000,276991000000
2016-06-30,SMMA,IDR,2016,Q2,5279181000000,5081664000000,329226000000
2016-09-30,SMMA,IDR,2016,Q3,6293815000000,6165383000000,226784000000
2016-12-31,SMMA,IDR,2016,Q4,13052394000000,12881149000000,523805000000
2017-03-31,SMMA,IDR,2017,Q1,6199768000000,6001107000000,385193000000
2017-06-30,SMMA,IDR,2017,Q2,5540212000000,5368714000000,252347000000
2017-09-30,SMMA,IDR,2017,Q3,10804947000000,10627725000000,339465000000
2017-12-31,SMMA,IDR,2017,Q4,9345558000000,9106241000000,467015000000
2018-03-31,SMMA,IDR,2018,Q1,8684232000000,8499375000000,415556000000
2018-06-30,SMMA,IDR,2018,Q2,10999596000000,11118221000000,141905000000
2018-09-30,SMMA,IDR,2018,Q3,7560036000000,7087920000000,493939000000
2018-12-31,SMMA,IDR,2018,Q4,7372795000000,7181633000000,272054000000
2019-03-31,SMMA,IDR,2019,Q1,8740506000000,8521672000000,452623000000
2019-06-30,SMMA,IDR,2019,Q2,7396751000000,7523457000000,184238000000
2019-09-30,SMMA,IDR,2019,Q3,10807642000000,10319862000000,5044788000000
2019-12-31,SMMA,IDR,2019,Q4,11944293000000,11684017000000,-701563000000
2020-03-31,SMMA,IDR,2020,Q1,4420359000000,4147878000000,358605000000
2020-06-30,SMMA,IDR,2020,Q2,12202088000000,12535112000000,234698000000
2020-09-30,SMMA,IDR,2020,Q3,8960300000000,7998703000000,583938000000
2020-12-31,SMMA,IDR,2020,Q4,8074076000000,7564979000000,-654303000000
2021-03-31,SMMA,IDR,2021,Q1,10585127000000,10315547000000,283246000000
2021-06-30,SMMA,IDR,2021,Q2,7097651000000,7260685000000,392436000000
2021-09-30,SMMA,IDR,2021,Q3,7346595000000,6739855000000,847454000000
2021-12-31,SMMA,IDR,2021,Q4,10926737000000,9397037000000,-575036000000
2022-03-31,SMMA,IDR,2022,Q1,7524533000000,7114223000000,402891000000
2022-06-30,SMMA,IDR,2022,Q2,7581883000000,8822587000000,-148277000000
2022-09-30,SMMA,IDR,2022,Q3,8866913000000,6296475000000,767573000000
2022-12-31,SMMA,IDR,2022,Q4,6879283000000,5871595000000,-177624000000
2023-03-31,SMMA,IDR,2023,Q1,6205389000000,5415590000000,294852000000
2023-06-30,SMMA,IDR,2023,Q2,4205640000000,4205640000000,217023000000
2023-09-30,SMMA,IDR,2023,Q3,7626125000000,7626125000000,926909000000
2023-12-31,SMMA,IDR,2023,Q4,6978683000000,6850919000000,-269838000000
2024-03-31,SMMA,IDR,2024,Q1,5729614000000,5083524000000,113201000000
2024-06-30,SMMA,IDR,2024,Q2,5630254000000,5630254000000,208974000000
2024-09-30,SMMA,IDR,2024,Q3,7125464000000,7125464000000,258840000000
2024-12-31,SMMA,IDR,2024,Q4,7686481000000,7075314000000,259782000000
2025-03-31,SMMA,IDR,2025,Q1,5799375000000,5446323000000,435301000000
2025-06-30,SMMA,IDR,2025,Q2,6516408000000,6516408000000,888979000000
2025-09-30,SMMA,IDR,2025,Q3,6463544000000,6463544000000,1415931000000
2025-12-31,SMMA,IDR,2025,Q4,16975363000000,16975363000000,-694567000000
