date,symbol,reported_currency,calendar_year,period,revenue,gross_profit,net_income
2013-03-31,SOCI,USD,2013,Q1,23141211,7906246,5097474
2013-06-30,SOCI,USD,2013,Q2,23141211,7906247,5097474
2013-09-30,SOCI,USD,2013,Q3,30061076,9805088,10012191
2013-12-31,SOCI,USD,2013,Q4,30061076,9805088,10012191
2014-03-31,SOCI,USD,2014,Q1,26212208,10574343,1885645
2014-06-30,SOCI,USD,2014,Q2,28558826,14767305,13704429
2014-09-30,SOCI,USD,2014,Q3,33064717,12614357,9388419
2014-12-31,SOCI,USD,2014,Q4,39641635,13355340,8224682
2015-03-31,SOCI,USD,2015,Q1,33954116,12586493,12200624
2015-06-30,SOCI,USD,2015,Q2,37016823,13593190,10729340
2015-09-30,SOCI,USD,2015,Q3,29792678,13407359,16426466
2015-12-31,SOCI,USD,2015,Q4,41069844,12123886,1565449
2016-03-31,SOCI,USD,2016,Q1,33137214,12803150,2970243
2016-06-30,SOCI,USD,2016,Q2,30848163,8709362,3416587
2016-09-30,SOCI,USD,2016,Q3,31560684,13661056,8700491
2016-12-31,SOCI,USD,2016,Q4,34741983,12901191,6113910
2017-03-31,SOCI,USD,2017,Q1,32504872,11804373,5570659
2017-06-30,SOCI,USD,2017,Q2,32469565,11267551,5445814
2017-09-30,SOCI,USD,2017,Q3,35883926,11964260,5396728
2017-12-31,SOCI,USD,2017,Q4,37973789,12274701,5159674
2018-03-31,SOCI,USD,2018,Q1,28596638,9567322,1338713
2018-06-30,SOCI,USD,2018,Q2,30448382,10968161,2707047
2018-09-30,SOCI,USD,2018,Q3,35934005,12688135,2763800
2018-12-31,SOCI,USD,2018,Q4,37422797,15276355,6565559
2019-03-31,SOCI,USD,2019,Q1,40291207,14400308,6168091
2019-06-30,SOCI,USD,2019,Q2,37127667,12907204,3809053
2019-09-30,SOCI,USD,2019,Q3,35597929,14145774,5335559
2019-12-31,SOCI,USD,2019,Q4,44256710,9852532,-5928894
2020-03-31,SOCI,USD,2020,Q1,35737043,11844381,970946
2020-06-30,SOCI,USD,2020,Q2,32685890,10971609,1068758
2020-09-30,SOCI,USD,2020,Q3,30839869,10688526,576656
2020-12-31,SOCI,USD,2020,Q4,30703778,2619883,24644400
2021-03-31,SOCI,USD,2021,Q1,32420687,8488353,1834254
2021-06-30,SOCI,USD,2021,Q2,32477815,13143221,3156411
2021-09-30,SOCI,USD,2021,Q3,31559600,10238831,3987791
2021-12-31,SOCI,USD,2021,Q4,32303025,3928098,-3559428
2022-03-31,SOCI,USD,2022,Q1,31759313,9315457,2564480
2022-06-30,SOCI,USD,2022,Q2,34179614,12126328,2653697
2022-09-30,SOCI,USD,2022,Q3,39586322,10811591,3475225
2022-12-31,SOCI,USD,2022,Q4,38556068,8550547,-2220185
2023-03-31,SOCI,USD,2023,Q1,46462525,10246155,2338229
2023-06-30,SOCI,USD,2023,Q2,40285744,12009691,5668175
2023-09-30,SOCI,USD,2023,Q3,39300470,8003776,247998
2023-12-31,SOCI,USD,2023,Q4,43914969,8351574,669072
2024-03-31,SOCI,USD,2024,Q1,38411152,9755610,3547896
2024-06-30,SOCI,USD,2024,Q2,39543876,11951760,5812572
2024-09-30,SOCI,USD,2024,Q3,42499284,9284756,2802661
2024-12-31,SOCI,USD,2024,Q4,45184682,10889682,4966987
2025-03-31,SOCI,USD,2025,Q1,41230832,9564109,2930740
2025-06-30,SOCI,USD,2025,Q2,35023937,10706802,4060691
2025-09-30,SOCI,USD,2025,Q3,41060000,10645000,4996000
2025-12-31,SOCI,USD,2025,Q4,37257677,8596807,-4410694
2026-03-31,SOCI,USD,2026,Q1,35392888,11144139,5327231
